candidate,role,file,axis,source,value,direction,axis_weight,evidence_balance_contribution,interpretation,evidence
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,visible_full_body_prior,E179,-5.082394727783768e-05,support,1.25,1.25,E176 full body is favorable under the visible-mean prior.,visible expected delta -5.08239473e-05; swing support 0.373623439; hard support 0.330752212
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,visible_full_body_prior,E179,,missing,0.0,0.0,Comparable full-body visible-prior audit was not run for this branch.,Do not infer support or rejection from E176-only E179 evidence.
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,visible_full_body_prior,E179,,missing,0.0,0.0,Comparable full-body visible-prior audit was not run for this branch.,Do not infer support or rejection from E176-only E179 evidence.
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,q2_damping_visible_prior,E179,-1.906557451307581e-07,support,0.75,0.75,The E176-vs-E174 Q2 damping is locally supported under visible priors.,visible expected delta -1.90655745e-07; focus expected delta 8.23486789e-08; visible swing support 0.690494892; hard support 0.904761905
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,q2_damping_visible_prior,E179,,missing,0.0,0.0,This Q2-underopen contrast is specific to E176.,No comparable E154/E144 Q2 damping branch exists.
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,q2_damping_visible_prior,E179,,missing,0.0,0.0,This Q2-underopen contrast is specific to E176.,No comparable E154/E144 Q2 damping branch exists.
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,known_winner_topcell_calibration,E180,0.330699094104265,support,0.5,0.5,E176 top-cell support is weak in absolute terms but not worse than known winners.,E176 top4 support 0.330699094; known-winner mean 0.170898416; known-winner max 0.310903882
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,known_winner_topcell_calibration,E180,,missing,0.0,0.0,Known-winner top-cell calibration was only materialized for E176.,No branch-specific veto or support is assigned here.
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,known_winner_topcell_calibration,E180,,missing,0.0,0.0,Known-winner top-cell calibration was only materialized for E176.,No branch-specific veto or support is assigned here.
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,binary_world_best5_current_anchor_residual,E181,3.919575562894018e-06,warning,1.0,-1.0,Inherited current-anchor binary worlds lean adverse versus E95.,mean delta vs E95 3.91957556e-06; negative rate 0.4; worlds 5
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,binary_world_best5_current_anchor_residual,E181,-5.1451297796489825e-05,support,1.0,1.0,Inherited current-anchor binary worlds lean favorable versus E95.,mean delta vs E95 -5.14512978e-05; negative rate 1; worlds 5
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,binary_world_best5_current_anchor_residual,E181,-5.144519756821176e-05,support,1.0,1.0,Inherited current-anchor binary worlds lean favorable versus E95.,mean delta vs E95 -5.14451976e-05; negative rate 1; worlds 5
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,binary_world_best10_current_anchor_residual,E181,7.442238265187307e-06,warning,1.0,-1.0,Inherited current-anchor binary worlds lean adverse versus E95.,mean delta vs E95 7.44223827e-06; negative rate 0.3; worlds 10
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,binary_world_best10_current_anchor_residual,E181,-5.175322858941289e-06,support,1.0,1.0,Inherited current-anchor binary worlds lean favorable versus E95.,mean delta vs E95 -5.17532286e-06; negative rate 0.6; worlds 10
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,binary_world_best10_current_anchor_residual,E181,-4.166261395877058e-07,support,1.0,1.0,Inherited current-anchor binary worlds lean favorable versus E95.,mean delta vs E95 -4.1662614e-07; negative rate 0.6; worlds 10
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,binary_world_all_binary_worlds,E181,1.1950299328024089e-05,warning,0.5,-0.5,Inherited current-anchor binary worlds lean adverse versus E95.,mean delta vs E95 1.19502993e-05; negative rate 0.206896552; worlds 29
