row_gate,target_scope,scale,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_hidden_core,best_hidden_q2s3,best_world
e82_energy_top100,all,0.75,31,1,0,0,1,0,1,-8.935447228686222e-06,-8.935447228686222e-06,-0.000306659927101105,-0.0002958573206868209,-0.0006739574770917467
e82_energy_top50,all,1.0,31,1,0,0,1,0,1,-7.809013820692101e-06,-7.809013820692101e-06,-0.0002184186149259415,-0.00027833578859513125,-0.0005292469114854037
e82_energy_top50,s_all,1.0,31,1,0,0,1,0,1,-7.026511547714165e-06,-7.026511547714165e-06,-0.00012478748382793725,-0.00014740438502892222,-0.00022580001628526026
e82_energy_top100,all,0.5,31,1,0,0,1,0,1,-1.0583174670286688e-05,-6.861315428485781e-06,-0.00020526334636422616,-0.0001989522500122909,-0.0004504165679285133
e82_energy_top100,s_all,0.75,31,1,0,0,1,0,1,-6.857749473065944e-06,-6.857749473065944e-06,-0.00016054838220874723,-0.00011181147706823547,-0.0002979755516974436
e82_energy_top50,all,0.75,31,1,0,0,1,0,1,-6.714980152811023e-06,-6.714980152811023e-06,-0.00016459622382830608,-0.0002106546010738758,-0.0003979912381697981
all_rows,q2s3,1.0,31,1,0,0,1,0,1,-5.953830803928639e-06,-5.953830803928639e-06,-0.000111726657823219,-0.0003910433023813012,-0.00028101559494856374
e82_energy_top100,q2s3,1.0,31,1,0,0,1,0,1,-5.953830803928639e-06,-5.953830803928639e-06,-0.000111726657823219,-0.0003910433023813012,-0.0002810155949484527
e82_energy_top250,q2s3,1.0,31,1,0,0,1,0,1,-5.953830803928639e-06,-5.953830803928639e-06,-0.000111726657823219,-0.0003910433023813012,-0.00028101559494856374
e82_energy_top500,q2s3,1.0,31,1,0,0,1,0,1,-5.953830803928639e-06,-5.953830803928639e-06,-0.000111726657823219,-0.0003910433023813012,-0.00028101559494856374
e82_energy_top50,s_all,0.75,31,1,0,0,1,0,1,-5.784135145847635e-06,-5.784135145847635e-06,-9.408098810420595e-05,-0.00011181147706823547,-0.00017001201877882012
e82_energy_top50,q2s3,1.0,31,1,0,0,1,0,1,-5.683765710751132e-06,-5.683765710751132e-06,-7.952451102713476e-05,-0.00027833578859513125,-0.00017067897345200423
e82_energy_top50,q3_s2_s3_s4,1.0,31,1,0,0,1,0,1,-5.681193190332223e-06,-5.681193190332223e-06,-9.887848368853036e-05,-0.00014740438502892222,-0.00021635952814302306
all_rows,q2s3,0.75,31,1,0,0,1,0,1,-5.295541545713434e-06,-5.295541545713434e-06,-8.453066305341705e-05,-0.00029585732068680703,-0.00021175485028737673
e82_energy_top100,q2s3,0.75,31,1,0,0,1,0,1,-5.295541545713434e-06,-5.295541545713434e-06,-8.453066305341705e-05,-0.0002958573206868209,-0.00021175485028737673
e82_energy_top250,q2s3,0.75,31,1,0,0,1,0,1,-5.295541545713434e-06,-5.295541545713434e-06,-8.453066305341705e-05,-0.00029585732068680703,-0.00021175485028737673
e82_energy_top500,q2s3,0.75,31,1,0,0,1,0,1,-5.295541545713434e-06,-5.295541545713434e-06,-8.453066305341705e-05,-0.00029585732068680703,-0.00021175485028737673
e82_energy_top100,s_all,0.5,31,1,0,0,1,0,1,-1.0413488787053282e-05,-5.058428718451857e-06,-0.00010745548653734449,-7.537821637026987e-05,-0.00019922173063596782
e82_energy_top50,all,0.5,31,1,0,0,1,0,1,-8.631338155318247e-06,-5.051513601528335e-06,-0.0001102516306587531,-0.00014170275140509836,-0.0002660305920570372
e82_energy_top50,q3_s2_s3_s4,0.75,31,1,0,0,1,0,1,-4.887173594259053e-06,-4.887173594259053e-06,-7.466083741244911e-05,-0.00011181147706823547,-0.00016294731187953547
e82_energy_top50,q2s3,0.75,31,1,0,0,1,0,1,-4.872967891755842e-06,-4.872967891755842e-06,-6.0187028878250226e-05,-0.0002106546010738758,-0.00012874315165962159
