row_gate,target_scope,scale,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_hidden_core,best_hidden_q2s3,best_world
e82_energy_top50,s_all,0.5,31,1,0,0,1,0,1,-5.648451791628872e-06,-4.1823981469235605e-06,-6.304709068086223e-05,-7.537821637026987e-05,-0.00011378202897792122
e82_energy_top100,q3_s2_s3_s4,0.5,31,1,0,0,1,0,1,-4.150923424539599e-06,-4.150923424539599e-06,-7.867965521823894e-05,-7.537821637026987e-05,-0.00014619840218659807
all_rows,q2s3,0.5,31,1,0,0,1,0,1,-1.080738338177234e-05,-4.118316846768444e-06,-5.684350000348393e-05,-0.0001989522500122909,-0.0001418310284483637
e82_energy_top100,q2s3,0.5,31,1,0,0,1,0,1,-4.118316846768444e-06,-4.118316846768444e-06,-5.684350000348393e-05,-0.0001989522500122909,-0.00014183102844825268
e82_energy_top250,q2s3,0.5,31,1,0,0,1,0,1,-1.080738338177234e-05,-4.118316846768444e-06,-5.684350000348393e-05,-0.0001989522500122909,-0.0001418310284483637
e82_energy_top500,q2s3,0.5,31,1,0,0,1,0,1,-1.080738338177234e-05,-4.118316846768444e-06,-5.684350000348393e-05,-0.0001989522500122909,-0.0001418310284483637
e82_energy_top100,all,0.25,31,1,0,0,1,0,1,-1.2789739337382144e-05,-3.935605842109169e-06,-0.0001030429230829133,-0.0001003318745814788,-0.00022576347133018704
e82_energy_top50,q3_s2_s3_s4,0.5,31,1,0,0,1,0,1,-3.69595512750287e-06,-3.69595512750287e-06,-5.010806279476254e-05,-7.537821637026987e-05,-0.00010908267235469337
e82_energy_top50,q2s3,0.5,31,1,0,0,1,0,1,-3.670004360634138e-06,-3.670004360634138e-06,-4.0486500401504255e-05,-0.00014170275140509836,-8.631721732459962e-05
e82_energy_top50,all,0.25,31,1,0,0,1,0,1,-8.077462473554675e-06,-2.8518839589875e-06,-5.5385874753260955e-05,-7.148346960061253e-05,-0.00013336637625063763
e82_energy_top100,s_all,0.25,31,1,0,0,1,0,1,-8.915243459695077e-06,-2.738743635655183e-06,-5.393909031436994e-05,-3.8106943110245706e-05,-9.989618382954534e-05
all_rows,q2s3,0.25,31,1,0,0,1,0,1,-1.0058809121082923e-05,-2.392837451070662e-06,-2.866624988040467e-05,-0.00010033187458145104,-7.124558906022593e-05
e82_energy_top100,q2s3,0.25,31,1,0,0,1,0,1,-3.6675107297767795e-06,-2.392837451070662e-06,-2.866624988040467e-05,-0.0001003318745814788,-7.124558906022593e-05
e82_energy_top250,q2s3,0.25,31,1,0,0,1,0,1,-1.0058809121082923e-05,-2.392837451070662e-06,-2.866624988040467e-05,-0.00010033187458145104,-7.124558906022593e-05
e82_energy_top500,q2s3,0.25,31,1,0,0,1,0,1,-1.0058809121082923e-05,-2.392837451070662e-06,-2.866624988040467e-05,-0.00010033187458145104,-7.124558906022593e-05
e82_energy_top100,q3_s2_s3_s4,0.25,31,1,0,0,1,0,1,-4.283874702304402e-06,-2.381742693735589e-06,-3.955736218569372e-05,-3.8106943110245706e-05,-7.339287277154383e-05
e82_energy_top50,s_all,0.25,31,1,0,0,1,0,1,-5.002091844064083e-06,-2.2597362989706937e-06,-3.1686518637163985e-05,-3.8106943110245706e-05,-5.7111028439554845e-05
e82_energy_top50,q3_s2_s3_s4,0.25,31,1,0,0,1,0,1,-2.3546705752997e-06,-2.0581546102960147e-06,-2.5220877437892586e-05,-3.8106943110245706e-05,-5.4766578332055006e-05
e82_energy_top50,q2s3,0.25,31,1,0,0,1,0,1,-2.0501968722719255e-06,-2.0501968722719255e-06,-2.0423848457296057e-05,-7.148346960061253e-05,-4.34024163085911e-05
all_rows,all,0.25,31,30,0,0,0,0,0,-3.505172518358801e-05,-3.505172518358801e-05,-8.612625706913568e-05,0.0004160158222914073,0.00012615783439167138
e82_energy_top250,all,0.25,31,30,0,0,0,0,0,-3.505172518358801e-05,-3.505172518358801e-05,-8.612625706913568e-05,0.0004160158222914073,0.00012615783439167138
e82_energy_top500,all,0.25,31,30,0,0,0,0,0,-3.505172518358801e-05,-3.505172518358801e-05,-8.612625706913568e-05,0.0004160158222914073,0.00012615783439167138
all_rows,all,0.5,31,30,0,0,0,0,0,-3.417638418889979e-05,-3.417638418889979e-05,-0.0001347883753448076,0.0008674066168712843,0.00030560317104035283
e82_energy_top250,all,0.5,31,30,0,0,0,0,0,-3.417638418889979e-05,-3.417638418889979e-05,-0.0001347883753448076,0.0008674066168712843,0.00030560317104035283
e82_energy_top500,all,0.5,31,30,0,0,0,0,0,-3.417638418889979e-05,-3.417638418889979e-05,-0.0001347883753448076,0.0008674066168712843,0.00030560317104035283
all_rows,s_all,0.5,31,30,0,0,0,0,0,-3.3655873849625095e-05,-3.3655873849625095e-05,-6.059411872072484e-05,0.000703382871279655,0.00013436849603130075
e82_energy_top250,s_all,0.5,31,30,0,0,0,0,0,-3.3655873849625095e-05,-3.3655873849625095e-05,-6.059411872072484e-05,0.000703382871279655,0.00013436849603130075
e82_energy_top500,s_all,0.5,31,30,0,0,0,0,0,-3.3655873849625095e-05,-3.3655873849625095e-05,-6.059411872072484e-05,0.000703382871279655,0.00013436849603130075
all_rows,s_all,0.25,31,30,0,0,0,0,0,-2.660388835484806e-05,-2.660388835484806e-05,-4.0201651870824806e-05,0.0003407583822343935,5.2979405367853395e-05
e82_energy_top250,s_all,0.25,31,30,0,0,0,0,0,-2.660388835484806e-05,-2.660388835484806e-05,-4.0201651870824806e-05,0.0003407583822343935,5.2979405367853395e-05
e82_energy_top500,s_all,0.25,31,30,0,0,0,0,0,-2.660388835484806e-05,-2.660388835484806e-05,-4.0201651870824806e-05,0.0003407583822343935,5.2979405367853395e-05
all_rows,non_q2s3,0.25,31,30,0,0,0,0,29,-2.5477281311081512e-05,-2.5477281311081512e-05,-0.00020732078027066447,0.0,-0.00010479406418557047
e82_energy_top250,non_q2s3,0.25,31,30,0,0,0,0,29,-2.5477281311081512e-05,-2.5477281311081512e-05,-0.00020732078027066447,0.0,-0.00010479406418557047
e82_energy_top500,non_q2s3,0.25,31,30,0,0,0,0,29,-2.5477281311081512e-05,-2.5477281311081512e-05,-0.00020732078027066447,0.0,-0.00010479406418557047
all_rows,non_q2s3,0.5,31,28,0,0,0,0,20,-2.3809607008429268e-05,-2.3809607008429268e-05,-0.0003864021423300168,0.0,-9.682605261435718e-05
e82_energy_top250,non_q2s3,0.5,31,28,0,0,0,0,20,-2.3809607008429268e-05,-2.3809607008429268e-05,-0.0003864021423300168,0.0,-9.682605261435718e-05
e82_energy_top500,non_q2s3,0.5,31,28,0,0,0,0,20,-2.3809607008429268e-05,-2.3809607008429268e-05,-0.0003864021423300168,0.0,-9.682605261435718e-05
e82_energy_not_top100,s_all,0.5,31,29,0,0,0,0,0,-2.2296016729539403e-05,-2.2296016729539403e-05,8.49093297208836e-06,0.0005729227275520429,3.6643094785787646e-05
all_rows,s_all,0.75,31,28,0,0,0,0,0,-2.1508014808713227e-05,-2.1508014808713227e-05,-6.115789671398697e-05,0.001087916109626115,0.00030044696948935967
e82_energy_top250,s_all,0.75,31,28,0,0,0,0,0,-2.1508014808713227e-05,-2.1508014808713227e-05,-6.115789671398697e-05,0.001087916109626115,0.00030044696948935967
e82_energy_top500,s_all,0.75,31,28,0,0,0,0,0,-2.1508014808713227e-05,-2.1508014808713227e-05,-6.115789671398697e-05,0.001087916109626115,0.00030044696948935967
e82_energy_not_top100,all,0.25,31,11,0,0,0,0,0,-2.0528895775084877e-05,-2.0528895775084877e-05,-8.494226070021593e-07,0.0003589358162180631,0.00010897683827519322
e82_energy_top50,non_q2s3,0.5,31,1,0,0,0,0,1,-6.3207400604614605e-06,-1.4663488510091582e-06,-6.97651302572766e-05,0.0,-0.00017764140595507015
e82_energy_top50,non_q2s3,0.25,31,1,0,0,0,0,1,-6.21344487594655e-06,-8.050576869589321e-07,-3.49620262959649e-05,0.0,-8.892797555330456e-05
all_rows,all,0.75,31,0,0,0,0,0,0,-9.881943496270473e-06,,,,
all_rows,all,1.0,31,0,0,0,0,0,0,-1.0545787970772658e-05,,,,
all_rows,non_q2s3,0.75,31,0,0,0,0,0,0,-4.766448283954894e-06,,,,
all_rows,non_q2s3,1.0,31,0,0,0,0,0,0,-4.765532452655208e-06,,,,
all_rows,q3_s2_s3_s4,0.25,31,0,0,0,0,0,0,-1.5533236249587468e-05,,,,
all_rows,q3_s2_s3_s4,0.5,31,0,0,0,0,0,0,-9.267224326592327e-06,,,,
all_rows,q3_s2_s3_s4,0.75,31,0,0,0,0,0,0,-4.179644819024553e-06,,,,
all_rows,q3_s2_s3_s4,1.0,31,0,0,0,0,0,0,-4.011042805895926e-06,,,,
all_rows,s_all,1.0,31,0,0,0,0,0,0,-8.883578061613662e-06,,,,
e82_energy_not_top100,all,0.5,31,0,0,0,0,0,0,-1.8802494833880523e-05,,,,
e82_energy_not_top100,all,0.75,31,0,0,0,0,0,0,-9.847180958422186e-07,,,,
e82_energy_not_top100,all,1.0,31,0,0,0,0,0,0,-4.0902252729235755e-07,,,,
e82_energy_not_top100,non_q2s3,0.25,31,0,0,0,0,0,0,-1.442189860356713e-05,,,,
e82_energy_not_top100,non_q2s3,0.5,31,0,0,0,0,0,0,-1.316326996692041e-05,,,,
e82_energy_not_top100,non_q2s3,0.75,31,0,0,0,0,0,0,-9.847180958422186e-07,,,,
e82_energy_not_top100,non_q2s3,1.0,31,0,0,0,0,0,0,-4.0902252729235755e-07,,,,
e82_energy_not_top100,q2s3,0.25,30,0,0,0,0,0,0,-6.357311513327524e-06,,,,
e82_energy_not_top100,q2s3,0.5,30,0,0,0,0,0,0,-6.482888249781382e-06,,,,
e82_energy_not_top100,q2s3,0.75,30,0,0,0,0,0,0,-5.932963519361678e-07,,,,
e82_energy_not_top100,q2s3,1.0,30,0,0,0,0,0,0,1.0891643046573307e-05,,,,
e82_energy_not_top100,q3_s2_s3_s4,0.25,31,0,0,0,0,0,0,-1.0527784857883304e-05,,,,
e82_energy_not_top100,q3_s2_s3_s4,0.5,31,0,0,0,0,0,0,-7.572371456876503e-06,,,,
e82_energy_not_top100,q3_s2_s3_s4,0.75,31,0,0,0,0,0,0,1.226194691339444e-06,,,,
e82_energy_not_top100,q3_s2_s3_s4,1.0,31,0,0,0,0,0,0,2.197383262014796e-06,,,,
e82_energy_not_top100,s_all,0.25,31,0,0,0,0,0,0,-1.7116655706361783e-05,,,,
e82_energy_not_top100,s_all,0.75,31,0,0,0,0,0,0,-1.577111595885139e-05,,,,
e82_energy_not_top100,s_all,1.0,31,0,0,0,0,0,0,-6.235328283699104e-07,,,,
e82_energy_top100,all,1.0,31,0,0,0,0,0,0,-1.0245132964104009e-05,,,,
e82_energy_top100,non_q2s3,0.25,31,0,0,0,0,0,0,-9.078752788660438e-06,,,,
e82_energy_top100,non_q2s3,0.5,31,0,0,0,0,0,0,-7.066387268217511e-06,,,,
e82_energy_top100,non_q2s3,0.75,31,0,0,0,0,0,0,-3.911653886579103e-06,,,,
e82_energy_top100,non_q2s3,1.0,31,0,0,0,0,0,0,-4.418463085409385e-06,,,,
e82_energy_top100,q3_s2_s3_s4,0.75,31,0,0,0,0,0,0,-5.484734203253794e-06,,,,
e82_energy_top100,q3_s2_s3_s4,1.0,31,0,0,0,0,0,0,-6.310018314303889e-06,,,,
e82_energy_top100,s_all,1.0,31,0,0,0,0,0,0,-8.269830232054964e-06,,,,
e82_energy_top250,all,0.75,31,0,0,0,0,0,0,-9.881943496270473e-06,,,,
e82_energy_top250,all,1.0,31,0,0,0,0,0,0,-1.0545787970772658e-05,,,,
e82_energy_top250,non_q2s3,0.75,31,0,0,0,0,0,0,-4.766448283954894e-06,,,,
e82_energy_top250,non_q2s3,1.0,31,0,0,0,0,0,0,-4.765532452655208e-06,,,,
e82_energy_top250,q3_s2_s3_s4,0.25,31,0,0,0,0,0,0,-1.5533236249587468e-05,,,,
e82_energy_top250,q3_s2_s3_s4,0.5,31,0,0,0,0,0,0,-9.267224326592327e-06,,,,
e82_energy_top250,q3_s2_s3_s4,0.75,31,0,0,0,0,0,0,-4.179644819024553e-06,,,,
e82_energy_top250,q3_s2_s3_s4,1.0,31,0,0,0,0,0,0,-4.011042805895926e-06,,,,
e82_energy_top250,s_all,1.0,31,0,0,0,0,0,0,-8.883578061613662e-06,,,,
e82_energy_top50,non_q2s3,0.75,31,0,0,0,0,0,0,-1.9728543831920575e-06,,,,
e82_energy_top50,non_q2s3,1.0,31,0,0,0,0,0,0,-2.2674782564902074e-06,,,,
e82_energy_top500,all,0.75,31,0,0,0,0,0,0,-9.881943496270473e-06,,,,
e82_energy_top500,all,1.0,31,0,0,0,0,0,0,-1.0545787970772658e-05,,,,
e82_energy_top500,non_q2s3,0.75,31,0,0,0,0,0,0,-4.766448283954894e-06,,,,
e82_energy_top500,non_q2s3,1.0,31,0,0,0,0,0,0,-4.765532452655208e-06,,,,
e82_energy_top500,q3_s2_s3_s4,0.25,31,0,0,0,0,0,0,-1.5533236249587468e-05,,,,
e82_energy_top500,q3_s2_s3_s4,0.5,31,0,0,0,0,0,0,-9.267224326592327e-06,,,,
e82_energy_top500,q3_s2_s3_s4,0.75,31,0,0,0,0,0,0,-4.179644819024553e-06,,,,
e82_energy_top500,q3_s2_s3_s4,1.0,31,0,0,0,0,0,0,-4.011042805895926e-06,,,,
e82_energy_top500,s_all,1.0,31,0,0,0,0,0,0,-8.883578061613662e-06,,,,
