source,graft_mode,target_scope,rows,nonanchor_evaluated,strict,deployable,loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_deployable_all_delta,best_loose_all_delta,best_hidden_q2s3,best_world,best_block_win
e76,delta_graft,q2s3,1714,342,0,0,342,-7.956667567698972e-06,-7.903276394660708e-06,,-7.903276394660708e-06,-0.0005200814651800528,-0.00033579823103395136,0.8055555555555556
e76,value_graft,q2s3,1714,342,0,0,342,-7.956667567698972e-06,-7.903276394660708e-06,,-7.903276394660708e-06,-0.0005200814651800528,-0.00033579823103395136,0.8055555555555556
e75,delta_graft,q2s3,120,8,0,0,8,-7.748561566822687e-06,-7.748561566822687e-06,,-7.748561566822687e-06,-0.00047633369514397256,-0.00029518135893232266,0.7777777777777778
e75,value_graft,q2s3,120,8,0,0,8,-7.748561566822687e-06,-7.748561566822687e-06,,-7.748561566822687e-06,-0.00047633369514397256,-0.00029518135893232266,0.8055555555555556
e72,delta_graft,q2_only,416,0,0,0,0,-1.0100052143524607e-06,,,,,,
e72,delta_graft,q2s3,561,0,0,0,0,-6.946919975714394e-06,,,,,,
e72,delta_graft,s3_only,481,0,0,0,0,-6.946919975714394e-06,,,,,,
e72,value_graft,q2_only,416,0,0,0,0,-1.0100052143524607e-06,,,,,,
e72,value_graft,q2s3,561,0,0,0,0,-6.946919975714394e-06,,,,,,
e72,value_graft,s3_only,481,0,0,0,0,-6.946919975714394e-06,,,,,,
e75,delta_graft,q2_only,10,0,0,0,0,-7.944477646848469e-07,,,,,,
e75,delta_graft,s3_only,10,0,0,0,0,-7.090234542816987e-06,,,,,,
e75,value_graft,q2_only,10,0,0,0,0,-7.944477646848469e-07,,,,,,
e75,value_graft,s3_only,10,0,0,0,0,-7.090234542816987e-06,,,,,,
e76,delta_graft,q2_only,315,0,0,0,0,-8.15288822009208e-07,,,,,,
e76,delta_graft,s3_only,574,0,0,0,0,-7.340413402334711e-06,,,,,,
e76,value_graft,q2_only,315,0,0,0,0,-8.15288822009208e-07,,,,,,
e76,value_graft,s3_only,574,0,0,0,0,-7.340413402334711e-06,,,,,,
