pair,sub_idx,target_idx,target,target_group,delta_y1,delta_y0,swing,support_label,support_delta,adverse_delta,hidden_block_id,subject_id,lifelog_date,sleep_date,global_pos,subject_pos,subject_phase,dow,is_weekend,block_n_rows,block_len_bin,pos_in_block,pos_frac,edge_distance,pos_bin,block_start,block_end,context_type,has_prev_train,has_next_train,prev_gap_pos,next_gap_pos,prev_gap_days,next_gap_days,edge_like,e72_active,e101_active,all_veto_null,all_safe_density,broad_low_alpha_mass,e101_plausible_mass,benefit_rank,swing_rank,between_train_runs,context_high,global_prior_y1,subject_prior_y1,subject_train_count,prev_y,next_y,has_prev_label,has_next_label,both_flanks,prev_only,next_only,flank_conflict,flank_agree,min_flank_gap_days,p_y1_global,support_probability_global,expected_delta_global,p_y1_subject,support_probability_subject,expected_delta_subject,p_y1_prev_beta,support_probability_prev_beta,expected_delta_prev_beta,p_y1_next_beta,support_probability_next_beta,expected_delta_next_beta,p_y1_nearest_beta,support_probability_nearest_beta,expected_delta_nearest_beta,p_y1_both_equal_beta,support_probability_both_equal_beta,expected_delta_both_equal_beta,p_y1_both_distance_beta,support_probability_both_distance_beta,expected_delta_both_distance_beta,p_y1_edge_endpoint_beta,support_probability_edge_endpoint_beta,expected_delta_edge_endpoint_beta,p_y1_nearest_hard085,support_probability_nearest_hard085,expected_delta_nearest_hard085,p_y1_conflict_flat,support_probability_conflict_flat,expected_delta_conflict_flat,p_y1_focus_mean,p_y1_flank_mean,p_y1_visible_mean,support_probability_focus_mean,expected_delta_focus_mean,support_probability_flank_mean,expected_delta_flank_mean,support_probability_visible_mean,expected_delta_visible_mean,support_prob_min,support_prob_max,support_prob_range,n_priors_support_ge_05,all_prior_support,all_prior_adverse,prior_split,ambiguous_visible_mean,expected_rank_focus
e176_vs_e95,141,3,S1,S,4.113724263555591e-07,-5.420585329904779e-06,5.831957756260338e-06,0,-5.420585329904779e-06,4.113724263555591e-07,id06_b6,id06,2024-08-09,2024-08-10,409,58,0.8169014084507042,4,0,1,1-2,0,0.0,0,single,2024-08-09,2024-08-09,between_train_runs,True,True,1.0,1.0,4.0,1.0,True,False,False,True,0.4210136533641106,0.0,0.0,33,1,True,True,0.6822222222222222,0.9375,48,1.0,1.0,True,True,True,False,False,False,True,1.0,0.6822222222222222,0.3177777777777778,-1.4418941495227264e-06,0.9375,0.0625,4.687506658928797e-08,0.9444444444444444,0.05555555555555558,8.737477322998461e-08,0.9583333333333334,0.04166666666666663,1.6837418651137858e-07,0.9583333333333334,0.04166666666666663,1.6837418651137858e-07,0.96875,0.03125,2.291237464724235e-07,0.9615384615384616,0.038461538461538436,1.870663588070847e-07,0.9583333333333334,0.04166666666666663,1.6837418651137858e-07,0.85,0.15000000000000002,-4.634212370834918e-07,0.9615384615384616,0.038461538461538436,1.870663588070847e-07,0.8232407407407408,0.9599358974358975,0.9013522588522589,0.17675925925925917,-6.194801066723093e-07,0.04006410256410253,1.777202726592316e-07,0.09864774114774111,-1.6393703276857181e-07,0.038461538461538436,0.3177777777777778,0.2793162393162394,0,False,True,False,False,18
e176_vs_e95,196,2,Q3,Q,-3.184332228433284e-06,1.377340574315568e-06,4.561672802748853e-06,1,-3.184332228433284e-06,1.377340574315568e-06,id08_b10,id08,2024-09-10,2024-09-11,569,67,0.9054054054054054,1,0,4,3-5,3,1.0,0,right_edge,2024-09-06,2024-09-10,between_train_runs,True,True,4.0,1.0,5.0,1.0,True,True,False,True,0.4659624953551935,0.0507760573942932,0.0084626762323822,40,2,True,True,0.6,0.44642857142857145,56,0.0,0.0,True,True,True,False,False,False,True,1.0,0.6,0.6,-1.3596631073337432e-06,0.44642857142857145,0.44642857142857145,-6.591204983401696e-07,0.40584415584415584,0.40584415584415584,-4.7398767355328436e-07,0.2976190476190476,0.2976190476190476,1.96998592117429e-08,0.2976190476190476,0.2976190476190476,1.96998592117429e-08,0.22321428571428573,0.22321428571428573,3.5911003798769925e-07,0.27901785714285715,0.27901785714285715,1.0455240390573196e-07,0.2976190476190476,0.2976190476190476,1.96998592117429e-08,0.15,0.15,6.930896539032402e-07,0.27901785714285715,0.27901785714285715,1.0455240390573196e-07,0.3988095238095238,0.2883184523809524,0.335671768707483,0.3988095238095238,-4.4189798392355745e-07,0.2883184523809524,6.212613155873748e-08,0.335671768707483,-1.538842036479605e-07,0.15,0.6,0.44999999999999996,1,False,False,True,False,44
e176_vs_e95,190,2,Q3,Q,-3.306146765236408e-06,1.2250619040137562e-06,4.531208669250164e-06,1,-3.306146765236408e-06,1.2250619040137562e-06,id08_b6,id08,2024-08-12,2024-08-13,545,43,0.581081081081081,0,0,2,1-2,0,0.0,0,left_edge,2024-08-12,2024-08-13,between_train_runs,True,True,1.0,2.0,1.0,3.0,True,True,False,True,0.4195267201509777,0.0019567078240434,0.0,27,3,True,True,0.6,0.44642857142857145,56,1.0,0.0,True,True,True,False,False,True,False,1.0,0.6,0.6,-1.493663297536342e-06,0.44642857142857145,0.44642857142857145,-7.977991090443528e-07,0.6309523809523809,0.6309523809523809,-1.6339149944417043e-06,0.3826530612244898,0.3826530612244898,-5.088189643217658e-07,0.6309523809523809,0.6309523809523809,-1.6339149944417043e-06,0.4732142857142857,0.4732142857142857,-9.19170769827839e-07,0.5678571428571428,0.5678571428571428,-1.3480173045961584e-06,0.6309523809523809,0.6309523809523809,-1.6339149944417043e-06,0.85,0.85,-2.626465464848883e-06,0.5,0.5,-1.0405424306113257e-06,0.6321428571428571,0.5824404761904762,0.6037414965986395,0.6321428571428571,-1.639309290476526e-06,0.5824404761904762,-1.4140974310227232e-06,0.6037414965986395,-1.5106167993600674e-06,0.44642857142857145,0.85,0.4035714285714285,9,False,False,True,False,1
e176_vs_e95,194,2,Q3,Q,-3.032624854007285e-06,1.4335926796867111e-06,4.466217533693996e-06,1,-3.032624854007285e-06,1.4335926796867111e-06,id08_b10,id08,2024-09-08,2024-09-09,567,65,0.8783783783783784,6,1,4,3-5,1,0.3333333333333333,1,near_edge,2024-09-06,2024-09-10,between_train_runs,True,True,2.0,3.0,3.0,3.0,True,True,False,True,0.4539380506826565,0.0359862099174408,0.0134948287190403,48,4,True,True,0.6,0.44642857142857145,56,0.0,0.0,True,True,True,False,False,False,True,3.0,0.6,0.6,-1.2461378405296864e-06,0.44642857142857145,0.44642857142857145,-5.602544335695371e-07,0.3826530612244898,0.3826530612244898,-2.7541913167578743e-07,0.3826530612244898,0.3826530612244898,-2.7541913167578743e-07,0.2976190476190476,0.2976190476190476,1.0436127084921217e-07,0.22321428571428573,0.22321428571428573,4.3666912305858694e-07,0.3348214285714286,0.3348214285714286,-6.179265525547511e-08,0.2976190476190476,0.2976190476190476,1.0436127084921217e-07,0.15,0.15,7.636600496326117e-07,0.3348214285714286,0.3348214285714286,-6.179265525547511e-08,0.3988095238095238,0.31622023809523814,0.35161564625850344,0.3988095238095238,-3.47577408155537e-07,0.31622023809523814,2.128430779686853e-08,0.35161564625850344,-1.3679928475416262e-07,0.15,0.6,0.44999999999999996,1,False,False,True,False,71
e176_vs_e95,67,6,S4,S,-3.791927288661004e-06,6.396429612440326e-07,4.431570249905037e-06,1,-3.791927288661004e-06,6.396429612440326e-07,id03_b2,id03,2024-08-26,2024-08-27,178,30,0.5660377358490566,0,0,11,11-16,8,0.8,2,interior,2024-08-16,2024-08-28,between_train_runs,True,True,9.0,3.0,11.0,3.0,False,False,False,True,0.4210136533641106,0.0,0.0,167,5,True,True,0.56,0.15151515151515152,33,0.0,0.0,True,True,True,False,False,False,True,3.0,0.56,0.56,-1.842036378702788e-06,0.15151515151515152,0.15151515151515152,-3.1807076620366824e-08,0.14492753623188406,0.14492753623188406,-2.613596713219069e-09,0.12987012987012986,0.12987012987012986,6.411435736026157e-08,0.10101010101010101,0.10101010101010101,1.9200960266776623e-07,0.07575757575757576,0.07575757575757576,3.039179423118328e-07,0.125,0.125,8.569668000590298e-08,0.10101010101010101,0.10101010101010101,1.9200960266776623e-07,0.15,0.15,-2.5092576241722923e-08,0.125,0.125,8.569668000590298e-08,0.2871717171717172,0.1130050505050505,0.18764790764790765,0.2871717171717172,-6.329786771882926e-07,0.1130050505050505,1.3885314133683468e-07,0.18764790764790765,-1.9193192374536272e-07,0.10101010101010101,0.56,0.45898989898989906,1,False,False,True,False,16
e176_vs_e95,135,3,S1,S,2.2643969605441143e-07,-3.855871467799739e-06,4.08231116385415e-06,0,-3.855871467799739e-06,2.2643969605441143e-07,id06_b2,id06,2024-07-13,2024-07-14,388,37,0.5211267605633803,5,1,8,6-10,7,1.0,0,right_edge,2024-07-06,2024-07-13,between_train_runs,True,True,8.0,1.0,8.0,1.0,True,True,False,True,0.4307275753319729,0.0183348440912391,0.0007971671344017,67,6,True,True,0.6822222222222222,0.9375,48,1.0,1.0,True,True,True,False,False,False,True,1.0,0.6822222222222222,0.3177777777777778,-1.070828073792574e-06,0.9375,0.0625,-2.8704751686472943e-08,0.9411764705882353,0.05882352941176472,-1.3696254760538615e-08,0.9583333333333334,0.04166666666666663,5.6343397560488664e-08,0.9583333333333334,0.04166666666666663,5.6343397560488664e-08,0.96875,0.03125,9.886747218396923e-08,0.96,0.040000000000000036,6.314724950024528e-08,0.9583333333333334,0.04166666666666663,5.6343397560488664e-08,0.85,0.15000000000000002,-3.8590697852371114e-07,0.96,0.040000000000000036,6.314724950024528e-08,0.8232407407407408,0.9591666666666667,0.9009126984126984,0.17675925925925917,-4.951466013342523e-07,0.04083333333333328,5.974532353036721e-08,0.09908730158730161,-1.7806550141161298e-07,0.040000000000000036,0.3177777777777778,0.2777777777777778,0,False,True,False,False,32
e176_vs_e95,143,3,S1,S,1.111268377332291e-07,-3.906263092461718e-06,4.0173899301949476e-06,0,-3.906263092461718e-06,1.111268377332291e-07,id06_b8,id06,2024-08-12,2024-08-13,412,61,0.8591549295774648,0,0,4,3-5,1,0.3333333333333333,1,near_edge,2024-08-11,2024-08-14,between_train_runs,True,True,2.0,3.0,2.0,3.0,True,False,False,True,0.4210136533641106,0.0,0.0,55,7,True,True,0.6822222222222222,0.9375,48,1.0,1.0,True,True,True,False,False,False,True,2.0,0.6822222222222222,0.3177777777777778,-1.1655104067509431e-06,0.9375,0.0625,-1.399600329039551e-07,0.95,0.050000000000000044,-8.974265877651845e-08,0.9464285714285714,0.0535714285714286,-1.0409047995578607e-07,0.9583333333333334,0.04166666666666663,-5.626440935822689e-08,0.96875,0.03125,-1.4416597585363e-08,0.9558823529411765,0.044117647058823484,-6.61109533047831e-08,0.9583333333333334,0.04166666666666663,-5.626440935822689e-08,0.85,0.15000000000000002,-4.914816517960131e-07,0.9558823529411765,0.044117647058823484,-6.61109533047831e-08,0.8232407407407408,0.9571078431372549,0.8997362278244632,0.17675925925925917,-5.989840304836367e-07,0.04289215686274506,-6.1187681331505e-08,0.10026377217553684,-2.916718309681329e-07,0.04166666666666663,0.3177777777777778,0.2761111111111112,0,False,True,False,False,19
e176_vs_e95,182,2,Q3,Q,-3.0012065326275715e-06,1.014107402218015e-06,4.0153139348455865e-06,1,-3.0012065326275715e-06,1.014107402218015e-06,id08_b2,id08,2024-07-31,2024-08-01,534,32,0.43243243243243246,2,0,2,1-2,0,0.0,0,left_edge,2024-07-31,2024-08-02,between_train_runs,True,True,1.0,2.0,1.0,3.0,True,True,False,True,0.4248254032679162,0.0212469201977562,0.0021263119828066,37,8,True,True,0.6,0.44642857142857145,56,0.0,0.0,True,True,True,False,False,False,True,1.0,0.6,0.6,-1.3950809586893368e-06,0.44642857142857145,0.44642857142857145,-7.784434615523362e-07,0.2976190476190476,0.2976190476190476,-1.809265069622191e-07,0.3826530612244898,0.3826530612244898,-5.223647667280002e-07,0.2976190476190476,0.2976190476190476,-1.809265069622191e-07,0.22321428571428573,0.22321428571428573,1.1783197033283936e-07,0.2678571428571429,0.2678571428571429,-6.14231160441958e-08,0.2976190476190476,0.2976190476190476,-1.809265069622191e-07,0.15,0.15,4.1181031199117704e-07,0.2678571428571429,0.2678571428571429,-6.14231160441958e-08,0.3988095238095238,0.28273809523809523,0.3324829931972789,0.3988095238095238,-5.872380360834985e-07,0.28273809523809523,-1.2117481150320735e-07,0.3324829931972789,-3.209161934661894e-07,0.15,0.6,0.44999999999999996,1,False,False,True,False,21
e176_vs_e95,205,4,S2,S,8.183623242188195e-07,-3.1766115478926794e-06,3.994973872111499e-06,0,-3.1766115478926794e-06,8.183623242188195e-07,id09_b2,id09,2024-08-09,2024-08-10,609,32,0.47761194029850745,4,0,14,11-16,4,0.3076923076923077,4,interior,2024-08-05,2024-08-20,between_train_runs,True,True,5.0,10.0,5.0,12.0,False,False,False,True,0.4210136533641106,0.0,0.0,190,9,True,True,0.6511111111111111,0.7804878048780488,41,1.0,1.0,True,True,True,False,False,False,True,5.0,0.6511111111111111,0.3488888888888889,-5.754396711623036e-07,0.7804878048780488,0.2195121951219512,-5.858315990321681e-08,0.8004434589800443,0.19955654101995568,2.1139156835149973e-08,0.7892682926829268,0.21073170731707325,-2.3505340538335668e-08,0.8536585365853658,0.14634146341463417,2.3373200147079523e-07,0.8902439024390244,0.1097560975609756,3.798895821578014e-07,0.8077265444187288,0.19227345558127118,5.0234892871050254e-08,0.8536585365853658,0.14634146341463417,2.3373200147079523e-07,0.85,0.15000000000000002,2.1911624340209453e-07,0.8077265444187288,0.19227345558127118,5.0234892871050254e-08,0.7605329719963866,0.8306925405020473,0.8006241539996212,0.2394670280036134,-1.3830219588780873e-07,0.16930745949795267,1.4198344717092274e-07,0.19937584600037883,2.1861028717180185e-08,0.14634146341463417,0.3488888888888889,0.20254742547425475,0,False,True,False,False,195
e176_vs_e95,136,3,S1,S,1.2499053905444337e-07,-3.8558670637832855e-06,3.980857602837729e-06,0,-3.8558670637832855e-06,1.2499053905444337e-07,id06_b4,id06,2024-07-15,2024-07-16,390,39,0.5492957746478874,0,0,5,3-5,0,0.0,0,left_edge,2024-07-15,2024-07-20,between_train_runs,True,True,1.0,5.0,1.0,6.0,True,True,False,True,0.4298489742364604,0.0103908021138592,0.0013553220148512,58,10,True,True,0.6822222222222222,0.9375,48,1.0,1.0,True,True,True,False,False,False,True,1.0,0.6822222222222222,0.3177777777777778,-1.1400375436251019e-06,0.9375,0.0625,-1.2381306112291468e-07,0.9583333333333334,0.04166666666666663,-4.087852773046185e-08,0.9423076923076923,0.05769230769230771,-1.0467432264773338e-07,0.9583333333333334,0.04166666666666663,-4.087852773046185e-08,0.96875,0.03125,5.887389657643434e-10,0.9605263157894737,0.03947368421052633,-3.214857684704597e-08,0.9583333333333334,0.04166666666666663,-4.087852773046185e-08,0.85,0.15000000000000002,-4.721381013712161e-07,0.9605263157894737,0.03947368421052633,-3.214857684704597e-08,0.8232407407407408,0.9594298245614035,0.901063074352548,0.17675925925925917,-5.786629020397437e-07,0.040570175438596534,-3.6513552288754135e-08,0.09893692564745205,-2.688632736106072e-07,0.03947368421052633,0.3177777777777778,0.2783040935672515,0,False,True,False,False,22
