candidate_family,n,resolved_better,escape_candidates,novel_escape_candidates,low_bad_axis_rate,movement_over_uncertainty_rate,raw05_novel_movement_rate,majority_beats_a2c8_rate,best_source_path,best_priority_score,best_selector_p90_delta,best_selector_mean_delta,best_beats_a2c8_rate,best_bad_axis_abs_load,best_mean_abs_move_vs_a2c8,best_mean_abs_move_vs_raw05
cvjepa,88,0,39,9,0.9318181818181818,1.0,0.5568181818181818,0.4431818181818182,analysis_outputs/submission_raw05_cvjepa_surprise_graft_b0ba9eec.csv,0.000787755469852324,0.0005529495597510481,0.00028779018530955547,0.5057915057915058,0.02179631993674805,0.00874897652156068,0.0015276412215852633
hiddenblock_seqmotif,2882,0,4,4,0.9139486467730743,1.0,1.0,0.0013879250520471894,analysis_outputs/submission_hiddenblock_paretomix_w0.65_d508e99b.csv,0.0008021555875618419,0.000563991910997097,0.00028967635681409476,0.47104247104247104,0.02691477781454265,0.005389667625297899,0.004555210940296811
public6entropy,280,0,4,3,0.30714285714285716,0.9642857142857143,0.9928571428571429,0.014285714285714285,analysis_outputs/submission_public6entropy_raw05_q1q3s34_g030_7ad3f3e6.csv,0.0007853989502119985,0.0005506090731244306,0.0002871166975932926,0.5173745173745173,0.02651312935310646,0.007472061594027649,0.0018544094727766785
axis_repair,94,0,4,3,0.5106382978723404,1.0,0.9893617021276596,0.0425531914893617,analysis_outputs/submission_public_repair_rawaxis_s1.000_bdba2431.csv,0.0007940103848417722,0.0005392822667666941,0.00027669310689881765,0.7876447876447876,0.024790010120974613,0.008530873231461976,1.4591130882900062e-16
raw05_jepa,2631,0,37,0,0.9369061193462562,0.7879133409350056,0.98365640440897,0.014063093880653743,analysis_outputs/submission_raw05_jepa_public6q3s4corr_raw05_prob_bad_raw_ord_ortho_top60_strength_g160_e3189f46.csv,0.0007906212718041813,0.000556352172968344,0.0002956518197161362,0.40540540540540543,0.026844666352181155,0.007849824765588835,0.001438135019931625
other_jepa,1557,0,1,0,0.7064868336544637,1.0,0.9993577392421323,0.002569043031470777,jepa/submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p5_c20_bm0p35_sc0p5_q3_w0p2.csv,0.0007849192494483741,0.0005517471662882523,0.0002924038198934831,0.44015444015444016,0.022910098858890712,0.0092260012285553,0.0017461028060480174
raw_timeline,7,0,1,0,0.8571428571428571,1.0,0.8571428571428571,0.14285714285714285,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.0007940103848417722,0.0005392822667666941,0.00027669310689881765,0.7876447876447876,0.02479001012097469,0.008530873231461969,0.0
known_public,8,0,1,0,0.375,0.875,0.875,0.25,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.0007940103848417722,0.0005392822667666941,0.00027669310689881765,0.7876447876447876,0.02479001012097469,0.008530873231461969,0.0
blockscale,544,0,0,0,0.4338235294117647,1.0,1.0,0.0,analysis_outputs/submission_blockscale_jepa_raw05_rt_bc_nb_sg_loc_ridge_zctx_a12_blend0p2_q3s4_w0p05_410c9f71.csv,0.0007824265626496114,0.0005531094769700706,0.00033432549256040556,0.10810810810810811,0.03663921972041491,0.010135734477819791,0.00588758128879011
lejepa,63,0,0,0,0.1111111111111111,1.0,1.0,0.0,analysis_outputs/submission_public_repair_raw05_antilejepa_q3_only_g0.040_90725dca.csv,0.0007835690512497155,0.0005484758607469109,0.00028933512416984275,0.4362934362934363,0.02642053783288701,0.009117455802828212,0.0015380336451728464
blockpublic,180,0,0,0,0.9,1.0,1.0,0.0,analysis_outputs/submission_blockpublic_jepa_q3s4_35991e25.csv,0.0008058094652572872,0.0005594536690227692,0.00029910667758359377,0.3552123552123552,0.02720168579569888,0.00611044451153366,0.008815580336702234
energy_gate,280,0,0,0,0.8678571428571429,1.0,1.0,0.0,analysis_outputs/submission_jepa_public_blockentropy_energy_balanced_core_q1_q3_s3_s4_g003_88872f51.csv,0.0008090663180446815,0.0005725372153471131,0.00032647800259333337,0.25096525096525096,0.02979589553628345,0.009970337521515063,0.013522967104716867
publicmask,100,0,0,0,0.82,1.0,1.0,0.0,analysis_outputs/submission_jepa_public_blockentropy_publicmask_core_q1_q3_s3_s4_g003_9e55efe2.csv,0.0008122188748002915,0.0005751655354105933,0.0003292101269590786,0.25096525096525096,0.029571454362730523,0.01036540080533022,0.013659669319239766
q2_specific,643,0,0,0,0.1104199066874028,1.0,1.0,0.0,analysis_outputs/submission_jepa_public_blockentropy_seq1501_no_q2_g000_c4a9fa17.csv,0.000820513033321509,0.0005769334112581959,0.0003082450182078089,0.15057915057915058,0.03336590062252995,0.004633471227311879,0.006759930178077819
directrob,39,0,0,0,0.0,1.0,1.0,0.0,analysis_outputs/submission_directrob_fa912ae4.csv,0.0008325267058379277,0.0005792824490551407,0.0003429109731251101,0.26640926640926643,0.060976760050026765,0.006192718757392112,0.013045588245394058
frontier_cvjepa,88,0,0,0,1.0,0.19318181818181818,1.0,0.0,analysis_outputs/submission_frontier_cvjepa_refine_2ec9e953.csv,0.0008426961693049047,0.0005882866185555891,0.00029145459824042597,0.3436293436293436,0.031242142062529912,0.0029115566279137267,0.00886290772173174
direct_inverse,40,0,0,0,0.475,0.7,1.0,0.0,analysis_outputs/submission_inverse7blend_2dc0510c.csv,0.0008467075996242563,0.0005791684675217068,0.0002864667934781018,0.21621621621621623,0.03626269760346039,0.00027078857142857015,0.008377009683197437
episode_graph_rawstack,194,0,0,0,0.07731958762886598,1.0,1.0,0.0,jepa/submission_jepa_episode_rawstack_raw05_er_strict075_rw1p0_ew0p25.csv,0.0008908466088118626,0.000665002293170569,0.00042167651411484375,0.04633204633204633,0.049065376081833596,0.019960805921895794,0.01775801852065634
sparse_jepa_ladder,46,0,0,0,0.0,1.0,1.0,0.0,analysis_outputs/submission_sparsejepa_7162ff43.csv,0.0009040523211522557,0.0006538903306585464,0.00038842686238316215,0.03861003861003861,0.05360806535421131,0.013752752161171476,0.018382182369890716
targetwise,44,0,0,0,0.29545454545454547,1.0,1.0,0.0,analysis_outputs/submission_targetabl_ef7e267d.csv,0.0009564708655033236,0.0006769805187235578,0.0003849897620051834,0.0888030888030888,0.05805090961568707,0.01094550061656543,0.017525252606626768
other,5142,0,0,0,0.24484636328276935,1.0,1.0,0.0007779074290159471,analysis_outputs/submission_inv7gate_5db28d0b.csv,0.0009926794032426973,0.0007108809544336125,0.00041437530788857035,0.17374517374517376,0.07896265937399963,0.012161737168086008,0.01972128629385061
directcons,28,0,0,0,0.0,1.0,1.0,0.0,analysis_outputs/submission_directcons_bf4f6c46.csv,0.0011397879805454,0.0007531644288710782,0.0004183921505361843,0.1583011583011583,0.0820708495535716,0.01765373541479346,0.024366051493190287
