scenario,dropped_families,winner,e176_balance,e154_balance,e144_balance,e176_minus_e154,e176_minus_e144
baseline,,e176,3.1,-0.2250000000000001,-1.725,3.325,4.825
drop_antisymmetric_pair,antisymmetric_pair,e176,1.6,1.275,-0.22499999999999998,0.3250000000000002,1.8250000000000002
drop_binary_world,binary_world,e176,5.6,-2.1,-3.6,7.699999999999999,9.2
drop_clean_e72_tail,clean_e72_tail,e176,1.85,-1.475,-1.475,3.325,3.325
drop_known_winner_topcell,known_winner_topcell,e176,2.6,-0.2250000000000001,-1.725,2.825,4.325
drop_pressure_branch,pressure_branch,e176,2.75,1.625,0.125,1.125,2.625
drop_visible_body_q2,visible_body_q2,e176,1.1,-0.2250000000000001,-1.725,1.3250000000000002,2.825
drop_visible_plus_topcell,"known_winner_topcell,visible_body_q2",e176,0.6000000000000001,-0.2250000000000001,-1.725,0.8250000000000002,2.325
drop_visible_topcell_pair,"antisymmetric_pair,known_winner_topcell,visible_body_q2",e154,-0.9,1.275,-0.22499999999999998,-2.175,-0.675
drop_binary_and_local_pressure,"binary_world,pressure_branch",e176,5.25,-0.25,-1.75,5.5,7.0
drop_antisymmetric_pair+binary_world,"antisymmetric_pair,binary_world",e176,4.1,-0.6,-2.1,4.699999999999999,6.199999999999999
drop_antisymmetric_pair+clean_e72_tail,"antisymmetric_pair,clean_e72_tail",e176,0.35,0.025000000000000022,0.025000000000000022,0.32499999999999996,0.32499999999999996
drop_antisymmetric_pair+known_winner_topcell,"antisymmetric_pair,known_winner_topcell",e154,1.1,1.275,-0.22499999999999998,-0.17499999999999982,1.3250000000000002
drop_antisymmetric_pair+pressure_branch,"antisymmetric_pair,pressure_branch",e154,1.25,3.125,1.625,-1.875,-0.375
drop_antisymmetric_pair+visible_body_q2,"antisymmetric_pair,visible_body_q2",e154,-0.4,1.275,-0.22499999999999998,-1.6749999999999998,-0.17500000000000004
drop_binary_world+clean_e72_tail,"binary_world,clean_e72_tail",e176,4.35,-3.35,-3.35,7.699999999999999,7.699999999999999
drop_binary_world+known_winner_topcell,"binary_world,known_winner_topcell",e176,5.1,-2.1,-3.6,7.199999999999999,8.7
drop_binary_world+pressure_branch,"binary_world,pressure_branch",e176,5.25,-0.25,-1.75,5.5,7.0
drop_binary_world+visible_body_q2,"binary_world,visible_body_q2",e176,3.6,-2.1,-3.6,5.7,7.2
