scenario,dropped_families,winner,e176_balance,e154_balance,e144_balance,e176_minus_e154,e176_minus_e144
drop_clean_e72_tail+known_winner_topcell,"clean_e72_tail,known_winner_topcell",e176,1.35,-1.475,-1.475,2.825,2.825
drop_clean_e72_tail+pressure_branch,"clean_e72_tail,pressure_branch",e176,1.5,0.375,0.375,1.125,1.125
drop_clean_e72_tail+visible_body_q2,"clean_e72_tail,visible_body_q2",e176,-0.1499999999999999,-1.475,-1.475,1.3250000000000002,1.3250000000000002
drop_known_winner_topcell+pressure_branch,"known_winner_topcell,pressure_branch",e176,2.25,1.625,0.125,0.625,2.125
drop_known_winner_topcell+visible_body_q2,"known_winner_topcell,visible_body_q2",e176,0.6000000000000001,-0.2250000000000001,-1.725,0.8250000000000002,2.325
drop_pressure_branch+visible_body_q2,"pressure_branch,visible_body_q2",e154,0.75,1.625,0.125,-0.875,0.625
drop_antisymmetric_pair+binary_world+clean_e72_tail,"antisymmetric_pair,binary_world,clean_e72_tail",e176,2.85,-1.85,-1.85,4.7,4.7
drop_antisymmetric_pair+binary_world+known_winner_topcell,"antisymmetric_pair,binary_world,known_winner_topcell",e176,3.6,-0.6,-2.1,4.2,5.7
drop_antisymmetric_pair+binary_world+pressure_branch,"antisymmetric_pair,binary_world,pressure_branch",e176,3.75,1.25,-0.25,2.5,4.0
drop_antisymmetric_pair+binary_world+visible_body_q2,"antisymmetric_pair,binary_world,visible_body_q2",e176,2.1,-0.6,-2.1,2.7,4.2
drop_antisymmetric_pair+clean_e72_tail+known_winner_topcell,"antisymmetric_pair,clean_e72_tail,known_winner_topcell",e154,-0.15000000000000002,0.025000000000000022,0.025000000000000022,-0.17500000000000004,-0.17500000000000004
drop_antisymmetric_pair+clean_e72_tail+pressure_branch,"antisymmetric_pair,clean_e72_tail,pressure_branch",e154,0.0,1.875,1.875,-1.875,-1.875
drop_antisymmetric_pair+clean_e72_tail+visible_body_q2,"antisymmetric_pair,clean_e72_tail,visible_body_q2",e154,-1.65,0.025000000000000022,0.025000000000000022,-1.6749999999999998,-1.6749999999999998
drop_antisymmetric_pair+known_winner_topcell+pressure_branch,"antisymmetric_pair,known_winner_topcell,pressure_branch",e154,0.75,3.125,1.625,-2.375,-0.875
drop_antisymmetric_pair+known_winner_topcell+visible_body_q2,"antisymmetric_pair,known_winner_topcell,visible_body_q2",e154,-0.9,1.275,-0.22499999999999998,-2.175,-0.675
drop_antisymmetric_pair+pressure_branch+visible_body_q2,"antisymmetric_pair,pressure_branch,visible_body_q2",e154,-0.75,3.125,1.625,-3.875,-2.375
drop_binary_world+clean_e72_tail+known_winner_topcell,"binary_world,clean_e72_tail,known_winner_topcell",e176,3.85,-3.35,-3.35,7.2,7.2
drop_binary_world+clean_e72_tail+pressure_branch,"binary_world,clean_e72_tail,pressure_branch",e176,4.0,-1.5,-1.5,5.5,5.5
drop_binary_world+clean_e72_tail+visible_body_q2,"binary_world,clean_e72_tail,visible_body_q2",e176,2.35,-3.35,-3.35,5.7,5.7
drop_binary_world+known_winner_topcell+pressure_branch,"binary_world,known_winner_topcell,pressure_branch",e176,4.75,-0.25,-1.75,5.0,6.5
drop_binary_world+known_winner_topcell+visible_body_q2,"binary_world,known_winner_topcell,visible_body_q2",e176,3.1,-2.1,-3.6,5.2,6.7
drop_binary_world+pressure_branch+visible_body_q2,"binary_world,pressure_branch,visible_body_q2",e176,3.25,-0.25,-1.75,3.5,5.0
