rank,sub_idx,hidden_block_id,sleep_date,support_label,prev_y,next_y,p_y1_subject,p_y1_both_distance_beta,p_y1_motif_no_s3,p_y1_motif_full,p_y1_motif_plus_subject,support_probability_subject,support_probability_both_distance_beta,support_probability_motif_no_s3,support_probability_motif_full,support_probability_motif_plus_subject,support_delta,adverse_delta,flip_benefit
18,115,id05_b4,2024-10-14,0,0.0,0.0,0.1363636363636363,0.111317254174397,0.1333042803944028,0.12621413056387037,0.1263264478633925,0.8636363636363636,0.888682745825603,0.8666957196055972,0.8737858694361296,0.8736735521366075,-0.0015186899361294,0.0126954089604356,0.0142140988965651
19,47,id02_b4,2024-10-04,1,1.0,,0.8958333333333334,0.903846153846154,0.44621540650357505,0.5341250218868472,0.8800194945361149,0.8958333333333334,0.903846153846154,0.44621540650357505,0.5341250218868472,0.8800194945361149,-0.0013120723441852,0.0126011673413621,0.0139132396855474
20,22,id01_b4,2024-09-11,0,1.0,,0.8536585365853658,0.8606271777003485,0.5525968419490044,0.691536921462946,0.8423717079471822,0.1463414634146341,0.1393728222996515,0.4474031580509956,0.308463078537054,0.1576282920528178,-0.0111307193548251,0.0026127155450108,0.013743434899836
21,158,id07_b2,2024-07-20,1,1.0,1.0,0.7959183673469388,0.8189134808853119,0.894417595492878,0.8875376274997973,0.8783432496818782,0.7959183673469388,0.8189134808853119,0.894417595492878,0.8875376274997973,0.8783432496818782,-0.0022094430189448,0.0110188113026792,0.013228254321624
22,49,id02_b4,2024-10-06,0,1.0,,0.8958333333333334,0.9019607843137256,0.277451503474985,0.37491087506718784,0.783664003084052,0.1041666666666666,0.0980392156862745,0.7225484965250151,0.6250891249328121,0.21633599691594796,-0.010471460985715,0.0026172143902897,0.0130886753760048
23,147,id06_b10,2024-08-21,1,1.0,,0.9583333333333334,0.9666666666666668,0.943564321960087,0.956190729578102,0.9843261097720162,0.9583333333333334,0.9666666666666668,0.943564321960087,0.956190729578102,0.9843261097720162,-0.0005979051356982,0.0124700578954293,0.0130679630311275
24,91,id04_b6,2024-09-25,0,1.0,0.0,0.543859649122807,0.4969635627530364,0.705515199408569,0.7086501163951446,0.787740194034152,0.4561403508771929,0.5030364372469636,0.294484800591431,0.29134988360485536,0.21225980596584804,-0.0063591419433651,0.0066928171414839,0.0130519590848491
25,103,id04_b12,2024-10-26,1,0.0,0.0,0.543859649122807,0.3263157894736843,0.15052619966729935,0.1015426272949519,0.4412925619751004,0.543859649122807,0.3263157894736843,0.15052619966729935,0.1015426272949519,0.4412925619751004,-0.0053182437727592,0.0070646426326629,0.0123828864054221
26,27,id02_b2,2024-08-26,1,1.0,1.0,0.8958333333333334,0.9319727891156464,0.7726022675303909,0.8264085383295388,0.9213050241305822,0.8958333333333334,0.9319727891156464,0.7726022675303909,0.8264085383295388,0.9213050241305822,-0.0010738008722442,0.0100510116895451,0.0111248125617894
27,70,id03_b4,2024-09-16,0,1.0,,0.4848484848484848,0.5584415584415584,0.6231825979942347,0.6925600471188088,0.3638567693881492,0.5151515151515151,0.4415584415584416,0.3768174020057653,0.3074399528811912,0.6361432306118509,-0.0036585200428603,0.0057563878372379,0.0094149078800983
