pair_id,file_new,file_base,row_idx,target_idx,target,subject_id,sleep_date,lifelog_date,e257_group,action,p_base,p_new,prob_delta,abs_prob_delta,logit_delta,abs_logit_delta,loss_delta_y1,loss_delta_y0,support_label,support_delta,adverse_delta,swing,py_focus,py_global,py_subject,py_nearest_hard085,expected_focus,expected_global,expected_subject,expected_nearest_hard085,support_prob_focus
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,223,2,Q3,id09,2024-09-16,2024-09-15,common,remove_e247_rollback_cell,0.5126687631135441,0.4715633872857087,-0.041105375827835466,0.041105375827835466,-0.16455523039988984,0.16455523039988984,4.775795436586432e-05,-4.6273605862644094e-05,0,-4.6273605862644094e-05,4.775795436586432e-05,9.403156022850842e-05,0.6296747967479676,0.6,0.4390243902439024,0.85,1.2935697712136212e-05,1.0145330274460953e-05,-4.991457469640403e-06,3.3653220331588055e-05,0.37032520325203244
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,150,2,Q3,id06,2024-08-24,2024-08-23,common,remove_e247_rollback_cell,0.7344636289873309,0.7081875726862621,-0.026276056301068773,0.026276056301068773,-0.13079088626780067,0.13079088626780067,2.0817991173331813e-05,-5.391965812255441e-05,0,-5.391965812255441e-05,2.0817991173331813e-05,7.473764929588622e-05,0.6,0.6,0.6,0.6,-9.077068545022676e-06,-9.077068545022676e-06,-9.077068545022676e-06,-9.077068545022676e-06,0.4
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,235,2,Q3,id10,2024-08-18,2024-08-17,common,remove_e247_rollback_cell,0.7052866282842567,0.6782259527061134,-0.02706067557814329,0.02706067557814329,-0.12697010917083074,0.12697010917083074,2.235645093176137e-05,-5.019789716585623e-05,0,-5.019789716585623e-05,2.235645093176137e-05,7.25543480976176e-05,0.6,0.6,0.6,0.6,-6.665288307285672e-06,-6.665288307285672e-06,-6.665288307285672e-06,-6.665288307285672e-06,0.4
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,237,2,Q3,id10,2024-08-20,2024-08-19,common,remove_e247_rollback_cell,0.5225588242343959,0.4912612942897662,-0.0312975299446297,0.0312975299446297,-0.1252549821431368,0.1252549821431368,3.529223195943836e-05,-3.6282043550925455e-05,0,-3.6282043550925455e-05,3.529223195943836e-05,7.157427551036382e-05,0.6954545454545454,0.6,0.6363636363636364,0.85,1.3494611690373012e-05,6.662521755292833e-06,9.265222682942427e-06,2.4556090632883783e-05,0.30454545454545456
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,158,2,Q3,id07,2024-07-20,2024-07-19,common,remove_e247_rollback_cell,0.5631803758195201,0.5846043905188709,0.021424014699350846,0.021424014699350846,0.08762441134299442,0.08762441134299442,-2.1334515873338296e-05,2.8736576322658614e-05,1,-2.1334515873338296e-05,2.8736576322658614e-05,5.0071092195996906e-05,0.6,0.6,0.6,0.6,-1.3060789949395322e-06,-1.3060789949395322e-06,-1.3060789949395322e-06,-1.3060789949395322e-06,0.6
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,222,2,Q3,id09,2024-09-14,2024-09-13,common,remove_e247_rollback_cell,0.4591574118481634,0.4376230850911599,-0.021534326757003508,0.021534326757003508,-0.08707911317601075,0.08707911317601075,2.744862450873737e-05,-2.231086873469731e-05,0,-2.231086873469731e-05,2.744862450873737e-05,4.975949324343468e-05,0.6,0.6,0.6,0.6,7.544827211363497e-06,7.544827211363497e-06,7.544827211363497e-06,7.544827211363497e-06,0.4
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,51,2,Q3,id02,2024-10-08,2024-10-07,common,remove_e247_rollback_cell,0.5200321641461036,0.4984571578836247,-0.021575006262478935,0.021575006262478935,-0.08634295882306535,0.08634295882306535,2.4213154365698548e-05,-2.5125679247481626e-05,0,-2.5125679247481626e-05,2.4213154365698548e-05,4.9338833613180174e-05,0.7263888888888889,0.6,0.7291666666666666,0.85,1.0713501279870085e-05,4.4776209204264775e-06,1.0850553595462248e-05,1.6812329323721523e-05,0.27361111111111114
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,105,2,Q3,id04,2024-10-29,2024-10-28,common,remove_e247_rollback_cell,0.6605053244076691,0.6412761301525783,-0.01922919425509073,0.01922919425509073,-0.08463970464558312,0.08463970464558312,1.6882880386607012e-05,-3.148266512515477e-05,0,-3.148266512515477e-05,1.6882880386607012e-05,4.836554551176178e-05,0.6,0.6,0.6,0.6,-2.4633378180977022e-06,-2.4633378180977022e-06,-2.4633378180977022e-06,-2.4633378180977022e-06,0.4
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,196,2,Q3,id08,2024-09-11,2024-09-10,common,remove_e247_rollback_cell,0.3010967663332897,0.2842003739702775,-0.016896392363012214,0.016896392363012214,-0.08164014300104161,0.08164014300104161,3.30012367925566e-05,-1.3650273493752886e-05,0,-1.3650273493752886e-05,3.30012367925566e-05,4.665151028630949e-05,0.6,0.6,0.6,0.6,1.4340632678032805e-05,1.4340632678032805e-05,1.4340632678032805e-05,1.4340632678032805e-05,0.4
e224_vs_e247,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,230,2,Q3,id10,2024-08-07,2024-08-06,common,remove_e247_rollback_cell,0.464699329255029,0.444996637994566,-0.01970269126046298,0.01970269126046298,-0.07946944659775523,0.07946944659775523,2.4756494644032336e-05,-2.0654617697542146e-05,0,-2.0654617697542146e-05,2.4756494644032336e-05,4.541111234157448e-05,0.6,0.6,0.6,0.6,6.592049707402542e-06,6.592049707402542e-06,6.592049707402542e-06,6.592049707402542e-06,0.4
