section,source_scope,view,model,split,target_kind,tail_q,policy,tail_auc,loss_vs_full,subject_win_rate,dropped_cells,dropped_q3,dropped_s4,dropped_mean_benefit,stress_promote
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_top50,0.5942519019442095,-0.0007066954149185234,0.8,50,50,0,-0.01272051746853267,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_top100,0.5942519019442095,-0.0006763195555065105,0.8,100,53,47,-0.006086875999558591,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_p10,0.5942519019442095,-0.0006563070221380363,0.8,45,45,0,-0.013126140442760444,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_p15,0.5942519019442095,-0.0006562025811907013,0.7,68,68,0,-0.008685034162817594,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_p10,0.5942519019442095,-0.0005371588214404532,0.8,90,50,40,-0.005371588214403787,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.2,drop_q3_p10,0.5211182561966006,-0.0004882622635136169,0.6,45,45,0,-0.00976524527027333,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.2,drop_q3_top40,0.5211182561966006,-0.0004601297747002242,0.6,40,40,0,-0.010352919930756668,True
top_nn_loss,q3s4,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_top13,0.46805941311435817,-0.0004307353589800833,0.7,13,13,0,-0.02982014023708547,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_top40,0.5942519019442095,-0.0004298540683368435,0.8,40,40,0,-0.00967171653757943,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.2,drop_q3_top50,0.5211182561966006,-0.0004227229468941607,0.6,50,50,0,-0.007609013044095106,True
top_nn_loss,q3s4,movement_featnn1,hgb_shallow,row5,contrast,0.1,drop_s4_p15,0.5947508382471962,-0.00041560370172444294,0.7,68,0,68,-0.005500637228705542,True
top_nn_loss,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_p15,0.5942519019442095,-0.0003707217288487774,0.8,135,69,66,-0.002471478192325211,True
top_nn_loss,q3s4,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_p05,0.46805941311435817,-0.0003652705613482743,0.7,22,22,0,-0.014942886600613386,True
