method,blocks,weighted_logloss,delta_vs_subject_mean,rate_rmse_weighted,rate_mae_weighted,count_mae_mean,rate_r2_weighted
motif_same_r1_k16_tau1p0_s8p0,369,0.597394391164844,-0.015607382411725879,0.23691617555036412,0.18260073043587763,0.841744830545875,0.36719685480830455
motif_same_r1_k8_tau1p0_s8p0,369,0.5998634093615234,-0.01313836421504655,0.2393973233724392,0.18440588576747796,0.850066156342764,0.3538731583019217
motif_local_r1_k16_tau1p0_s16p0,369,0.6000374267554583,-0.012964346821111583,0.24051858910737725,0.18509511896001077,0.8532433532546838,0.34780645294565926
motif_same_r2_k16_tau1p0_s8p0,369,0.6011136157030997,-0.011888157873470195,0.24029048680831447,0.18542150020921144,0.8547478912083162,0.3490429170754408
motif_local_r2_k16_tau1p0_s16p0,369,0.6016130344883716,-0.011388739088198374,0.2418137934556023,0.18562271224038654,0.8556754295959281,0.34076335194504104
motif_same_r2_k8_tau1p0_s8p0,369,0.6020973726659189,-0.010904400910651035,0.24130806978631353,0.18599399721556895,0.8573869627742082,0.343517892520922
motif_strict_r5_k16_tau1p0_s16p0,369,0.6024291543094352,-0.010572619267134709,0.2427486954179023,0.1889335334932138,0.8709375080540831,0.33565600847802934
motif_same_r1_k16_tau1p0_s16p0,369,0.602550266053344,-0.010451507523225878,0.24186212158184248,0.1864350069036477,0.8594199098729126,0.3404998197851945
motif_same_r1_k5_tau1p0_s8p0,369,0.60267849268196,-0.010323280894609876,0.24199926182652423,0.18631721802459195,0.8588769318694606,0.3397517104310225
motif_strict_r3_k16_tau1p0_s16p0,369,0.6029729750590137,-0.010028798517556226,0.24315015778729068,0.18883744904183558,0.870494582168462,0.3334567821815039
motif_local_r1_k8_tau1p0_s16p0,369,0.6030084707564702,-0.009993302820099692,0.24306683240615917,0.18705135322489008,0.8622611160854693,0.3339135406853515
motif_local_r3_k16_tau1p0_s16p0,369,0.6033752070350803,-0.009626566541489634,0.2434617367595328,0.1869998866530694,0.8620238677421985,0.3317474358541872
motif_local_r5_k16_tau1p0_s16p0,369,0.603414670298334,-0.009587103278235976,0.24392874368529663,0.18733007871258125,0.8635459726018987,0.32918130046509364
motif_strict_r2_k16_tau1p0_s16p0,369,0.603534877847473,-0.00946689572909698,0.2436398391051406,0.1890371758894842,0.8714152742222561,0.3307693693721352
motif_local_r1_k16_tau1p0_s32p0,369,0.6038156201487901,-0.009186153427779842,0.244070893628807,0.1879512019810788,0.8664091993761925,0.3283992308861309
motif_strict_r5_k8_tau1p0_s16p0,369,0.6039000810880182,-0.00910169248855175,0.24444991963837834,0.18917010641062984,0.8720280515026596,0.3263117078007691
motif_strict_r1_k16_tau1p0_s16p0,369,0.6039170645662345,-0.009084709010335423,0.24404576355672664,0.18946457522108337,0.8733854808971889,0.32853752272929526
