cell_idx,sub_idx,target,subject_id,hidden_block_id,context_type,pos_bin,block_len_bin,e101_plausible_share,broad_tail_equal_share,broad_low_alpha_share,broad_share,target_is_q2s3,e101_active,e95_fallback_cell,e95_moved_vs_mixmin,e72_pos,e72_pos_bin,edge_like,is_weekend
449,64,Q2,id03,id03_b2,between_train_runs,interior,11-16,0.02044162396218604,0.01893097674991966,0.009998251540879915,0.014657809762746247,True,False,True,False,0.020562892498008134,p05_high,False,0
1618,231,Q2,id10,id10_b2,between_train_runs,interior,11-16,0.010177184756620057,0.010452243804096272,0.006109223191695448,0.010038805292501403,True,False,True,False,0.01711189440618255,p05_high,False,0
1212,173,Q2,id07,id07_b4,after_train_run,interior,11-16,0.009706195418133704,0.012816675030894696,0.005509223136604423,0.008092543947741919,True,False,True,False,0.013988549181569054,p05_high,False,0
1695,242,Q2,id10,id10_b4,after_train_run,interior,11-16,0.00882727308611503,0.006799386025791305,0.004721289492439539,0.007794618934467858,True,False,True,False,0.014842156112561677,p05_high,False,0
1730,247,Q2,id10,id10_b4,after_train_run,interior,11-16,0.008786725308129725,0.005801274238186035,0.004138286421341646,0.00585310310438167,True,False,True,False,0.012663410720958224,p05_high,False,0
967,138,Q2,id06,id06_b4,between_train_runs,interior,3-5,0.008262348979707946,0.00848565570888924,0.0037812500618392636,0.006547879970164412,True,False,True,False,0.013892294054681953,p05_high,False,0
1513,216,Q2,id09,id09_b4,after_train_run,near_edge,11-16,0.008019631717895121,0.006177283890811105,0.004390216865942623,0.003801765794779594,True,False,True,False,0.01011314236806704,p05_high,True,0
1310,187,Q2,id08,id08_b4,between_train_runs,interior,6-10,0.007899658521358946,0.012169744208579997,0.007683371168899308,0.009155466373533044,True,False,True,False,0.01593896060984412,p05_high,False,0
1226,175,Q2,id07,id07_b4,after_train_run,interior,11-16,0.007651782475655459,0.009788235909002222,0.005437576396856984,0.006645130141500001,True,False,True,False,0.013094879220281852,p05_high,False,1
1303,186,Q2,id08,id08_b4,between_train_runs,interior,6-10,0.00741431942854311,0.011352155047061673,0.006332454978149198,0.008940762596942426,True,False,True,False,0.015210170066054962,p05_high,False,0
1639,234,Q2,id10,id10_b2,between_train_runs,interior,11-16,0.007037680602562543,0.003613944093207792,0.005157069919400403,0.005230868436100328,True,False,True,False,0.011833139538628634,p05_high,False,0
