source_name,mask_mode,threshold,mask_mean_q2,mask_mean_s3,mask_active_q2,mask_active_s3
control,identity,,1.0,1.0,1.0,1.0
exact_all,soft_consensus,,0.9999999999084366,0.9999999999784054,1.0,1.0
exact_all,hard_consensus_0.55,0.55,1.0,1.0,1.0,1.0
exact_all,hard_consensus_0.70,0.7,1.0,1.0,1.0,1.0
exact_all,hard_consensus_0.85,0.85,1.0,1.0,1.0,1.0
exact_all,hard_sign_0.60,0.6,0.9,0.9743589743589743,0.9,0.9743589743589743
exact_all,hard_sign_0.75,0.75,0.9,0.9743589743589743,0.9,0.9743589743589743
exact_all,hard_sign_0.90,0.9,0.875,0.7692307692307693,0.875,0.7692307692307693
exact_deployable,soft_consensus,,0.999999999909593,0.9999999999782196,1.0,1.0
exact_deployable,hard_consensus_0.55,0.55,1.0,1.0,1.0,1.0
exact_deployable,hard_consensus_0.70,0.7,1.0,1.0,1.0,1.0
exact_deployable,hard_consensus_0.85,0.85,1.0,1.0,1.0,1.0
exact_deployable,hard_sign_0.60,0.6,0.9,0.9743589743589743,0.9,0.9743589743589743
exact_deployable,hard_sign_0.75,0.75,0.9,0.9743589743589743,0.9,0.9743589743589743
exact_deployable,hard_sign_0.90,0.9,0.9,0.8461538461538461,0.9,0.8461538461538461
s3_deployable,soft_consensus,,0.9999999999306521,0.9999999999749278,1.0,1.0
s3_deployable,hard_consensus_0.55,0.55,1.0,1.0,1.0,1.0
s3_deployable,hard_consensus_0.70,0.7,1.0,1.0,1.0,1.0
s3_deployable,hard_consensus_0.85,0.85,1.0,1.0,1.0,1.0
s3_deployable,hard_sign_0.60,0.6,0.9,0.9743589743589743,0.9,0.9743589743589743
s3_deployable,hard_sign_0.75,0.75,0.9,0.9743589743589743,0.9,0.9743589743589743
s3_deployable,hard_sign_0.90,0.9,0.9,0.8717948717948718,0.9,0.8717948717948718
all_deployable,soft_consensus,,0.999999999924514,0.9999999999741268,1.0,1.0
all_deployable,hard_consensus_0.55,0.55,1.0,1.0,1.0,1.0
all_deployable,hard_consensus_0.70,0.7,1.0,1.0,1.0,1.0
all_deployable,hard_consensus_0.85,0.85,1.0,1.0,1.0,1.0
all_deployable,hard_sign_0.60,0.6,0.9,0.9743589743589743,0.9,0.9743589743589743
all_deployable,hard_sign_0.75,0.75,0.9,0.9743589743589743,0.9,0.9743589743589743
all_deployable,hard_sign_0.90,0.9,0.0,0.8717948717948718,0.0,0.8717948717948718
exact_deployable_vs_failed,soft_excess,,0.010160821459937696,0.029646959228570056,0.15,0.1794871794871795
exact_deployable_vs_failed,hard_excess_q50,0.0942054745668436,0.05,0.1282051282051282,0.05,0.1282051282051282
exact_deployable_vs_failed,hard_excess_q70,0.2292661784729595,0.0,0.10256410256410256,0.0,0.10256410256410256
exact_deployable_vs_failed,hard_excess_q85,0.2292661784733145,0.0,0.05128205128205128,0.0,0.05128205128205128
exact_deployable_vs_failed,bad_veto_le0.75,0.75,0.025,0.1282051282051282,0.025,0.1282051282051282
exact_deployable_vs_failed,bad_veto_le1.00,1.0,0.15,0.1794871794871795,0.15,0.1794871794871795
exact_deployable_vs_failed,bad_veto_le1.25,1.25,1.0,0.9743589743589743,1.0,0.9743589743589743
