feature,target,high_minus_low,abs_effect,high_n,low_n
jepa_prednorm_subject_mobility_context,Q3,-0.327433628318584,0.327433628318584,113,113
jepa_prednorm_dateblock_mobility_context,Q3,-0.2566371681415929,0.2566371681415929,113,113
mobility_context_energy,Q3,-0.2566371681415929,0.2566371681415929,113,113
mobility_context_energy,Q1,-0.2300884955752212,0.2300884955752212,113,113
jepa_resid_subject_bedtime_phone,Q1,-0.2212389380530974,0.2212389380530974,113,113
jepa_resid_dateblock_cognitive_money,S1,-0.22123893805309736,0.22123893805309736,113,113
mobility_context_energy,S3,0.22123893805309736,0.22123893805309736,113,113
jepa_resid_subject_sensor_measurement,S1,-0.21238938053097345,0.21238938053097345,113,113
jepa_resid_dateblock_bedtime_phone,Q3,-0.2035398230088496,0.2035398230088496,113,113
jepa_resid_subject_bedtime_phone,Q3,-0.2035398230088496,0.2035398230088496,113,113
jepa_prednorm_subject_bedtime_phone,Q3,-0.20353982300884954,0.20353982300884954,113,113
jepa_resid_subject_cognitive_money,S1,-0.20353982300884954,0.20353982300884954,113,113
jepa_prednorm_subject_mobility_context,Q1,-0.20353982300884949,0.20353982300884949,113,113
jepa_prednorm_dateblock_mobility_context,Q1,-0.1946902654867257,0.1946902654867257,113,113
jepa_prednorm_subject_cognitive_money,S3,0.19469026548672563,0.19469026548672563,113,113
diary_state_energy,Q3,-0.18584070796460184,0.18584070796460184,113,113
diary_state_pc10,Q2,-0.18584070796460178,0.18584070796460178,113,113
jepa_prednorm_subject_cognitive_money,Q1,-0.18584070796460178,0.18584070796460178,113,113
diary_state_pc8,S1,-0.18584070796460173,0.18584070796460173,113,113
jepa_prednorm_subject_routine_calendar,Q3,-0.18584070796460173,0.18584070796460173,113,113
diary_state_pc10,S3,0.17699115044247793,0.17699115044247793,113,113
jepa_prednorm_subject_cognitive_money,Q3,-0.17699115044247787,0.17699115044247787,113,113
diary_state_pc1,Q3,-0.17699115044247782,0.17699115044247782,113,113
cognitive_money_energy,S1,-0.16814159292035402,0.16814159292035402,113,113
jepa_resid_subject_social_comm,Q3,-0.16814159292035402,0.16814159292035402,113,113
jepa_resid_subject_sensor_measurement,Q3,-0.1681415929203539,0.1681415929203539,113,113
diary_state_pc1,Q1,-0.15929203539823011,0.15929203539823011,113,113
diary_state_pc5,S3,0.15929203539823011,0.15929203539823011,113,113
jepa_prednorm_subject_media_game,Q2,-0.15929203539823011,0.15929203539823011,113,113
jepa_prednorm_subject_media_game,S1,0.15929203539823011,0.15929203539823011,113,113
jepa_resid_subject_mobility_context,Q3,-0.15929203539823011,0.15929203539823011,113,113
physiology_activity_energy,S4,-0.15929203539823006,0.15929203539823006,113,113
jepa_prednorm_dateblock_media_game,S1,0.15929203539823,0.15929203539823,113,113
