family,n_cols,n_pcs,explained_var_sum,pc1_var,story,top_cols,section,split,context_cols,target_dim,oof_r2,resid_mean,resid_train_mean,resid_test_mean
social_comm,31.0,4.0,0.6698562350003717,0.27144306658787054,"messaging, calls, speech, and passive social isolation","usage_morning_call_time,usage_deepnight_social_msg_time,usage_evening_call_time,usage_presleep_call_time,usage_late_social_msg_time,usage_afternoon_call_time,usage_late_call_time,usage_evening_social_msg_time,usage_day_call_time,usage_morning_social_msg_time,usage_deepnight_call_time,usage_presleep_social_msg_time,usage_afternoon_social_msg_time,usage_day_social_msg_time,human_public_social_presence,human_public_social_presence_subj_z,social_isolation_media_subj_z,public_social_evening_subj_z,presleep_msg_drag_subj_z,late_msg_call_subj_z",family,,,,,,,
cognitive_money,120.0,4.0,0.42050839025159475,0.13033590091357256,"search, work, shopping, finance, and monthly cash-flow rumination","usage_day_shopping_time,usage_morning_finance_time,usage_late_search_browser_time,usage_presleep_finance_time,usage_afternoon_finance_time,usage_evening_finance_time,usage_presleep_shopping_time,usage_deepnight_search_browser_time,usage_afternoon_shopping_time,usage_evening_search_browser_time,usage_evening_shopping_time,usage_morning_shopping_time,usage_morning_search_browser_time,usage_late_finance_time,usage_presleep_search_browser_time,usage_day_finance_time,usage_afternoon_search_browser_time,usage_day_work_study_time,usage_deepnight_shopping_time,usage_deepnight_finance_time",family,,,,,,,
media_game,36.0,4.0,0.6589752017123826,0.412516907087509,"media, games, music, and attention entropy","usage_day_media_time,usage_presleep_media_time,usage_afternoon_media_time,usage_evening_media_time,usage_morning_media_time,usage_late_media_time,usage_deepnight_media_time,usage_day_game_time,usage_presleep_game_time,usage_day_total_time,usage_late_game_time,usage_afternoon_game_time,usage_evening_game_time,usage_morning_game_time,usage_deepnight_game_time,single_app_monotony_subj_z,social_isolation_media_subj_z,game_dopamine_late_subj_z,app_entropy_scattered_day_subj_z,music_ambient_late_subj_z",family,,,,,,,
bedtime_phone,120.0,4.0,0.5762959331046785,0.2959200992147686,"bed phone use, charging, light, and sleep-onset fragmentation","wlight_w_light_min_deepnight,wlight_w_light_min_presleep,wlight_w_light_sum_morning,wlight_w_light_sum_late,wlight_w_light_sum_deepnight,wlight_w_light_sum_afternoon,wlight_w_light_sum_day,wlight_w_light_max_morning,wlight_w_light_sum_presleep,wlight_w_light_sum_evening,mlight_m_light_sum_deepnight,wlight_w_light_max_afternoon,wlight_w_light_max_day,wlight_w_light_std_morning,charge_m_charging_sum_deepnight,wlight_w_light_max_evening,mlight_m_light_max_deepnight,mlight_m_light_sum_late,wlight_w_light_max_presleep,mlight_m_light_min_deepnight",family,,,,,,,
mobility_context,120.0,4.0,0.6167684043781233,0.33762529071799413,"home/away, commute, public context, and environmental motion","ble_rssi_mean_deepnight,ble_rssi_mean_late,ble_rssi_mean_evening,ble_rssi_mean_morning,ble_rssi_mean_presleep,ble_rssi_mean_afternoon,wifi_rssi_mean_deepnight,ble_rssi_mean_day,wifi_rssi_mean_late,wifi_rssi_mean_evening,wifi_rssi_mean_morning,wifi_rssi_mean_presleep,wifi_rssi_mean_afternoon,wifi_rssi_mean_day,human_commute_mobility,gps_speed_max_evening,gps_speed_max_afternoon,gps_speed_max_morning,gps_speed_max_late,gps_speed_max_presleep",family,,,,,,,
physiology_activity,120.0,4.0,0.9205061253681692,0.7215466625974771,"steps, physical load, heart rate, and recovery/arousal","pedo_burned_calories_max_late,hr_heart_rate_max_sum_presleep,hr_heart_rate_mean_sum_presleep,hr_heart_rate_max_sum_evening,hr_heart_rate_max_sum_morning,hr_heart_rate_min_sum_presleep,hr_heart_rate_mean_sum_evening,hr_heart_rate_mean_sum_morning,hr_heart_rate_min_sum_evening,hr_heart_rate_min_sum_morning,hr_heart_rate_max_sum_late,hr_heart_rate_mean_sum_late,hr_heart_rate_min_sum_late,hr_heart_rate_max_sum_afternoon,hr_heart_rate_mean_sum_afternoon,hr_heart_rate_min_sum_afternoon,hr_heart_rate_max_sum_day,hr_heart_rate_mean_sum_day,hr_heart_rate_min_sum_day,hr_heart_rate_max_sum_deepnight",family,,,,,,,
routine_calendar,54.0,4.0,0.6097462801855765,0.2402692407465939,"ritual, weekend/workday rhythm, and stable routine","human_routine_anchor,usage_day_religion_routine_time,usage_afternoon_religion_routine_time,usage_presleep_religion_routine_time,usage_morning_religion_routine_time,usage_evening_religion_routine_time,usage_late_religion_routine_time,usage_deepnight_religion_routine_time,weekday,home_stability_subj_z,ritual_anchor_subj_z,charge_bed_anchor_subj_z,weekday_routine_pressure_subj_z,weekend_ritual_rest_subj_z,weekend_social_jetlag_subj_z,human_routine_anchor_subj_z,screen_fragmentation_weekend,music_ambient_late_weekend,physical_fatigue_weekend,sedentary_screen_day_weekend",family,,,,,,,
sensor_measurement,109.0,4.0,0.7328756146514944,0.5027839159642619,"device availability, sensor density, and measurement state","pedo_step_count_deepnight,pedo_burned_calories_count_deepnight,pedo_speed_count_deepnight,pedo_distance_count_deepnight,hr_heart_rate_min_count_presleep,hr_heart_rate_mean_count_presleep,hr_heart_rate_std_count_presleep,hr_heart_rate_max_count_presleep,hr_heart_rate_max_count_morning,hr_heart_rate_min_count_morning,hr_heart_rate_mean_count_morning,hr_heart_rate_std_count_morning,hr_heart_rate_mean_count_evening,hr_heart_rate_min_count_evening,hr_heart_rate_std_count_evening,hr_heart_rate_max_count_evening,hr_heart_rate_min_count_day,hr_heart_rate_mean_count_day,hr_heart_rate_max_count_day,hr_heart_rate_std_count_day",family,,,,,,,
social_comm,,,,,,,jepa,subject,28.0,4.0,0.5173835935646217,1.8706809145850232,1.9289681713358993,1.7657638524334474
social_comm,,,,,,,jepa,dateblock,28.0,4.0,0.6421262977896284,1.6167405044686942,1.6651755515992919,1.5295574196336188
