strategy,source,fallback,target_scope,tail_quantile,rows,evaluated,strict,nondominated,best_tail,best_tail_all_delta,best_strict_tail,best_strict_tail_all_delta,best_margin,best_margin_tail,best_world,best_hidden_q2s3
blend_e86_e89,e86,e89,,,5,5,5,1,0.0008411551971080276,-2.6411479084997858e-05,0.0008411551971080276,-2.6411479084997858e-05,-2.7480261328927114e-05,0.0009678213753941802,-0.0002720258845833767,-0.0003456864202489654
cell_hardtail_fallback,e86,e85,all,0.5,1,1,1,1,0.0007889140929277226,-2.6207391227939247e-05,0.0007889140929277226,-2.6207391227939247e-05,-2.6207391227939247e-05,0.0007889140929277226,-0.0001329311050640991,-0.000251139504343037
row_hardtail_fallback,e86,e85,all,0.5,1,1,1,1,0.000793975309793755,-2.5945568750129766e-05,0.000793975309793755,-2.5945568750129766e-05,-2.5945568750129766e-05,0.000793975309793755,-0.00017654320161094027,-0.00026500921593559934
cell_hardtail_fallback,e86,e89,q2s3,0.5,1,1,1,1,0.0008658276867400143,-2.6941742370723e-05,0.0008658276867400143,-2.6941742370723e-05,-2.6941742370723e-05,0.0008658276867400143,-0.0001858114230860408,-0.000251139504343037
row_hardtail_fallback,e86,e89,q2s3,0.5,1,1,1,1,0.0008706795282800557,-2.7124219356799983e-05,0.0008706795282800557,-2.7124219356799983e-05,-2.7124219356799983e-05,0.0008706795282800557,-0.00020253180076542087,-0.00026500921593559934
row_hardtail_fallback,e86,e89,all,0.6,1,1,1,1,0.0008759115325663006,-2.699128494410008e-05,0.0008759115325663006,-2.699128494410008e-05,-2.699128494410008e-05,0.0008759115325663006,-0.00022184703756318868,-0.0002975094779521098
cell_hardtail_fallback,e86,e85,all,0.7,1,1,1,1,0.0008781027788995962,-2.6953045437982937e-05,0.0008781027788995962,-2.6953045437982937e-05,-2.6953045437982937e-05,0.0008781027788995962,-0.0002227656340025752,-0.0003262438108589047
cell_hardtail_fallback,e86,e89,q2s3,0.6,1,1,1,1,0.0008980619741860952,-2.7192391641839286e-05,0.0008980619741860952,-2.7192391641839286e-05,-2.7192391641839286e-05,0.0008980619741860952,-0.0002155969799473967,-0.0002946672870213357
row_hardtail_fallback,e86,e89,q2s3,0.6,1,1,1,1,0.0009017041439312415,-2.7314283776225246e-05,0.0009017041439312415,-2.7314283776225246e-05,-2.7314283776225246e-05,0.0009017041439312415,-0.00023524519443394732,-0.0002975094779521098
row_hardtail_fallback,e86,e89,all,0.7,1,1,1,1,0.0009101114763402852,-2.7162167169914042e-05,0.0009101114763402852,-2.7162167169914042e-05,-2.7162167169914042e-05,0.0009101114763402852,-0.00024189359943298515,-0.0003182423963225753
cell_hardtail_fallback,e86,e89,all,0.7,1,1,1,1,0.0009126535480509243,-2.7053028163304127e-05,0.0009126535480509243,-2.7053028163304127e-05,-2.7053028163304127e-05,0.0009126535480509243,-0.0002373976343270967,-0.0003262438108589047
cell_hardtail_fallback,e86,e85,s1s2s3,0.6,1,1,1,1,0.0009159511689742376,-2.7119470714209726e-05,0.0009159511689742376,-2.7119470714209726e-05,-2.7119470714209726e-05,0.0009159511689742376,-0.00025523557431743614,-0.00036654966163701674
row_hardtail_fallback,e86,e85,all,0.8,1,1,1,1,0.0009173821295132851,-2.711419074530319e-05,0.0009173821295132851,-2.711419074530319e-05,-2.711419074530319e-05,0.0009173821295132851,-0.00027505026265965405,-0.00034148161670909116
row_hardtail_fallback,e90,e89,all,0.9,1,1,1,1,0.000918730988390482,-2.6963319404549324e-05,0.000918730988390482,-2.6963319404549324e-05,-2.6963319404549324e-05,0.000918730988390482,-0.0002509693509080424,-0.00029593622787309204
row_hardtail_fallback,e90,e89,s1s2s3,0.9,1,1,1,1,0.0009214243217284149,-2.6968589117215558e-05,0.0009214243217284149,-2.6968589117215558e-05,-2.6968589117215558e-05,0.0009214243217284149,-0.00024794431283495233,-0.00029593458148262364
row_hardtail_fallback,e86,e89,q2s3,0.7,1,1,1,1,0.0009259143824706782,-2.744262329423819e-05,0.0009259143824706782,-2.744262329423819e-05,-2.744262329423819e-05,0.0009259143824706782,-0.0002444325642690204,-0.0003182423963225753
cell_hardtail_fallback,e86,e85,all,0.8,1,1,1,1,0.0009280058955599362,-2.726127077745666e-05,0.0009280058955599362,-2.726127077745666e-05,-2.726127077745666e-05,0.0009280058955599362,-0.0002784677105574618,-0.00036120498669961476
cell_hardtail_fallback,e86,e85,s1s2s3,0.7,1,1,1,1,0.0009290311674476578,-2.72685707065623e-05,0.0009290311674476578,-2.72685707065623e-05,-2.72685707065623e-05,0.0009290311674476578,-0.00026755993665288357,-0.00036807278928720905
cell_hardtail_fallback,e86,e89,q2s3,0.7,1,1,1,1,0.0009326940302981223,-2.73348573540666e-05,0.0009326940302981223,-2.73348573540666e-05,-2.73348573540666e-05,0.0009326940302981223,-0.00025285920447806753,-0.0003262438108589047
blend_e90_e89,e90,e89,,,3,3,3,0,0.000832681356735265,-2.626168000652296e-05,0.000832681356735265,-2.626168000652296e-05,-2.6779156908296464e-05,0.0009001335777365071,-0.00022075312470373198,-0.00027916577381841695
control,e85,,,,1,1,1,0,0.0007392011614654666,-2.387582191021309e-05,0.0007392011614654666,-2.387582191021309e-05,-2.387582191021309e-05,0.0007392011614654666,-0.0001303607473901458,-0.00021605979502650058
control,e89,,,,1,1,1,0,0.0007991094803102651,-2.5895951955900998e-05,0.0007991094803102651,-2.5895951955900998e-05,-2.5895951955900998e-05,0.0007991094803102651,-0.00014045227871900545,-0.0002160597950264867
cell_hardtail_fallback,e90,e85,all,0.6,1,1,1,0,0.0008049763579646717,-2.621559039783783e-05,0.0008049763579646717,-2.621559039783783e-05,-2.621559039783783e-05,0.0008049763579646717,-0.00014984216836393948,-0.0002552262946147951
row_hardtail_fallback,e90,e85,all,0.6,1,1,1,0,0.0008067959843593428,-2.5940653277212178e-05,0.0008067959843593428,-2.5940653277212178e-05,-2.5940653277212178e-05,0.0008067959843593428,-0.00018952922478282508,-0.00026126274802116406
row_hardtail_fallback,e90,e85,all,0.7,1,1,1,0,0.0008302277745163743,-2.6206215751445328e-05,0.0008302277745163743,-2.6206215751445328e-05,-2.6206215751445328e-05,0.0008302277745163743,-0.0002057474353094002,-0.00027560756409857057
