segment,n,label_rate,prob_mean,prob_max,prob_p95
e72__e95,2,1.0,0.9324226423474864,0.9324226423474864,0.9324226423474864
e72_positive,6,1.0,0.8878635755837417,0.9324226423474864,0.9324226423474864
e101__e72,2,1.0,0.9263188595630747,0.9263188595630747,0.9263188595630747
e72__mixmin,2,1.0,0.8048492248406639,0.8048492248406639,0.8048492248406639
e101__mixmin,2,0.0,0.04760092183733668,0.04760092183733668,0.04760092183733668
non_e72,126,0.0,0.005334634996115842,0.04760092183733668,0.02081466495988673
e95__mixmin,2,0.0,0.03644668024773274,0.03644668024773274,0.03644668024773274
e101__e95,2,0.0,0.031015958595120095,0.031015958595120095,0.031015958595120095
exact_e95_e101,2,0.0,0.031015958595120095,0.031015958595120095,0.031015958595120095
a2c8_frontier__mixmin,2,0.0,0.02081466495988673,0.02081466495988673,0.02081466495988673
hybrid_stage2__jepa_latent,4,0.0,0.009366333014510024,0.016549209053580354,0.016549209053580354
jepa_latent__ordinal,4,0.0,0.009521889534261757,0.014122509114958071,0.014122509114958071
jepa_latent__raw_jepa,4,0.0,0.00627615265053379,0.010604197186280969,0.010604197186280969
a2c8_frontier__jepa_latent,4,0.0,0.006017705927238121,0.01026998075440869,0.01026998075440869
hybrid_stage2__raw_jepa,2,0.0,0.009734100286732696,0.009734100286732696,0.009734100286732696
hybrid_final9__jepa_latent,4,0.0,0.0058525019769754055,0.008377983652855374,0.008377983652855374
e101__jepa_latent,4,0.0,0.005514927379264723,0.008086781427560294,0.008086781427560294
e95__jepa_latent,4,0.0,0.005485492810708674,0.00803955498790506,0.00803955498790506
jepa_latent__mixmin,4,0.0,0.005231577320772183,0.007523583630816412,0.007523583630816412
hybrid_final9__ordinal,2,0.0,0.007344334560690563,0.007344334560690563,0.007344334560690563
a2c8_frontier__e95,2,0.0,0.006867853576226791,0.006867853576226791,0.006867853576226791
e72__jepa_latent,4,0.0,0.004929794001799387,0.006815534983866953,0.006815534983866953
a2c8_frontier__e72,2,0.0,0.006756745823177064,0.006756745823177064,0.006756745823177064
a2c8_frontier__e101,2,0.0,0.006691374582535488,0.006691374582535488,0.006691374582535488
a2c8_frontier__hybrid_stage2,2,0.0,0.004622800413038811,0.004622800413038811,0.004622800413038811
e101__hybrid_stage2,2,0.0,0.0023972423877967625,0.0023972423877967625,0.0023972423877967625
e95__hybrid_stage2,2,0.0,0.002389520726347153,0.002389520726347153,0.002389520726347153
e72__hybrid_stage2,2,0.0,0.002259728579208917,0.002259728579208917,0.002259728579208917
mixmin__ordinal,2,0.0,0.002215963049116277,0.002215963049116277,0.002215963049116277
a2c8_frontier__ordinal,2,0.0,0.0020911855529223756,0.0020911855529223756,0.0020911855529223756
e101__ordinal,2,0.0,0.0020511495056937117,0.0020511495056937117,0.0020511495056937117
e95__ordinal,2,0.0,0.002037994830635567,0.002037994830635567,0.002037994830635567
e72__raw_jepa,2,0.0,0.0019217081665164797,0.0019217081665164797,0.0019217081665164797
e72__ordinal,2,0.0,0.0019034654601735432,0.0019034654601735432,0.0019034654601735432
hybrid_stage2__mixmin,2,0.0,0.0018310919785585176,0.0018310919785585176,0.0018310919785585176
ordinal__raw_jepa,2,0.0,0.0016127473224152751,0.0016127473224152751,0.0016127473224152751
a2c8_frontier__hybrid_final9,2,0.0,0.0015733926224228555,0.0015733926224228555,0.0015733926224228555
e95__raw_jepa,2,0.0,0.0014738815439728833,0.0014738815439728833,0.0014738815439728833
e101__raw_jepa,2,0.0,0.0014399339152757391,0.0014399339152757391,0.0014399339152757391
hybrid_stage2__ordinal,2,0.0,0.0012837479959403302,0.0012837479959403302,0.0012837479959403302
hybrid_final9__raw_jepa,2,0.0,0.0012355545123943453,0.0012355545123943453,0.0012355545123943453
bad_lejepa__jepa_latent,4,0.0,0.0007570035131308153,0.001218329569772425,0.001218329569772425
e101__hybrid_final9,2,0.0,0.0012049834276566134,0.0012049834276566134,0.0012049834276566134
e95__hybrid_final9,2,0.0,0.0011968033625822173,0.0011968033625822173,0.0011968033625822173
hybrid_final9__mixmin,2,0.0,0.0011619356193612077,0.0011619356193612077,0.0011619356193612077
mixmin__raw_jepa,2,0.0,0.0011586782244188383,0.0011586782244188383,0.0011586782244188383
jepa_latent__jepa_latent,2,0.0,0.0011277951739900797,0.0011277951739900797,0.0011277951739900797
e72__hybrid_final9,2,0.0,0.001097762572637325,0.001097762572637325,0.001097762572637325
hybrid_final9__hybrid_stage2,2,0.0,0.0009964042610911554,0.0009964042610911554,0.0009964042610911554
a2c8_frontier__raw_jepa,2,0.0,0.000523915339187255,0.000523915339187255,0.000523915339187255
bad_lejepa__raw_jepa,2,0.0,0.0003890590393081826,0.0003890590393081826,0.0003890590393081826
bad_lejepa__hybrid_stage2,2,0.0,0.0003243568035284192,0.0003243568035284192,0.0003243568035284192
a2c8_frontier__bad_lejepa,2,0.0,0.00029819742968049994,0.00029819742968049994,0.00029819742968049994
bad_lejepa__mixmin,2,0.0,0.0001978184428393523,0.0001978184428393523,0.0001978184428393523
bad_lejepa__hybrid_final9,2,0.0,0.00019600904843925567,0.00019600904843925567,0.00019600904843925567
bad_lejepa__e72,2,0.0,0.00019100101209698183,0.00019100101209698183,0.00019100101209698183
bad_lejepa__e101,2,0.0,0.00017022607930040017,0.00017022607930040017,0.00017022607930040017
bad_lejepa__e95,2,0.0,0.00017002681951607665,0.00017002681951607665,0.00017002681951607665
bad_lejepa__ordinal,2,0.0,0.00015653280940604425,0.00015653280940604425,0.00015653280940604425
