source_basename,null_basename,mode,rep,seed
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r0_c00b9b72.csv,row,0,20260808
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r1_28e04b7f.csv,row,1,20260905
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r2_948578e9.csv,row,2,20261002
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r3_dee247f0.csv,row,3,20261099
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r4_ab01937d.csv,row,4,20261196
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r5_fc518cf8.csv,row,5,20261293
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_row_r6_10edd430.csv,row,6,20261390
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r0_e008cf31.csv,subject,0,20260809
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r1_3c45a16c.csv,subject,1,20260906
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r2_97b1aa6d.csv,subject,2,20261003
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r3_63e967bd.csv,subject,3,20261100
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r4_0486aace.csv,subject,4,20261197
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r5_b1dd2f05.csv,subject,5,20261294
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_subject_r6_ff64aba2.csv,subject,6,20261391
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r0_046d1043.csv,dateblock,0,20260810
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r1_abb25730.csv,dateblock,1,20260907
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r2_ee199c2a.csv,dateblock,2,20261004
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r3_d28c6794.csv,dateblock,3,20261101
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r4_82d426bf.csv,dateblock,4,20261198
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r5_b76c9b37.csv,dateblock,5,20261295
submission_e275_q_sleep_amp_m160_86528b2f.csv,submission_e276_e277null_q_sleep_amp_m160_86528b2f_dateblock_r6_36585fef.csv,dateblock,6,20261392
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r0_ea3fd18f.csv,row,0,20261817
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r1_3d1e27f3.csv,row,1,20261914
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r2_5665a8bb.csv,row,2,20262011
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r3_fd333548.csv,row,3,20262108
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r4_e773f05e.csv,row,4,20262205
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r5_84a5cd11.csv,row,5,20262302
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_row_r6_40d2fa25.csv,row,6,20262399
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r0_3e8461f4.csv,subject,0,20261818
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r1_a1ab101f.csv,subject,1,20261915
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r2_35072cbd.csv,subject,2,20262012
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r3_fab9c7ac.csv,subject,3,20262109
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r4_4a77b763.csv,subject,4,20262206
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r5_74aeeb24.csv,subject,5,20262303
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_subject_r6_feaffaba.csv,subject,6,20262400
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r0_4f9a5953.csv,dateblock,0,20261819
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r1_8850ec79.csv,dateblock,1,20261916
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r2_ad3efc4f.csv,dateblock,2,20262013
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r3_44a27db0.csv,dateblock,3,20262110
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r4_be758e28.csv,dateblock,4,20262207
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r5_5aa72ab6.csv,dateblock,5,20262304
submission_e276_story_full_rebuild_m160_00f95c9a.csv,submission_e276_e277null_story_full_rebuild_m160_00f95c9a_dateblock_r6_3f89950a.csv,dateblock,6,20262401
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r0_f853a8b0.csv,row,0,20262826
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r1_6912dca9.csv,row,1,20262923
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r2_b17492ea.csv,row,2,20263020
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r3_0c0037a8.csv,row,3,20263117
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r4_2fb507d2.csv,row,4,20263214
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r5_225eb7b9.csv,row,5,20263311
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_row_r6_067d13a1.csv,row,6,20263408
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r0_5b2c4f94.csv,subject,0,20262827
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r1_77d67c38.csv,subject,1,20262924
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r2_b1270a92.csv,subject,2,20263021
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r3_557c8a00.csv,subject,3,20263118
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r4_0df7e0b1.csv,subject,4,20263215
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r5_38b3670e.csv,subject,5,20263312
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_subject_r6_05e7cf7b.csv,subject,6,20263409
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r0_84faec01.csv,dateblock,0,20262828
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r1_960cb8fc.csv,dateblock,1,20262925
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r2_e14eedbf.csv,dateblock,2,20263022
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r3_b4a2f05f.csv,dateblock,3,20263119
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r4_dad03217.csv,dateblock,4,20263216
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r5_2addcf40.csv,dateblock,5,20263313
submission_e276_q3_only_m160_6034ca83.csv,submission_e276_e277null_q3_only_m160_6034ca83_dateblock_r6_89ad528c.csv,dateblock,6,20263410
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r0_dc4cafa9.csv,row,0,20263835
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r1_0a9ae1db.csv,row,1,20263932
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r2_a27c2726.csv,row,2,20264029
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r3_52e3636f.csv,row,3,20264126
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r4_232d8c2f.csv,row,4,20264223
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r5_fc455265.csv,row,5,20264320
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_row_r6_d58a179a.csv,row,6,20264417
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r0_491629df.csv,subject,0,20263836
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r1_109be62d.csv,subject,1,20263933
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r2_7c2e088a.csv,subject,2,20264030
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r3_35a5ce98.csv,subject,3,20264127
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r4_4b7286a5.csv,subject,4,20264224
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r5_e17421e7.csv,subject,5,20264321
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_subject_r6_7a5ab6d9.csv,subject,6,20264418
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r0_ab6e79e1.csv,dateblock,0,20263837
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r1_a5e850dc.csv,dateblock,1,20263934
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r2_e0f1e163.csv,dateblock,2,20264031
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r3_c748d2e9.csv,dateblock,3,20264128
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r4_29555f8c.csv,dateblock,4,20264225
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r5_3339d7ab.csv,dateblock,5,20264322
submission_e276_q12_only_m160_7bcd965c.csv,submission_e276_e277null_q12_only_m160_7bcd965c_dateblock_r6_65d70a6e.csv,dateblock,6,20264419
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r0_5daaca3d.csv,row,0,20264844
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r1_ad701381.csv,row,1,20264941
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r2_b12094e6.csv,row,2,20265038
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r3_0427136c.csv,row,3,20265135
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r4_f50c5f54.csv,row,4,20265232
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r5_e7a0cf5a.csv,row,5,20265329
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_row_r6_fc846806.csv,row,6,20265426
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r0_24167074.csv,subject,0,20264845
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r1_1bee11df.csv,subject,1,20264942
