candidate_id,variant_type,split,target,target_delta
full_qsleep,primary,subject_oof,Q1,-0.0008459034279773014
full_qsleep,primary,subject_oof,Q2,-0.0010619522796389003
full_qsleep,primary,subject_oof,Q3,-0.004089009071389316
q3_only,target_ablation,subject_oof,Q1,0.0
q3_only,target_ablation,subject_oof,Q2,0.0
q3_only,target_ablation,subject_oof,Q3,-0.004089009071389316
q12_only,target_ablation,subject_oof,Q1,-0.0008459034279773014
q12_only,target_ablation,subject_oof,Q2,-0.0010619522796389003
q12_only,target_ablation,subject_oof,Q3,0.0
jepa_only,axis_kind,subject_oof,Q1,-0.0008459034279773014
jepa_only,axis_kind,subject_oof,Q2,0.0
jepa_only,axis_kind,subject_oof,Q3,-0.002945419619894696
nonjepa_only,axis_kind,subject_oof,Q1,0.0
nonjepa_only,axis_kind,subject_oof,Q2,-0.0010619522796389003
nonjepa_only,axis_kind,subject_oof,Q3,-0.0025822869900273826
only_mobility_context,family_only,subject_oof,Q1,-0.0008459034279773014
only_mobility_context,family_only,subject_oof,Q2,0.0
only_mobility_context,family_only,subject_oof,Q3,-0.001504253753634499
no_mobility_context,leave_one_family,subject_oof,Q1,0.0
no_mobility_context,leave_one_family,subject_oof,Q2,-0.0010619522796389003
no_mobility_context,leave_one_family,subject_oof,Q3,-0.003319728860662785
only_bedtime_phone,family_only,subject_oof,Q1,0.0
only_bedtime_phone,family_only,subject_oof,Q2,0.0
only_bedtime_phone,family_only,subject_oof,Q3,-0.0011348856581576694
no_bedtime_phone,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_bedtime_phone,leave_one_family,subject_oof,Q2,-0.0010619522796389003
no_bedtime_phone,leave_one_family,subject_oof,Q3,-0.0037011762071834653
only_routine_calendar,family_only,subject_oof,Q1,0.0
only_routine_calendar,family_only,subject_oof,Q2,0.0
only_routine_calendar,family_only,subject_oof,Q3,-0.0009671248452510772
no_routine_calendar,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_routine_calendar,leave_one_family,subject_oof,Q2,-0.0010619522796389003
no_routine_calendar,leave_one_family,subject_oof,Q3,-0.003526670219431427
only_cognitive_money,family_only,subject_oof,Q1,0.0
only_cognitive_money,family_only,subject_oof,Q2,0.0
only_cognitive_money,family_only,subject_oof,Q3,-0.00044669124161811347
no_cognitive_money,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_cognitive_money,leave_one_family,subject_oof,Q2,-0.0010619522796389003
no_cognitive_money,leave_one_family,subject_oof,Q3,-0.0038682146860268274
only_social_comm,family_only,subject_oof,Q1,0.0
only_social_comm,family_only,subject_oof,Q2,0.0
only_social_comm,family_only,subject_oof,Q3,-0.0007782812966278252
no_social_comm,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_social_comm,leave_one_family,subject_oof,Q2,-0.0010619522796389003
no_social_comm,leave_one_family,subject_oof,Q3,-0.0036499733577555205
only_media_game,family_only,subject_oof,Q1,0.0
only_media_game,family_only,subject_oof,Q2,-0.0005849987902736276
only_media_game,family_only,subject_oof,Q3,0.0
no_media_game,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_media_game,leave_one_family,subject_oof,Q2,-0.0005888847011280562
no_media_game,leave_one_family,subject_oof,Q3,-0.004089009071389316
only_diary_global,family_only,subject_oof,Q1,0.0
only_diary_global,family_only,subject_oof,Q2,-0.0005888847011280562
only_diary_global,family_only,subject_oof,Q3,-0.000913222418979287
no_diary_global,leave_one_family,subject_oof,Q1,-0.0008459034279773014
no_diary_global,leave_one_family,subject_oof,Q2,-0.0005849987902736276
no_diary_global,leave_one_family,subject_oof,Q3,-0.0036530635054167204
inverse_full_qsleep_m080,inverse_control,subject_oof,Q1,0.0007066873365537685
inverse_full_qsleep_m080,inverse_control,subject_oof,Q2,0.0009235235315837587
inverse_full_qsleep_m080,inverse_control,subject_oof,Q3,0.0034179486893382016
full_qsleep,primary,dateblock_oof,Q1,-0.0006408761060044954
