target,view_id,split,method,score_std,gate_spearman,abs_delta_spearman,signed_delta_spearman,gate_top20_lift,abs_delta_top20_lift,base_logloss,aug_logloss,logloss_delta,teacher_r2,teacher_spearman,gate_null_abs_p95,abs_delta_null_abs_p95,signed_delta_null_abs_p95,gate_support,abs_delta_support,signed_delta_support,any_transfer_support
Q2,family,dateblock,knn16_train_residual,0.13116747263045953,0.2175053876082866,0.13861212308769102,-0.06981970711475882,0.06416306165461128,0.0,,,,,,0.11554924035876256,0.12086599084950668,0.12817375914848067,True,True,False,True
Q2,family,dateblock,knn32_train_residual,0.0733695393738038,0.20979062064993034,0.19018090532397539,-0.06672298517120417,0.02219511539493871,0.0,,,,,,0.1387115057840924,0.10280280250160366,0.13155473065444856,True,True,False,True
Q2,jepa_resid,dateblock,kmeans8_train_residual,0.04995185476498118,0.19343966346429448,0.13771842939557907,-0.03412520427188697,0.009175526182837205,0.0,,,,,,0.11010812286660693,0.11405036227338028,0.13418813883650127,True,True,False,True
Q2,jepa_resid,dateblock,kmeans10_train_residual,0.06490203770282243,0.19282610060930966,0.14070084170088526,-0.04993322856337521,0.008189450090104727,0.0,,,,,,0.11841776256405688,0.13391843128609637,0.10999760105448216,True,True,False,True
Q2,jepa_resid,dateblock,masked_residual_student_test,0.10520804168119083,0.18958114529832476,0.1504104460903641,-0.05063563784679315,0.01033211043011905,0.0,0.7153337395560486,0.7080280536162756,-0.007305685939772988,-0.11075090646728047,-0.0889946123190732,0.11182201315221035,0.11585310071540969,0.11408898342388224,True,True,False,True
Q2,family,dateblock,masked_residual_student_test,0.14343041916784682,0.18881082897326357,0.1649987480707891,0.007821974780721766,0.003772378877476924,0.0,0.7153337395560486,0.7228955994122114,0.007561859856162756,-0.12774397726150855,0.012906796247553488,0.13089275668410688,0.1285917637718278,0.12354656748168981,True,True,False,True
Q2,family,dateblock,knn8_train_residual,0.185220115242586,0.16571004189149008,0.18997851022241066,-0.034284431288896966,0.04351903155013322,0.0,,,,,,0.10551838797057586,0.12042513231311242,0.11995435981542435,True,True,False,True
Q2,jepa_resid,subject,masked_residual_student_test,0.11769271427112624,0.15991436662986605,-0.13005023950944938,-0.03825143521135198,0.04376237394045805,0.0,0.765899724395758,0.7356891080506113,-0.030210616345146768,-0.19553900047085437,-0.234482211434789,0.1144729995679928,0.10854087224372747,0.11554243226826082,True,True,False,True
Q2,raw_day,dateblock,kmeans6_train_residual,0.035708043738536546,0.13572605025469398,0.13426996962023455,-0.19266404377886262,0.003254554037008174,0.0,,,,,,0.10465910168550789,0.11663446473355546,0.12678114440172894,True,True,True,True
Q2,jepa_resid,dateblock,knn8_train_residual,0.18092107481278277,0.13421752078964688,0.16209033256385255,-0.04158918738573139,-0.003602481402283784,0.0,,,,,,0.11993609366070841,0.10863283673731747,0.116533780183748,True,True,False,True
Q2,raw_day,subject,knn16_train_residual,0.13832156043069355,-0.14387445761522033,-0.20791685576335434,0.02752353473671582,-0.013578253883980755,0.0,,,,,,0.1260054386800654,0.11967238639339219,0.139063260228904,True,True,False,True
Q2,family,subject,kmeans8_train_residual,0.08262638121395634,0.36959152447945914,0.07681724909267927,-0.08624516265469077,0.026757446609342782,0.0,,,,,,0.11831060215241003,0.11825574638296751,0.12900327480311477,True,False,False,True
Q2,story_bundle,subject,kmeans8_train_residual,0.04514754451449224,0.3127418103525599,0.05575912316023487,-0.09278304496787432,0.025039601270662504,0.0,,,,,,0.12153877223981183,0.12603595185357766,0.1337368321485551,True,False,False,True
Q2,family_jepa_story,subject,kmeans6_train_residual,0.043982341748540245,0.3075175126167827,0.020978878425400676,-0.016226642686263455,0.02602162049753724,0.0,,,,,,0.13732413851429318,0.10984467047168774,0.11672738043805539,True,False,False,True
Q2,story_bundle,subject,kmeans10_train_residual,0.049251127280548104,0.29390407553087833,0.00778781373524753,0.022209185814981106,0.028185494454172216,0.0,,,,,,0.1069226833634426,0.1250452217213713,0.14650534320510528,True,False,False,True
