sub_idx,target,active,prob_e101,prob_e95,prob_mixmin,prob_e72,prob_e89,delta_prob_e101_minus_e95,delta_logit_e101_minus_e95,abs_delta_logit_e101_minus_e95,logit_gap_e95_minus_mixmin,abs_logit_gap_e95_minus_mixmin,rollback_shrink_fraction_to_mixmin,delta_logit_e89_minus_e95,delta_logit_e72_minus_mixmin,active_e95_vs_mixmin,hidden_block_id,subject_id,lifelog_date,sleep_date,global_pos,subject_pos,subject_phase,dow,is_weekend,block_n_rows,block_len_bin,pos_in_block,pos_frac,edge_distance,pos_bin,block_start,block_end,context_type,has_prev_train,has_next_train,prev_gap_pos,next_gap_pos,prev_gap_days,next_gap_days
0,Q2,False,0.4975144875918229,0.4975144875918229,0.4975144875918229,0.4975144875918229,0.4975144875918229,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-07-30,2024-07-31,28,28,0.417910447761194,1,0,14,11-16,0,0.0,0,left_edge,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
0,S3,False,0.8144085433008215,0.8144085433008215,0.8144085433008215,0.8144085433008215,0.8144085433008215,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-07-30,2024-07-31,28,28,0.417910447761194,1,0,14,11-16,0,0.0,0,left_edge,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
1,Q2,False,0.5142003796073951,0.5142003796073951,0.5142003796073951,0.5142003796073951,0.5142003796073951,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-07-31,2024-08-01,29,29,0.43283582089552236,2,0,14,11-16,1,0.07692307692307693,1,near_edge,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
1,S3,True,0.8199874279011388,0.8211057303909638,0.8165998001884119,0.8196134499760149,0.8211057303909638,-0.0011183024898250293,-0.007594609992270129,0.007594609992270129,0.030378439969083626,0.030378439969083626,0.2499999999999744,0.0,0.02025229331272249,True,id01_b2,id01,2024-07-31,2024-08-01,29,29,0.43283582089552236,2,0,14,11-16,1,0.07692307692307693,1,near_edge,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
2,Q2,False,0.536621580933206,0.536621580933206,0.536621580933206,0.536621580933206,0.536621580933206,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-08-01,2024-08-02,30,30,0.44776119402985076,3,0,14,11-16,2,0.15384615384615385,2,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
2,S3,False,0.8259044923772436,0.8259044923772436,0.8259044923772436,0.8259044923772436,0.8259044923772436,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-08-01,2024-08-02,30,30,0.44776119402985076,3,0,14,11-16,2,0.15384615384615385,2,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
3,Q2,False,0.6162514356140033,0.6162514356140033,0.6162514356140033,0.6098229260626774,0.6162514356140033,0.0,0.0,0.0,0.0,0.0,,0.0,-0.027099539004289352,False,id01_b2,id01,2024-08-02,2024-08-03,31,31,0.4626865671641791,4,0,14,11-16,3,0.23076923076923078,3,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
3,S3,False,0.8345777914923951,0.8345777914923951,0.8345777914923951,0.8345777914923951,0.8345777914923951,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-08-02,2024-08-03,31,31,0.4626865671641791,4,0,14,11-16,3,0.23076923076923078,3,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
4,Q2,False,0.5590440908799454,0.5590440908799454,0.5590440908799454,0.5590440908799454,0.5590440908799454,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-08-03,2024-08-04,32,32,0.47761194029850745,5,1,14,11-16,4,0.3076923076923077,4,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
4,S3,False,0.8287659956942706,0.8287659956942706,0.8287659956942706,0.8287659956942706,0.8287659956942706,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,id01_b2,id01,2024-08-03,2024-08-04,32,32,0.47761194029850745,5,1,14,11-16,4,0.3076923076923077,4,interior,2024-07-30,2024-08-16,between_train_runs,True,True,1.0,1.0,2.0,1.0
