source,story_id,family,mapped_family,anchor,phase,human_story,best_label_target,best_label_abs_effect,best_dateblock_target,best_dateblock_delta,subject_best_delta,e247_only_d,e256_only_d,e247_vs_e256_d,e267_moved_d,train_test_gap,public_align_score,verdict,score_col,feature_available,score_train_mean,score_test_mean,score_train_sd,score_train_test_z_gap,score_high_train_rate,score_high_test_rate,e275_qsleep_selected_any_d,e275_qsleep_selected_q3_d,cv_delta_min,cv_delta_mean,cv_negative_rate,cv_dateblock_min,cv_subject_min,cv_best_target,label_best_variant,label_best_target,label_best_signed_effect,label_best_abs_effect,label_abs_effect_mean_top5,e278_only_gate_count,e278_leaveout_gate_count,e278_only_actual_delta_mean,e278_leaveout_actual_delta_mean,e278_only_min_dominance,e278_leaveout_min_dominance,e278_any_train_gate,e278_best_actual_delta,e278_best_dominance,jepa_context_oof_r2_mean,jepa_context_oof_r2_min,jepa_resid_train_mean,jepa_resid_test_mean,jepa_resid_gap_ratio,label_score,cv_score,stability_score,family_support_score,jepa_context_score,e275_row_alignment_score,public_sensor_score,transfer_survival_score,e280_verdict,next_public_free_test,contradiction_type
human_social,single_app_monotony,routine_anchor,routine_calendar,,,One dominant app or ritual dominates the day.,Q3,0.2035398230088495,Q3,-0.008958216145538,-0.059585356142955,-0.7458329599661209,-1.1770816887850848,0.527131814925483,0.1297786675300455,0.0315021386412615,1.2001999064662656,promising_for_direct_e247_gate,single_app_monotony_subj_z,True,-1.578983857244667e-17,-0.031502138641261564,1.0,0.03150213864126155,0.2,0.18,0.16307002268064175,0.14046282557449513,-0.059585356142955,-0.0017008652687773137,0.42857142857142855,-0.008958216145538,-0.059585356142955,S2,score,S2,0.2654867256637168,0.2654867256637168,0.20353982300884957,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,0.9251810136765887,1.0,0.9099938895963956,0.25,0.1904264451530152,0.1755785319681189,0.8001332709775104,0.7161794832921275,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
human_social,app_entropy_scattered_day,routine_break,routine_calendar,,,Attention spread across many apps during the day.,Q3,0.1681415929203539,Q3,-0.006340069626087,-0.0312336649824473,0.6221294863437714,1.3253623684204918,-0.741665242050776,-0.0419933333140866,0.0380596830277376,1.3332831409805694,promising_for_direct_e247_gate,app_entropy_scattered_day_subj_z,True,0.0,0.03805968302773762,1.0,0.03805968302773762,0.2,0.168,-0.17715066262911658,-0.12977756403722351,-0.0312336649824473,0.005388403678523115,0.5,-0.006340069626087,-0.0312336649824473,S2,score,S1,-0.2035398230088495,0.2035398230088495,0.17522123893805305,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,0.7642799678197905,0.8888428674025709,0.8912580484921782,0.25,0.1904264451530152,0.1622219550465294,0.8888554273203796,0.6492397733701286,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
human_social,heart_stress_late,physiology_stress,physiology_activity,,,High late/presleep heart rate and variance.,Q3,0.1490265486725663,Q1,-0.0160479510108753,-0.01729061465594,-0.2319743001995585,0.1167584378865058,-0.3672198300573008,0.3524608403598951,0.1349582196699971,0.3892241551594124,promising_for_direct_e247_gate,heart_stress_late_subj_z,True,-9.375216652390211e-18,0.1349582196699971,1.0,0.1349582196699971,0.2,0.272,0.018658363015371483,0.012513279191488997,-0.01729061465594,0.0018660972262687138,0.35714285714285715,-0.0160479510108753,-0.01729061465594,Q1,score_abs_subj_z,Q1,0.247787610619469,0.247787610619469,0.21429203539823005,,,,,,,,,,0.8614787168084691,0.8315833453849268,2.512302325181048,2.472826737210118,0.015712913042058067,0.6773934030571195,1.0,0.6144050866571511,0.0,0.9156940160080658,0.015641598989361245,0.2594827701062749,0.613616128965246,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
human_social,quiet_dark_bedtime,routine_anchor,routine_calendar,,,Low late light/screen/mobility with charging.,S4,0.1150442477876106,Q1,-0.0118925119155185,-0.0227307513238858,-0.3216348829400831,-0.3335231712401827,0.0734998538154441,-0.5699315362554321,0.0148627295153138,0.1064532862489827,real_but_action_unproven,quiet_dark_bedtime_subj_z,True,6.019875955745294e-17,0.014862729515313948,1.0,0.014862729515313887,0.2,0.22,0.017877199417820903,-0.0028527015444616034,-0.0227307513238858,0.009762168774357706,0.42857142857142855,-0.0118925119155185,-0.0227307513238858,Q1,score,S3,-0.2035398230088495,0.2035398230088495,0.15221238938053092,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,0.5229283990345936,0.9501363562909868,0.9575350585276746,0.25,0.1904264451530152,0.0035658769305770043,0.0709688574993218,0.5823131734385423,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
human_social,weekday_routine_pressure,calendar_social,routine_calendar,,,Weekday plus commute/work/study signal.,S3,0.079646017699115,S2,-0.0083184099863171,-0.0392090805581649,-0.2086624952689223,0.2485456295048997,-0.4699506725396463,0.1370067284196527,0.0229661158927689,0.6043682746255501,promising_for_direct_e247_gate,weekday_routine_pressure_subj_z,True,-4.934324553889585e-18,-0.02296611589276899,0.9999999999999999,0.02296611589276899,0.2,0.188,-0.005328944612774688,-0.0009134174090778436,-0.0392090805581649,-0.0006522183484901119,0.42857142857142855,-0.0083184099863171,-0.0392090805581649,S2,score,S2,0.2109398840402807,0.2109398840402807,0.19014342386328956,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,0.36202735317779544,1.0,0.93438252602066,0.25,0.1904264451530152,0.0011417717613473044,0.4029121830837001,0.5612853534774965,diagnostic_story_only,Use for hypothesis graph and slice analysis only.,local_cv_without_qsleep_family_support
human_social,phone_in_bed,sleep_fragment,bedtime_phone,,,Screen use while phone is charging at presleep.,Q2,0.0707964601769911,Q3,-0.0010912666547139,-0.01178875982597,0.4766886424512589,-0.3190163387897037,1.1643090050992713,-0.2595469356201451,0.031162770393435,1.503433487142099,promising_for_direct_e247_gate,phone_in_bed_subj_z,True,-2.3684757858670008e-17,-0.03116277039343504,1.0,0.031162770393435017,0.2,0.176,-0.036756355910926214,-0.1203488860415365,-0.01178875982597,0.006236415272140478,0.21428571428571427,-0.0010912666547139,-0.01178875982597,Q2,score,Q1,0.079646017699115,0.079646017699115,0.0725663716814159,2.0,2.0,-0.00032714809447300004,-0.0015636856283582998,0.9983333333333332,0.9166666666666666,True,-0.0018696773049331,1.0,0.5880664515873499,0.4409206664301632,3.0229661484084898,2.951957860768274,0.023489607277805462,0.32180209171359586,0.2812446404658125,0.9109635131616143,1.0,0.6553013824641427,0.1504361075519206,1.0,0.5547653138671974,public_anchor_diagnostic_only,"Use to interpret old public-boundary behavior, not to create a submission.",public_sensor_without_local_cv
cashflow,paymonth_start_post7_spend_outing,post_pay_spend,cognitive_money,month_start,post7,First week after anchor month_start: broader spending/social state.,S2,0.1020804222946747,S2,-0.0151168786538699,-0.0215042414149897,0.0409699514818836,0.1523799239627712,-0.0647176260074509,0.022430668150462,0.0554915115946325,0.0828424323304916,real_but_not_public_action_safe,paymonth_start_post7_spend_outing_subj_z,True,1.973729821555834e-17,0.05549151159463257,1.0,0.05549151159463255,0.23333333333333334,0.284,-0.10579737331541669,0.15779014984437809,-0.0215042414149897,0.008411142625011664,0.14285714285714285,-0.0151168786538699,-0.0215042414149897,S2,score_active,S2,-0.1492424242424243,0.1492424242424243,0.0861736602165107,0.0,2.0,-9.344667109543694e-05,-0.00162358816745635,0.5216666666666666,0.96,True,-0.0019253567978809,0.9666666666666668,-0.1060065763009554,-0.1369468767764928,6.066994761375689,5.981438453448279,0.014101925465979855,0.46400191952124864,1.0,0.8414528240153356,0.25,0.0,0.1972376873054726,0.055228288220327736,0.553285455765853,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
cashflow,monthstart_spending_reset,bill_cycle,cognitive_money,month_start,post7,Month-start spending reset: finance/shopping/social usage after new month starts.,S3,0.1217391304347825,S2,-0.0145158033091842,-0.0209940401515745,0.2006144912517513,-0.0924809054553983,0.3205618708719433,0.0904411336065256,0.1065025272002041,0.4583742768810334,real_but_not_public_action_safe,monthstart_spending_reset_subj_z,True,2.3684757858670008e-17,0.10650252720020416,1.0,0.10650252720020413,0.25555555555555554,0.304,-0.07019026451044172,0.11046195250828515,-0.0209940401515745,0.007357078810714786,0.14285714285714285,-0.0145158033091842,-0.0209940401515745,S2,score_active,S2,-0.1492424242424243,0.1492424242424243,0.10474308300395255,0.0,2.0,-9.344667109543694e-05,-0.00162358816745635,0.5216666666666666,0.96,True,-0.0019253567978809,0.9666666666666668,-0.1060065763009554,-0.1369468767764928,6.066994761375689,5.981438453448279,0.014101925465979855,0.5533596837944659,1.0,0.6957070651422739,0.25,0.0,0.13807744063535643,0.30558285125402224,0.5518665022183769,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
human_social,weekend_ritual_rest,calendar_social,routine_calendar,,,Weekend routine/religion/charge and low mobility.,Q3,0.2212389380530973,Q3,-0.0051060218686039,-0.0025386245162682,-0.405218030602587,-1.0675354178735368,1.0333083808825871,-0.3768243931999517,0.0435666897465435,1.2392225424485623,promising_for_direct_e247_gate,weekend_ritual_rest_subj_z,True,-5.723816482511918e-17,-0.0435666897465436,0.9999999999999999,0.043566689746543555,0.2,0.204,-0.13581328803729623,-0.126383890233302,-0.0051060218686039,0.007113051906038307,0.21428571428571427,-0.0051060218686039,-0.0025386245162682,Q3,score_subj_z,Q3,0.2212389380530973,0.2212389380530973,0.16460176991150438,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,1.0,0.26352340151719317,0.8755237435813041,0.25,0.1904264451530152,0.15797986279162748,0.8261483616323749,0.5507255759684478,public_anchor_diagnostic_only,"Use to interpret old public-boundary behavior, not to create a submission.",public_sensor_without_local_cv
cashflow,pay20_post3_relief_home,post_pay_relief,routine_calendar,20,post3,After anchor 20: money available but quiet home/charging routine.,Q2,0.160144553433144,S1,-0.0115675702207621,-0.0031099684024616,0.2470518773643521,-0.2896971753067649,0.8074433166720572,0.022462562374652,0.1315490442617515,1.0126229080211109,promising_cashflow_gate,pay20_post3_relief_home_subj_z,True,1.4802973661668754e-17,0.13154904426175154,1.0,0.1315490442617515,0.28888888888888886,0.252,0.013224136181048608,-0.14362494972633064,-0.0115675702207621,0.0034312454990880975,0.2857142857142857,-0.0115675702207621,-0.0031099684024616,S1,score_subj_z,Q2,0.160144553433144,0.160144553433144,0.13565699333201803,0.0,2.0,-0.00027823811296885,-0.00152249442154125,0.8216666666666667,0.955,True,-0.0018115086423491,0.9566666666666668,0.09994776741066597,-0.0556617830841384,2.445966251923653,2.357234314685152,0.03627684444489643,0.7279297883324727,0.5441814605809862,0.6241455878235671,0.25,0.1904264451530152,0.17953118715791327,0.6750819386807406,0.5045151913242498,alive_but_needs_transfer_test,Run a masked context->story-state test before any materialization.,local_cv_without_qsleep_family_support
