new,base,sub_idx,target,target_idx,delta_y1,delta_y0,swing,support_label,support_delta,adverse_delta,p_y1_focus_mean,p_y1_subject,p_y1_nearest_hard085,swing_rank
e154,e95,66,Q3,2,-5.175279731137009e-06,1.0164353921687384e-05,1.5339633652824394e-05,1,-5.175279731137009e-06,1.0164353921687384e-05,0.4924242424242424,0.7272727272727273,0.15,1
e154,e95,7,Q3,2,5.7536738614670315e-06,-8.665838538130506e-06,1.4419512399597536e-05,0,-8.665838538130506e-06,5.7536738614670315e-06,0.6784552845528454,0.5853658536585366,0.85,2
e154,e95,180,Q3,2,6.21726983411719e-06,-7.651005523912132e-06,1.3868275358029321e-05,0,-7.651005523912132e-06,6.21726983411719e-06,0.6534013605442177,0.5102040816326531,0.85,3
e154,e95,212,Q3,2,8.298170772174667e-06,-5.129461816873031e-06,1.3427632589047698e-05,0,-5.129461816873031e-06,8.298170772174667e-06,0.3963414634146341,0.4390243902439024,0.15,4
e154,e95,14,Q1,0,-9.492054471236244e-06,3.913089401492011e-06,1.3405143872728255e-05,1,-9.492054471236244e-06,3.913089401492011e-06,0.5948599819331526,0.4390243902439024,0.85,5
e154,e95,211,Q3,2,7.482734838191364e-06,-5.800581994981283e-06,1.3283316833172648e-05,0,-5.800581994981283e-06,7.482734838191364e-06,0.3963414634146341,0.4390243902439024,0.15,6
e154,e95,18,Q3,2,-5.340900587316494e-06,7.91513536719998e-06,1.3256035954516474e-05,1,-5.340900587316494e-06,7.91513536719998e-06,0.6784552845528454,0.5853658536585366,0.85,7
e154,e95,3,Q3,2,5.588138762506301e-06,-7.5541173871513935e-06,1.3142256149657695e-05,0,-7.5541173871513935e-06,5.588138762506301e-06,0.6784552845528454,0.5853658536585366,0.85,8
e154,e95,164,Q1,0,-4.852384667193827e-06,7.829812518760487e-06,1.2682197185954314e-05,1,-4.852384667193827e-06,7.829812518760487e-06,0.3852532123960695,0.5102040816326531,0.15,9
e154,e95,48,Q3,2,2.738359458044967e-06,-9.86898056955773e-06,1.2607340027602698e-05,0,-9.86898056955773e-06,2.738359458044967e-06,0.7263888888888889,0.7291666666666666,0.85,10
e154,e95,68,S3,5,6.936971238691938e-06,-5.638896121524414e-06,1.2575867360216352e-05,0,-5.638896121524414e-06,6.936971238691938e-06,0.6656902356902358,0.4848484848484848,0.85,11
