source_name,mask_mode,localization,rows,strict,deployable,loose,beats_e75_local_all,deployable_beats_e75,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate,best_alpha_q2,best_alpha_s3,best_deployable_delta,best_strict_delta
s3_deployable,hard_sign_0.90,s3_local_q2_full,42,21,21,42,0,0,-1.1660467483021186e-05,-6.8949350303659784e-06,9.25947008512118e-06,-0.0006270971374613826,-0.0003631120608391103,0.6944444444444444,8.0,28.0,-1.1660467483021186e-05,-1.1660467483021186e-05
all_deployable,hard_sign_0.90,s3_local_q2_full,42,21,21,42,0,0,-1.1660467483021186e-05,-6.8949350303659784e-06,9.25947008512118e-06,-0.0006270971374613826,-0.0003631120608391103,0.6944444444444444,8.0,28.0,-1.1660467483021186e-05,-1.1660467483021186e-05
s3_deployable,hard_sign_0.90,both,42,21,21,42,0,0,-1.1629845775851244e-05,-6.864313323196036e-06,9.287706469018886e-06,-0.0006168235418507889,-0.0003611055290185794,0.6944444444444444,8.0,28.0,-1.1629845775851244e-05,-1.1629845775851244e-05
control,identity,both,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376621397,-0.0004055179361068973,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,soft_consensus,both,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376339331,-0.00040551793608170086,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,soft_consensus,q2_local_s3_full,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376401017,-0.00040551793608623607,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,soft_consensus,s3_local_q2_full,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.000645535537655971,-0.0004055179361023898,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,hard_consensus_0.55,both,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376621397,-0.0004055179361068973,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,hard_consensus_0.55,q2_local_s3_full,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376621397,-0.0004055179361068973,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,hard_consensus_0.55,s3_local_q2_full,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376621397,-0.0004055179361068973,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
exact_all,hard_consensus_0.70,both,42,20,20,42,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006455355376621397,-0.0004055179361068973,0.7222222222222222,8.0,28.0,-1.2367636337495824e-05,-1.2367636337495824e-05
