family,n,strict_oof_gates,conservative_gates,median_full_delta,median_stress_p90_delta,best_file,best_full_delta,best_stress_p90_delta,best_stress_worst_delta,best_score
orthcap,2626,612,463,-0.012457517153983633,-0.006780129944026953,analysis_outputs/final_orthcap030_exact_q2q3_exact_value_nearest_w1_oof.npy,-0.018948713464883915,-0.01143304736189006,-0.008366455461031097,-0.013525056324583515
subjectgate,250,189,185,-0.014631390318135984,-0.009096669758544552,analysis_outputs/final_subjectgate_blend500_all_thr0p0_w100_oof.npy,-0.018782595240958377,-0.011859161267285482,-0.00487210199799476,-0.01307752791313963
stage2,238,154,128,-0.01209932195697938,-0.007392810730998307,analysis_outputs/final_mp_stage2_nonq2_oof.npy,-0.016660178375861867,-0.012810559516313637,-0.0018128426478483117,-0.013264207022407992
publicblend,127,113,113,-0.021328314379651325,-0.012597138999386671,analysis_outputs/final_public_maskaware_t50_r05_fb7b695a_oof.npy,-0.025091895915292373,-0.015411502132230238,-0.012756910370870123,-0.01860122972494777
ordinal,131,111,111,-0.015049632613543196,-0.009349025653550868,analysis_outputs/final_subjectgate_ordinal_all_thrm0p005_w100_oof.npy,-0.019719815567336485,-0.012328966902803154,-0.0065342516555494945,-0.013962902023673335
presleep,639,91,83,-0.009319717606520728,-0.004249245234224398,analysis_outputs/final_publicgated_q3off650_presleep_core_prectx_s2charge_s3light_q3hr_ble_ambnext_oof.npy,-0.01589888708251197,-0.00938204409725123,-0.0035539980620494793,-0.010270899881899876
other,33,23,22,-0.010000969113945324,-0.00640726568074377,analysis_outputs/final_projblend_cap0p3_oof.npy,-0.018922292590625944,-0.011411469456002044,-0.008377863004706054,-0.013506330325803999
rhythm,13,13,7,-0.010559276037394705,-0.006377179449029125,analysis_outputs/final_rhythm_q3off650_nonq2_strict_oof.npy,-0.014291750224520783,-0.008976151382454502,-0.00197044844935923,-0.009469099787827468
jepa,12,3,3,-0.01291730591134066,-0.006850351146386657,jepa/jepa_latent_residual_probe_risky_top_oof.npy,-0.01754708946213135,-0.010446717710386055,-0.0076790546910747715,-0.012366978165588526
hybrid,89,2,0,0.0012109528670677383,0.0024872475216460408,analysis_outputs/final_hybrid_0p573_foldsafe_broad_q1_calltime_oof.npy,-0.005212602530121124,-0.002566305543922798,0.00040121995033737257,-0.0024661883741239686
block,14,0,0,0.0025772663084743797,0.019839809732323053,analysis_outputs/final_public_blockentropy_minimax_all_g035_fd4765c6_oof.npy,-0.007382989051783473,0.004541989802087176,0.01160909719656611,0.007443764101228704
