source_name,mask_mode,localization,rows,strict,deployable,loose,beats_e75_local_all,deployable_beats_e75,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate,best_alpha_q2,best_alpha_s3,row_count,subjects,mask_active_q2,mask_active_s3,best_deployable_delta,best_strict_delta
topology,block_edge,q2_local_s3_full,36,18,18,36,0,0,-1.1767973856602332e-05,-7.002441403947124e-06,9.927370425488746e-06,-0.00037278965521343743,-0.00015463362395932165,0.6388888888888888,8.0,28.0,17,8,0.2,0.3076923076923077,-1.15743335972196e-05,-1.15743335972196e-05
topology_x_energy,near_train_le2_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1764907210776165e-05,-6.9993747581209576e-06,9.955919727300255e-06,-0.00036685590541885027,-0.00016307533881699805,0.5833333333333334,8.0,28.0,12,5,0.15,0.28205128205128205,-1.1568937653971822e-05,-1.1568937653971822e-05
topology_x_energy,block_first2_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1762491636813088e-05,-6.9969591841578804e-06,9.948618322819236e-06,-0.00035766789076445427,-0.00014835044862221989,0.5833333333333334,8.0,28.0,11,5,0.125,0.2564102564102564,-1.1571892765793734e-05,-1.1571892765793734e-05
topology_x_energy,block_second_half_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.176177265871381e-05,-6.9962402060586015e-06,9.960601792369239e-06,-0.0003781496676844853,-0.0001908761934732385,0.6388888888888888,8.0,28.0,18,8,0.15,0.38461538461538464,-1.1558339048090005e-05,-1.1558339048090005e-05
subject_id,id03,q2_local_s3_full,36,18,18,36,0,0,-1.1749708537567294e-05,-6.984176084912086e-06,9.912041731285903e-06,-0.00031878289384390524,-0.0001320851791704158,0.6111111111111112,12.0,28.0,3,1,0.05,0.02564102564102564,-1.154183467666492e-05,-1.154183467666492e-05
topology,near_train_le1,q2_local_s3_full,36,18,18,36,0,0,-1.1747089831093405e-05,-6.981557378438197e-06,9.953768426607112e-06,-0.0003693837082098944,-0.00016101654629888107,0.6111111111111112,4.0,28.0,13,5,0.175,0.23076923076923078,-1.1550207466792806e-05,-1.1550207466792806e-05
topology_x_energy,short_block_le5_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1746696506942378e-05,-6.98116405428717e-06,9.951726334889166e-06,-0.0003402434446853758,-0.0001391608043151138,0.6111111111111112,8.0,28.0,7,3,0.075,0.15384615384615385,-1.154302694161835e-05,-1.154302694161835e-05
subject_id,id01,q2_local_s3_full,36,18,18,36,0,0,-1.1738016692630637e-05,-6.9724842399754294e-06,9.971290631627383e-06,-0.0003126819115908952,-0.00012476295281924066,0.5833333333333334,8.0,28.0,8,1,0.05,0.15384615384615385,-1.1522839652555739e-05,-1.1522839652555739e-05
subject_id,id08,q2_local_s3_full,36,18,18,36,0,0,-1.1734232356119811e-05,-6.9686999034646036e-06,9.950455075458109e-06,-0.0003297896327979777,-0.00011638702917761141,0.6111111111111112,8.0,28.0,5,1,0.075,0.07692307692307693,-1.1525566570913526e-05,-1.1525566570913526e-05
subject_id,id04,q2_local_s3_full,36,18,18,36,0,0,-1.1724854461436784e-05,-6.959322008781577e-06,9.971290631627383e-06,-0.0003201326879634647,-0.00010456692226141215,0.5833333333333334,4.0,28.0,9,1,0.1,0.1794871794871795,-1.1517316166109737e-05,-1.1517316166109737e-05
subject_id,id09,q2_local_s3_full,36,18,18,36,0,0,-1.1720297216966102e-05,-6.9547647643108945e-06,9.971290631627383e-06,-0.00032507511814795775,-0.00010456692226141215,0.6111111111111112,8.0,28.0,3,1,0.05,0.02564102564102564,-1.1510777188750154e-05,-1.1510777188750154e-05
topology_x_energy,block_last2_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1718066444954545e-05,-6.952533992299337e-06,9.971290631627383e-06,-0.00032331694396461885,-0.00011678568339965056,0.5833333333333334,4.0,28.0,9,6,0.05,0.23076923076923078,-1.1510058413710667e-05,-1.1510058413710667e-05
subject_id,id02,q2_local_s3_full,36,18,18,36,0,0,-1.1710927869112986e-05,-6.945395416457778e-06,9.971290631627383e-06,-0.0003126819115908952,-0.00010456692226141215,0.5833333333333334,12.0,28.0,7,1,0.0,0.1794871794871795,-1.1503054421435621e-05,-1.1503054421435621e-05
subject_id,id05,q2_local_s3_full,36,18,18,36,0,0,-1.1710927869112986e-05,-6.945395416457778e-06,9.971290631627383e-06,-0.0003126819115908952,-0.00010456692226141215,0.5833333333333334,12.0,28.0,2,1,0.0,0.05128205128205128,-1.1503054421435621e-05,-1.1503054421435621e-05
flank_prior_target,q2_strong_high_s3_strong_low,q2_local_s3_full,36,17,17,36,0,0,-1.194231356682618e-05,-7.176781114170971e-06,9.875616953758382e-06,-0.0004166549149158677,-0.00025154627305531974,0.6388888888888888,8.0,28.0,20,8,0.375,0.15384615384615385,-1.1710600837933072e-05,-1.1710600837933072e-05
topology_x_energy,near_train_le1_energy_top50,q2_local_s3_full,36,17,17,36,0,0,-1.1730870132953264e-05,-6.965337680298056e-06,9.971290631627383e-06,-0.0003532912117978765,-0.00015190101608043025,0.5833333333333334,4.0,28.0,7,4,0.1,0.15384615384615385,-1.1524831686204884e-05,-1.1524831686204884e-05
topology_x_energy,block_edge_energy_top50,q2_local_s3_full,36,17,17,36,0,0,-1.1730870132953264e-05,-6.965337680298056e-06,9.971290631627383e-06,-0.0003532912117978765,-0.00015190101608043025,0.5833333333333334,4.0,28.0,8,5,0.1,0.1794871794871795,-1.1524831686204884e-05,-1.1524831686204884e-05
flank_prior,q2_high,q2_local_s3_full,36,16,16,36,0,0,-1.2038408062631234e-05,-7.272875609976026e-06,9.803640463657004e-06,-0.00048065389789681,-0.00022649992582572946,0.6944444444444444,8.0,28.0,56,9,0.675,0.8974358974358975,-1.1839595035589845e-05,-1.1839595035589845e-05
unit_energy,top50,q2_local_s3_full,36,16,16,36,0,0,-1.199739241752873e-05,-7.2318599648735216e-06,9.82787861936174e-06,-0.0004773697819892564,-0.00028441322116644634,0.6666666666666666,8.0,28.0,36,10,0.4,0.6923076923076923,-1.180799387190401e-05,-1.180799387190401e-05
topology,two_flank_train,q2_local_s3_full,36,16,16,36,0,0,-1.1943106069556286e-05,-7.1775736169010784e-06,9.852884767291847e-06,-0.00042125069393759984,-0.00017113552160863974,0.6666666666666666,8.0,28.0,41,9,0.525,0.6153846153846154,-1.175168979816732e-05,-1.175168979816732e-05
topology,subject_early_half,q2_local_s3_full,36,16,16,36,0,0,-1.1878161683576138e-05,-7.1126292309209305e-06,9.903057209381672e-06,-0.000396795178868245,-0.00014273056840166123,0.6666666666666666,8.0,28.0,30,9,0.4,0.41025641025641024,-1.1685979923292678e-05,-1.1685979923292678e-05
unit_energy,top30,q2_local_s3_full,36,16,16,36,0,0,-1.1781837154556385e-05,-7.016304701901177e-06,9.941351813314014e-06,-0.00037883651526417206,-0.00016383791981198223,0.6111111111111112,8.0,28.0,22,9,0.175,0.5384615384615384,-1.1588728593192599e-05,-1.1588728593192599e-05
subject_prior,s3_low,q2_local_s3_full,36,15,15,36,0,0,-1.1884480092150262e-05,-7.118947639495055e-06,9.948758432409832e-06,-0.00041163687691687934,-0.00014107370650396907,0.6944444444444444,8.0,28.0,31,6,0.425,0.4358974358974359,-1.1656898954992556e-05,-1.1656898954992556e-05
flank_prior,s3_high,s3_local_q2_full,36,12,12,30,0,0,-1.1668325110791855e-05,-6.902792658136647e-06,9.927523650365977e-06,-0.0005681301240644671,-0.00041786804897117613,0.6388888888888888,8.0,28.0,63,10,0.9,0.8461538461538461,-1.142550944011056e-05,-1.142550944011056e-05
flank_prior_target,q2_low_s3_high,s3_local_q2_full,36,12,12,30,0,0,-1.1668325110791855e-05,-6.902792658136647e-06,9.927523650365977e-06,-0.0005681301240644671,-0.00041786804897117613,0.6388888888888888,8.0,28.0,56,10,0.625,0.8461538461538461,-1.142550944011056e-05,-1.142550944011056e-05
flank_prior,s3_high,both,36,12,12,30,0,0,-1.1618328728757454e-05,-6.8527962761022465e-06,9.925644238850673e-06,-0.0005217355930596801,-0.0003745072961362562,0.5833333333333334,8.0,28.0,63,10,0.9,0.8461538461538461,-1.1375528671253576e-05,-1.1375528671253576e-05
flank_prior_target,q2_low_s3_high,both,36,12,12,30,0,0,-1.1462785756921612e-05,-6.697253304266404e-06,9.998260986243679e-06,-0.00046415712073949456,-0.0002712366043982062,0.5555555555555556,8.0,28.0,56,10,0.625,0.8461538461538461,-1.121905946499524e-05,-1.121905946499524e-05
flank_prior,q2_high,s3_local_q2_full,36,9,9,30,0,0,-1.1627380181344904e-05,-6.861847728689696e-06,1.0211088716682859e-05,-0.000619842663180506,-0.0004148180208043918,0.7222222222222222,8.0,32.0,56,9,0.675,0.8974358974358975,-1.1366768276843686e-05,-1.1366768276843686e-05
unit_energy,top30,s3_local_q2_full,36,9,9,30,0,0,-1.0288817541059814e-05,-5.523285088404606e-06,8.051525171803853e-06,-0.00048365255278937785,-0.0002791814236005163,0.6111111111111112,8.0,28.0,22,9,0.175,0.5384615384615384,-1.0288817541059814e-05,-1.0288817541059814e-05
flank_prior,q2_high,both,36,6,6,30,0,0,-1.134358240406641e-05,-6.578049951411202e-06,1.0496237643708994e-05,-0.0004854628196852978,-0.00024360214897292676,0.6388888888888888,8.0,32.0,56,9,0.675,0.8974358974358975,-1.1074896121954225e-05,-1.1074896121954225e-05
topology,block_inner,s3_local_q2_full,36,5,5,30,0,0,-1.0265651738783355e-05,-5.500119286128147e-06,9.989583917957567e-06,-0.00045551755103365177,-0.0003780372032384184,0.5833333333333334,8.0,28.0,55,10,0.8,0.6923076923076923,-1.0265651738783355e-05,-1.0265651738783355e-05
topology,block_inner,both,36,5,5,30,0,0,-1.0190306068857957e-05,-5.424773616202749e-06,1.0032614571553466e-05,-0.0003954098074111234,-0.0003278587902175113,0.5555555555555556,8.0,28.0,55,10,0.8,0.6923076923076923,-1.0190306068857957e-05,-1.0190306068857957e-05
topology,two_flank_train,s3_local_q2_full,36,0,0,30,0,0,-9.774348650903875e-06,-5.008816198248667e-06,9.473430389594917e-06,-0.0005376618967464566,-0.00037724899112225887,0.6388888888888888,8.0,28.0,41,9,0.525,0.6153846153846154,,
topology_x_energy,block_inner_energy_top50,s3_local_q2_full,36,0,0,30,0,0,-9.578902896656416e-06,-4.813370444001208e-06,9.274745164433718e-06,-0.0004314660867314607,-0.00030302029648874847,0.5555555555555556,8.0,28.0,28,9,0.3,0.5128205128205128,,
subject_prior,q2_high,s3_local_q2_full,36,0,0,30,0,0,-9.54879457060187e-06,-4.783262117946663e-06,1.0528841463797178e-05,-0.00042454342411172435,-0.00038989107178132314,0.5833333333333334,8.0,32.0,43,6,0.575,0.5641025641025641,,
topology,subject_late_half,s3_local_q2_full,36,0,0,30,0,0,-9.174537693890095e-06,-4.409005241234887e-06,1.059777950751517e-05,-0.0004989714158091657,-0.00030520283112392974,0.6111111111111112,8.0,32.0,43,10,0.625,0.5897435897435898,,
topology,block_second_half,s3_local_q2_full,36,0,0,30,0,0,-9.167997637060665e-06,-4.402465184405457e-06,8.632830084009946e-06,-0.0004473241654959839,-0.0003354018181102648,0.5833333333333334,8.0,32.0,33,10,0.45,0.46153846153846156,,
topology,near_train_le3,s3_local_q2_full,36,0,0,30,0,0,-9.081869932425768e-06,-4.31633747977056e-06,9.436791875039319e-06,-0.0005314464639027683,-0.00033435399117039415,0.6944444444444444,8.0,28.0,40,10,0.525,0.6410256410256411,,
topology_x_energy,two_flank_train_energy_top50,s3_local_q2_full,36,0,0,30,0,0,-9.041880767557409e-06,-4.276348314902201e-06,9.12910013806112e-06,-0.00047734275119463987,-0.00033855976134535286,0.5555555555555556,8.0,28.0,19,9,0.175,0.41025641025641024,,
topology_x_energy,block_second_half_energy_top50,s3_local_q2_full,36,0,0,30,0,0,-8.930834737297388e-06,-4.1653022846421806e-06,8.88138130017424e-06,-0.00042325301606288557,-0.0003249691389905329,0.5555555555555556,8.0,32.0,18,8,0.15,0.38461538461538464,,
topology,block_first_half,s3_local_q2_full,36,0,0,30,0,0,-8.813639677640595e-06,-4.048107224985387e-06,1.1491294526932982e-05,-0.0004718834629004187,-0.0003408569434323217,0.6666666666666666,8.0,28.0,43,10,0.65,0.5641025641025641,,
topology,near_train_le3,both,36,0,0,30,0,0,-8.687025499387602e-06,-3.921493046732394e-06,9.744843847081519e-06,-0.0003872577720836351,-0.00016363280482858413,0.6111111111111112,8.0,28.0,40,10,0.525,0.6410256410256411,,
topology,block_second_half,both,36,0,0,30,0,0,-8.684375386591725e-06,-3.918842933936517e-06,9.048283007628832e-06,-0.0002757881999032527,-0.00017234774872973988,0.5555555555555556,8.0,32.0,33,10,0.45,0.46153846153846156,,
topology,block_first_half,both,36,0,0,30,0,0,-8.63928692629301e-06,-3.873754473637803e-06,1.156291655235453e-05,-0.00036604823899907823,-0.00024879978594357656,0.6388888888888888,8.0,28.0,43,10,0.65,0.5641025641025641,,
subject_prior,s3_low,s3_local_q2_full,36,0,0,30,0,0,-8.444236932025895e-06,-3.678704479370687e-06,9.510596240769331e-06,-0.0004519508010309009,-0.00041554985841909544,0.5833333333333334,8.0,24.0,31,6,0.425,0.4358974358974359,,
subject_prior_target,q2_high_s3_low,s3_local_q2_full,36,0,0,30,0,0,-8.444236932025895e-06,-3.678704479370687e-06,9.510596240769331e-06,-0.0004519508010309009,-0.00041554985841909544,0.5833333333333334,8.0,24.0,39,8,0.575,0.4358974358974359,,
topology,near_train_le2,s3_local_q2_full,36,0,0,30,0,0,-7.986494936385036e-06,-3.220962483729828e-06,1.0281639749587512e-05,-0.00047665599990016905,-0.00028855831168653765,0.6111111111111112,8.0,28.0,25,8,0.325,0.4358974358974359,,
flank_prior,s3_low,s3_local_q2_full,36,0,0,30,0,0,-7.706815952746027e-06,-2.941283500090819e-06,9.303877794630822e-06,-0.00041390151532200853,-0.0003826668911135478,0.5555555555555556,8.0,24.0,20,4,0.2,0.3333333333333333,,
