source_name,mask_mode,localization,rows,strict,deployable,loose,beats_e75_local_all,deployable_beats_e75,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate,best_alpha_q2,best_alpha_s3,row_count,subjects,mask_active_q2,mask_active_s3,best_deployable_delta,best_strict_delta
unit_energy,soft_rank_positive,both,36,23,23,30,0,0,-1.1229157375947096e-05,-6.4636249232918885e-06,8.60653745671236e-06,-0.0003710177640274745,-0.0001595894144654276,0.7222222222222222,12.0,36.0,72,10,1.0,1.0,-1.1229157375947096e-05,-1.1229157375947096e-05
unit_energy,soft_rank_positive,s3_local_q2_full,36,22,22,30,0,0,-1.140910083274882e-05,-6.643568380093612e-06,8.39046207024019e-06,-0.0005106056698514563,-0.0002929143528611678,0.7222222222222222,8.0,36.0,72,10,1.0,1.0,-1.140910083274882e-05,-1.140910083274882e-05
unit_energy,top50,s3_local_q2_full,36,22,22,30,0,0,-1.1136476548045948e-05,-6.37094409539074e-06,8.58207546516887e-06,-0.000524067579715716,-0.00029903815372076545,0.6111111111111112,8.0,28.0,36,10,0.4,0.6923076923076923,-1.1136476548045948e-05,-1.1136476548045948e-05
control,identity,both,36,20,20,36,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006150337413920182,-0.0003957826234900154,0.7222222222222222,8.0,28.0,72,10,1.0,1.0,-1.2367636337495824e-05,-1.2367636337495824e-05
flank_prior,has_q2_or_s3_flank,both,36,20,20,36,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006150337413920182,-0.0003957826234900154,0.7222222222222222,8.0,28.0,72,10,1.0,1.0,-1.2367636337495824e-05,-1.2367636337495824e-05
flank_prior,has_q2_or_s3_flank,q2_local_s3_full,36,20,20,36,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006150337413920182,-0.0003957826234900154,0.7222222222222222,8.0,28.0,72,10,1.0,1.0,-1.2367636337495824e-05,-1.2367636337495824e-05
flank_prior,has_q2_or_s3_flank,s3_local_q2_full,36,20,20,36,0,0,-1.2367636337495824e-05,-7.602103884840616e-06,9.514146685596359e-06,-0.0006150337413920182,-0.0003957826234900154,0.7222222222222222,8.0,28.0,72,10,1.0,1.0,-1.2367636337495824e-05,-1.2367636337495824e-05
topology,block_first_half,q2_local_s3_full,36,20,20,36,0,0,-1.2245074050065696e-05,-7.479541597410488e-06,9.551729382883956e-06,-0.0005091985174906777,-0.0003012982678185672,0.6944444444444444,8.0,28.0,43,10,0.65,0.5641025641025641,-1.2245074050065696e-05,-1.2245074050065696e-05
topology,subject_late_half,q2_local_s3_full,36,20,20,36,0,0,-1.2240677483177365e-05,-7.475145030522157e-06,9.479988716365462e-06,-0.0005343264211182391,-0.0003490807106817874,0.6666666666666666,12.0,28.0,43,10,0.625,0.5897435897435898,-1.2240677483177365e-05,-1.2240677483177365e-05
subject_prior,s3_high,q2_local_s3_full,36,20,20,36,0,0,-1.2223727639870674e-05,-7.458195187215466e-06,9.5041737425694e-06,-0.0005284719826231105,-0.0003480721893964311,0.6388888888888888,8.0,28.0,44,5,0.625,0.5897435897435898,-1.2223727639870674e-05,-1.2223727639870674e-05
subject_prior,q2_low,q2_local_s3_full,36,20,20,36,0,0,-1.2200421233954373e-05,-7.434888781299165e-06,9.482923317816194e-06,-0.000536669049088237,-0.00031139058215563504,0.6388888888888888,8.0,28.0,40,5,0.675,0.48717948717948717,-1.2200421233954373e-05,-1.2200421233954373e-05
subject_prior_target,q2_low_s3_high,q2_local_s3_full,36,20,20,36,0,0,-1.2200421233954373e-05,-7.434888781299165e-06,9.482923317816194e-06,-0.000536669049088237,-0.00031139058215563504,0.6388888888888888,8.0,28.0,46,6,0.675,0.5897435897435898,-1.2200421233954373e-05,-1.2200421233954373e-05
topology,one_flank_train,q2_local_s3_full,36,20,20,36,0,0,-1.2162881070421072e-05,-7.397348617765864e-06,9.614782221945006e-06,-0.000506464959045369,-0.0003259870980577117,0.6388888888888888,12.0,28.0,31,8,0.475,0.38461538461538464,-1.2162881070421072e-05,-1.2162881070421072e-05
flank_prior,q2_low,q2_local_s3_full,36,20,20,36,0,0,-1.2159296119751417e-05,-7.393763667096209e-06,9.570714357032273e-06,-0.0005110607380670457,-0.0002529523832972059,0.6666666666666666,8.0,28.0,38,6,0.625,0.38461538461538464,-1.2159296119751417e-05,-1.2159296119751417e-05
flank_prior_target,q2_low_s3_high,q2_local_s3_full,36,20,20,36,0,0,-1.2159296119751417e-05,-7.393763667096209e-06,9.570714357032273e-06,-0.0005110607380670457,-0.0002529523832972059,0.6666666666666666,8.0,28.0,56,10,0.625,0.8461538461538461,-1.2159296119751417e-05,-1.2159296119751417e-05
flank_prior,q2_low_s3_high,q2_local_s3_full,36,20,20,36,0,0,-1.2095014059965159e-05,-7.329481607309951e-06,9.56046258782095e-06,-0.0004661132247816002,-0.00020375152493441458,0.6388888888888888,8.0,28.0,31,6,0.55,0.28205128205128205,-1.2095014059965159e-05,-1.2095014059965159e-05
subject_id,id07,q2_local_s3_full,36,20,20,36,0,0,-1.2013698362234315e-05,-7.248165909579107e-06,9.636176126259777e-06,-0.0004021142418006579,-0.0002281570615120744,0.5833333333333334,12.0,28.0,11,1,0.25,0.05128205128205128,-1.2013698362234315e-05,-1.2013698362234315e-05
unit_energy,top50,both,36,20,20,29,0,0,-1.0762101103956034e-05,-5.9965686513008265e-06,8.947183934848724e-06,-0.0003864036203129542,-0.0001892207705735062,0.5555555555555556,8.0,28.0,36,10,0.4,0.6923076923076923,-1.0762101103956034e-05,-1.0762101103956034e-05
flank_prior,s3_high,q2_local_s3_full,36,19,19,36,0,0,-1.2300098134243598e-05,-7.53456568158839e-06,9.514883551275943e-06,-0.0005686392103872312,-0.0003546725785251116,0.6944444444444444,8.0,28.0,63,10,0.9,0.8461538461538461,-1.2300098134243598e-05,-1.2300098134243598e-05
topology,block_inner,q2_local_s3_full,36,19,19,36,0,0,-1.2293711716182543e-05,-7.528179263527335e-06,9.57442532367736e-06,-0.0005549259977694898,-0.0003466809363412871,0.6944444444444444,8.0,28.0,55,10,0.8,0.6923076923076923,-1.2293711716182543e-05,-1.2293711716182543e-05
flank_prior_target,q2_strong_low_s3_strong_high,q2_local_s3_full,36,19,19,36,0,0,-1.2058729787156608e-05,-7.2931973345014e-06,9.659671808437409e-06,-0.0004470617550860895,-0.00027351269913582503,0.6111111111111112,12.0,28.0,38,9,0.325,0.6666666666666666,-1.2058729787156608e-05,-1.2058729787156608e-05
unit_energy,soft_rank_positive,q2_local_s3_full,36,18,18,36,0,0,-1.2171154824880404e-05,-7.405622372225196e-06,9.704745820959815e-06,-0.0004754458355680363,-0.00026578184601521175,0.7222222222222222,12.0,28.0,72,10,1.0,1.0,-1.197530436547467e-05,-1.197530436547467e-05
subject_prior,q2_high,q2_local_s3_full,36,18,18,36,0,0,-1.216914764767818e-05,-7.403615195022972e-06,9.732995823075186e-06,-0.00048047893410445297,-0.000314253124817071,0.6666666666666666,8.0,28.0,43,6,0.575,0.5641025641025641,-1.1965729084240095e-05,-1.1965729084240095e-05
subject_prior_target,q2_high_s3_low,q2_local_s3_full,36,18,18,36,0,0,-1.216914764767818e-05,-7.403615195022972e-06,9.732995823075186e-06,-0.00048047893410445297,-0.000314253124817071,0.6666666666666666,8.0,28.0,39,8,0.575,0.4358974358974359,-1.1965729084240095e-05,-1.1965729084240095e-05
topology,long_block_ge10,q2_local_s3_full,36,18,18,36,0,0,-1.2150135508370852e-05,-7.384603055715644e-06,9.779150266786552e-06,-0.0004757644194544608,-0.00028953534318382776,0.6666666666666666,8.0,28.0,41,6,0.55,0.5128205128205128,-1.1934713708416922e-05,-1.1934713708416922e-05
unit_energy,low50,q2_local_s3_full,36,18,18,36,0,0,-1.2090264671971163e-05,-7.324732219315955e-06,9.663650134772439e-06,-0.00045034587099374024,-0.00021377008668849173,0.7222222222222222,8.0,28.0,36,9,0.6,0.3076923076923077,-1.1871261828222401e-05,-1.1871261828222401e-05
topology,near_train_le3,q2_local_s3_full,36,18,18,36,0,0,-1.2002586959436456e-05,-7.237054506781249e-06,9.654863576180617e-06,-0.000470845049572885,-0.00022804748128303913,0.6666666666666666,8.0,28.0,40,10,0.525,0.6410256410256411,-1.1803086835349141e-05,-1.1803086835349141e-05
topology_x_energy,block_inner_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1990184699661732e-05,-7.224652247006524e-06,9.750391615992449e-06,-0.0004367604817822335,-0.000239988862119367,0.6666666666666666,8.0,28.0,28,9,0.3,0.5128205128205128,-1.179512354576584e-05,-1.179512354576584e-05
topology_x_energy,block_first_half_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1982003908950212e-05,-7.216471456295004e-06,9.772963211918118e-06,-0.00043027554433576476,-0.00022169087839273862,0.6666666666666666,8.0,28.0,20,8,0.3,0.3333333333333333,-1.179215345237239e-05,-1.179215345237239e-05
topology,near_train_le2,q2_local_s3_full,36,18,18,36,0,0,-1.1941044765206854e-05,-7.175512312551646e-06,9.66445708938668e-06,-0.0003970842203789987,-0.00018400505768840776,0.6388888888888888,8.0,28.0,25,8,0.325,0.4358974358974359,-1.1735087309894254e-05,-1.1735087309894254e-05
topology,block_second_half,q2_local_s3_full,36,18,18,36,0,0,-1.1931801852216317e-05,-7.166269399561109e-06,9.845858115919981e-06,-0.00044349777579928695,-0.00023560235703486425,0.7222222222222222,8.0,28.0,33,10,0.45,0.46153846153846156,-1.1733611595454718e-05,-1.1733611595454718e-05
topology,block_first2,q2_local_s3_full,36,18,18,36,0,0,-1.1923424011461847e-05,-7.157891558806639e-06,9.69720394550233e-06,-0.00038482091534701446,-0.00015495640905284773,0.6666666666666666,8.0,28.0,25,10,0.3,0.4358974358974359,-1.1711342811082659e-05,-1.1711342811082659e-05
topology_x_energy,long_block_ge10_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.191816946011226e-05,-7.152637007457052e-06,9.847668960394351e-06,-0.0004034932914881578,-0.000199362187376817,0.6388888888888888,8.0,28.0,20,6,0.2,0.3333333333333333,-1.1711585329976515e-05,-1.1711585329976515e-05
subject_id,id06,q2_local_s3_full,36,18,18,36,0,0,-1.1908526126980234e-05,-7.142993674325027e-06,9.691039387749179e-06,-0.0004273927359488283,-0.00021956556404231233,0.6111111111111112,8.0,28.0,15,1,0.275,0.1794871794871795,-1.1704638183118732e-05,-1.1704638183118732e-05
topology_x_energy,subject_late_half_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1908397586912756e-05,-7.142865134257548e-06,9.869808874851671e-06,-0.0004388580027066824,-0.000253007216167378,0.6111111111111112,8.0,28.0,22,8,0.275,0.41025641025641024,-1.1713837950955153e-05,-1.1713837950955153e-05
topology_x_energy,one_flank_train_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1903231342258458e-05,-7.13769888960325e-06,9.837759329611728e-06,-0.0004297403567347924,-0.0002448443823815595,0.6111111111111112,8.0,28.0,17,7,0.225,0.28205128205128205,-1.1709262479508986e-05,-1.1709262479508986e-05
topology,short_block_le5,q2_local_s3_full,36,18,18,36,0,0,-1.1848246418422193e-05,-7.082713965766985e-06,9.701345820900542e-06,-0.000356236424098183,-0.00016137294701398797,0.6388888888888888,12.0,28.0,13,4,0.15,0.23076923076923078,-1.1635718651925586e-05,-1.1635718651925586e-05
flank_prior,s3_low,q2_local_s3_full,36,18,18,36,0,0,-1.1842410901241607e-05,-7.076878448586399e-06,9.94833789802474e-06,-0.0003734371552500809,-0.0001222263631115107,0.6388888888888888,8.0,28.0,20,4,0.2,0.3333333333333333,-1.1610575179177296e-05,-1.1610575179177296e-05
subject_id,id10,q2_local_s3_full,36,18,18,36,0,0,-1.181249599380152e-05,-7.046963541146312e-06,9.971290631627383e-06,-0.00036858419052714086,-0.0001343954079017441,0.6111111111111112,8.0,28.0,9,1,0.15,0.07692307692307693,-1.1584529743924321e-05,-1.1584529743924321e-05
topology_x_energy,two_flank_train_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.180680315582272e-05,-7.041270703167513e-06,9.939612240272844e-06,-0.00036031133684533145,-0.00014965389904970645,0.6388888888888888,8.0,28.0,19,9,0.175,0.41025641025641024,-1.1608267816098916e-05,-1.1608267816098916e-05
topology_x_energy,subject_early_half_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.180251598231763e-05,-7.036983529662422e-06,9.929359349625244e-06,-0.00035119369087344143,-0.0001379447412078016,0.6388888888888888,8.0,28.0,14,9,0.125,0.28205128205128205,-1.1603685507344252e-05,-1.1603685507344252e-05
topology_x_energy,near_train_le3_energy_top50,q2_local_s3_full,36,18,18,36,0,0,-1.1789540799944653e-05,-7.0240083472894455e-06,9.932807505275143e-06,-0.0003906565474459389,-0.00019373520891941562,0.6111111111111112,8.0,28.0,18,8,0.2,0.41025641025641024,-1.1596181310635778e-05,-1.1596181310635778e-05
flank_prior,q2_high_s3_low,q2_local_s3_full,36,18,18,36,0,0,-1.1778129677564309e-05,-7.012597224909101e-06,9.956933108234978e-06,-0.0003284896419646216,-0.00010456692226141215,0.6111111111111112,8.0,28.0,15,4,0.125,0.28205128205128205,-1.1566902755943964e-05,-1.1566902755943964e-05
topology,block_last2,q2_local_s3_full,36,18,18,36,0,0,-1.1776266951812886e-05,-7.010734499157678e-06,9.94629934691904e-06,-0.00035570621127564706,-0.0001190178616473081,0.6666666666666666,8.0,28.0,17,9,0.175,0.3076923076923077,-1.157599869805459e-05,-1.157599869805459e-05
