source_file,source_table,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_eval_all_delta_vs_mixmin,best_all_delta_vs_mixmin
submission_jepa_block_consensus_gate_299a7455.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.505172518358801e-05,-3.505172518358801e-05
submission_jepa_block_consensus_gate_5738e95e.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.5048668161286045e-05,-3.5048668161286045e-05
submission_jepa_block_consensus_gate_eef3daf0.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.503349336453354e-05,-3.503349336453354e-05
submission_jepa_block_consensus_gate_aa97b049.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.503309361607698e-05,-3.503309361607698e-05
submission_jepa_block_consensus_gate_76aff53b.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.500697734004632e-05,-3.500697734004632e-05
submission_jepa_block_consensus_gate_c28e6346.csv,jepa_block_consensus_gate_selected.csv,120,23,0,0,0,0,3,-3.50053047570853e-05,-3.50053047570853e-05
submission_jepa_block_consensus_rawcorr_refine_aeabeb26.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,23,0,0,0,0,6,-3.49659186165141e-05,-3.49659186165141e-05
submission_frontier_cvjepa_refine_a2c8d2c8.csv,manual_controls,120,23,0,0,0,0,0,-3.4933304195794435e-05,-3.4933304195794435e-05
submission_jepa_block_consensus_gate_cf9e36f2.csv,manual_controls,120,23,0,0,0,0,3,-3.482807246357744e-05,-3.482807246357744e-05
submission_jepa_block_consensus_rawcorr_refine_ad008bbb.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,23,0,0,0,0,6,-3.481457729415105e-05,-3.481457729415105e-05
submission_jepa_block_consensus_rawcorr_refine_1f86615e.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,23,0,0,0,0,6,-3.4814070240418715e-05,-3.4814070240418715e-05
submission_jepa_block_consensus_rawcorr_refine_e8508f79.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,22,0,0,0,0,6,-3.481351418599399e-05,-3.481351418599399e-05
submission_jepa_block_consensus_rawcorr_refine_d9aefe69.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,22,0,0,0,0,6,-3.481290913098789e-05,-3.481290913098789e-05
submission_jepa_block_consensus_rawcorr_micro_c8d38ede.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.4773022540957044e-05,-3.4773022540957044e-05
submission_jepa_block_consensus_rawcorr_micro_d2dbf75c.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.477214508929016e-05,-3.477214508929016e-05
submission_jepa_block_consensus_rawcorr_micro_d7f8c65c.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.477126428241828e-05,-3.477126428241828e-05
submission_jepa_block_consensus_rawcorr_refine_a4c875f3.csv,jepa_block_consensus_rawcorrector_refine_selected.csv,120,22,0,0,0,0,6,-3.477101141124983e-05,-3.477101141124983e-05
submission_jepa_block_consensus_rawcorr_micro_d9851c05.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.477038012011935e-05,-3.477038012011935e-05
submission_jepa_block_consensus_rawcorr_micro_cc5b3053.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.4769492602615415e-05,-3.4769492602615415e-05
submission_jepa_block_consensus_rawcorr_micro_9ec2b75e.csv,jepa_block_consensus_rawcorrector_microrefine_shortlist.csv,120,22,0,0,0,0,6,-3.47686017300175e-05,-3.47686017300175e-05
submission_jepa_block_consensus_rawcorr_refine_a2f628d8.csv,manual_controls,120,22,0,0,0,0,6,-3.475323888302295e-05,-3.475323888302295e-05
submission_jepa_block_consensus_rawcorr_b411b06d.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.469876032413666e-05,-3.469876032413666e-05
submission_jepa_block_consensus_rawcorr_4fd8bab2.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.468996786515355e-05,-3.468996786515355e-05
submission_jepa_block_consensus_rawcorr_01d781e0.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.468794671146469e-05,-3.468794671146469e-05
submission_jepa_block_consensus_rawcorr_224f8a38.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.467522830824521e-05,-3.467522830824521e-05
submission_jepa_block_consensus_rawcorr_fd06a9c9.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.465878540187539e-05,-3.465878540187539e-05
submission_jepa_block_consensus_rawcorr_645f7245.csv,jepa_block_consensus_rawcorrector_selected.csv,120,22,0,0,0,0,6,-3.4414595145637605e-05,-3.4414595145637605e-05
submission_jepa_block_consensus_rawcorr_7cc6473a.csv,manual_controls,120,22,0,0,0,0,6,-3.433013486375813e-05,-3.433013486375813e-05
submission_jepa_energy_ensemble_5a01b623.csv,manual_controls,120,16,0,0,0,0,3,-3.2875195869586094e-05,-3.2875195869586094e-05
submission_hiddenblock_seqmotif_cellgate_b8c9ae2f.csv,manual_controls,120,15,0,0,0,0,3,-3.075045059730552e-05,-3.075045059730552e-05
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,manual_controls,116,42,0,0,40,0,42,-8.935447228686222e-06,-1.0545787970772658e-05
