route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,source_cells,h082_cells,h082_row,outside_h082_cells,route_source_action_sum,route_source_action_mean,route_source_posterior_sum,route_source_posterior_mean,route_source_count_mean,route_family_count_mean,route_source_consensus_mean,route_bad_same_mean,route_bad_opp_mean,route_h079_row,route_h080_score_mean,route_move_abs_mean,route_direction_consistency,route_h050_null_cells,route_action_score
r066_full_state,66,id03,2024-08-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7492292798940907,5.723545714285715,0.8176493877551021,0.8456474845968829,0.8354318367346938,0.2100142857142857,0.7578522448979594,0.7341371428571427,0.0024015438150871,0.01681080670561,3,7,1,0,1111111,"0,1,2,3,4,5,6",0.9990942028985508,0.9026268115942028,0.8786231884057971,0.9634057971014492,7,7,1,0,-2.4936052593686652e-05,-3.562293227669522e-06,-0.016677190883513816,-0.0023824558405019735,18.0,2.5714285714285716,1.0,0.2859999999999999,0.729142857142857,0.0,0.8055420408163266,0.3596879989560054,0.7142857142857143,0,0.9263098473084886
r140_full_state,140,id06,2024-07-21,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.71981988495174,5.621428571428572,0.803061224489796,0.8292817703111686,0.8332130612244899,0.1898448979591836,0.7038579591836734,0.8460171428571429,0.0016240922664599,0.0113686458652197,3,6,3,1,1111111,"0,1,2,3,4,5,6",0.9981884057971014,0.8591485507246377,0.9125905797101448,0.9552989130434784,7,7,1,0,-8.889718849674223e-06,-1.2699598356677462e-06,-0.011295220639604578,-0.0016136029485149396,17.285714285714285,2.5714285714285716,1.0,0.25224489795918353,0.8134693877551021,0.0,0.7890179591836735,0.877417767989243,0.7142857142857143,0,0.9155580357142858
r138_full_state,138,id06,2024-07-18,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7693797691024487,5.810302857142857,0.8300432653061225,0.8563658519438216,0.8303836734693879,0.179,0.7714432653061224,0.8047771428571429,0.0026805308265061,0.0187637157855427,3,7,3,0,1111111,"0,1,2,3,4,5,6",1.0,0.9026268115942028,0.9248188405797102,0.9705797101449276,7,7,1,0,-1.2957649302507998e-05,-1.8510927575011426e-06,-0.01867904816586156,-0.002668435452265937,16.714285714285715,2.4285714285714284,1.0,0.26579591836734684,0.7845714285714286,0.0,0.8160791836734694,0.5258715533602384,0.5714285714285714,0,0.9150931677018634
r066_nonq2_full,66,id03,2024-08-25,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.713226052835512,5.067431428571429,0.8445719047619048,0.8551592082308681,0.8529714285714286,0.1700261904761904,0.737992380952381,0.7341371428571427,0.0023504499571464,0.0141026997428787,2,6,1,0,1011111,"0,2,3,4,5,6",0.9977355072463768,0.8054800724637681,0.9302536231884058,0.9520561594202898,6,6,1,0,-1.114258057832552e-05,-1.8570967630542533e-06,-0.014000701039580416,-0.0023334501732634027,18.666666666666668,2.6666666666666665,1.0,0.23414285714285707,0.7729523809523808,0.0,0.8238119047619047,0.3909656163107245,0.6666666666666666,0,0.9129981884057972
r138_q3_s_stage,138,id06,2024-07-18,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.6344889197955697,4.382922857142857,0.8765845714285714,0.8859647712475318,0.8650171428571429,0.1056885714285714,0.7949714285714287,0.804777142857143,0.0030232501800058,0.0151162509000294,1,5,2,0,11111,"2,3,4,5,6",0.9954710144927535,0.6632699275362319,0.9750905797101448,0.936503623188406,5,5,1,0,-1.1530044425383377e-05,-2.3060088850766755e-06,-0.015031583280348263,-0.003006316656069653,21.0,3.0,1.0,0.1785714285714285,0.8355428571428571,0.0,0.8691445714285715,0.6848474609095605,0.6,0,0.9112409420289854
r195_nonq2_full,195,id08,2024-09-10,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.753147387578552,5.144182857142857,0.8573638095238095,0.8757344463261062,0.8760857142857145,0.1602238095238095,0.783092380952381,0.7628571428571429,0.0025737873450357,0.0154427240702142,2,5,1,1,1011111,"0,2,3,4,5,6",0.9995471014492754,0.7373188405797102,0.9393115942028986,0.9458152173913044,6,6,1,0,-1.1494454925483149e-05,-1.915742487580525e-06,-0.0153457382262825,-0.0025576230377137503,21.0,3.0,1.0,0.28238095238095234,0.7256190476190475,0.0,0.8393200000000002,0.1430114048213633,0.6666666666666666,0,0.9060235507246376
r138_nonq2_full,138,id06,2024-07-18,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.668190970959358,5.018111428571428,0.8363519047619047,0.8509725415642014,0.8171676190476193,0.1727547619047619,0.7757885714285714,0.804777142857143,0.0028143821911058,0.0168862931466353,2,6,2,0,1011111,"0,2,3,4,5,6",0.9963768115942028,0.8054800724637681,0.9284420289855072,0.9535461956521738,6,6,1,0,-1.1800273451288894e-05,-1.966712241881482e-06,-0.01680162552695416,-0.0028002709211590268,18.5,2.6666666666666665,1.0,0.28033333333333327,0.7701904761904762,0.0,0.8276895238095238,0.5908795155328527,0.5,0,0.9042481884057971
r133_full_state,133,id06,2024-07-12,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.613932329403539,5.460505714285714,0.7800722448979591,0.8048409539846381,0.8299265306122449,0.2059979591836734,0.7581983673469388,0.6680171428571429,0.0012654336205775,0.0088580353440431,3,5,3,2,1111111,"0,1,2,3,4,5,6",0.9923007246376812,0.8054800724637681,0.8854166666666666,0.938328804347826,7,7,1,0,-2.1506367758938334e-05,-3.072338251276905e-06,-0.008784457446439024,-0.0012549224923484319,19.0,2.857142857142857,1.0,0.26208163265306117,0.6715102040816326,0.0,0.781324081632653,0.1389163426091495,0.5714285714285714,0,0.9030913561076603
r195_full_state,195,id08,2024-09-10,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.734961890775466,5.74732,0.8210457142857143,0.8561242192907604,0.8570889795918368,0.1862408163265305,0.7564897959183673,0.7628571428571428,0.0022874323144881,0.0160120262014168,3,6,1,1,1111111,"0,1,2,3,4,5,6",0.998641304347826,0.8591485507246377,0.9166666666666666,0.9609057971014492,7,7,1,0,-1.2138839024793267e-05,-1.7341198606847525e-06,-0.0159150403574851,-0.0022735771939264428,18.857142857142858,2.7142857142857144,1.0,0.29404081632653056,0.6926530612244898,0.0,0.8056453061224492,0.13267521928840378,0.5714285714285714,0,0.9000727872670808
r122_full_state,122,id05,2024-11-14,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.1861912991974677,4.507071428571429,0.6438673469387756,0.6855389131683115,0.7168783673469388,0.2970265306122449,0.5329257142857143,0.6462571428571428,0.0009634473256006,0.0067441312792046,3,7,1,0,1111111,"0,1,2,3,4,5,6",0.9397644927536232,0.9026268115942028,0.7590579710144928,0.8860824275362319,7,7,1,0,-0.0002732740722887406,-3.90391531841058e-05,0.004251964609947699,0.0006074235157068141,17.285714285714285,3.142857142857143,1.0,0.37359183673469376,0.5768163265306123,1.0,0.6866542857142858,0.12345851522429536,0.5714285714285714,0,0.8976407220496896
