source,avg_log_loss,drift_vs_reference,Q1,Q2,Q3,S1,S2,S3,S4
moe_ridge_a5_b0.35,0.6187020571401332,0.06986891539082772,0.6661838451651003,0.6792277478852716,0.666058517225206,0.5700799701319177,0.5784525275626157,0.527843672083205,0.6430681199276149
moe_ridge_a20_b0.35,0.6206221413049106,0.06665032029939018,0.6668699883786583,0.6870287198655156,0.6663764039840728,0.5705743317183134,0.5794377444571284,0.5286336775691629,0.6454341231615217
moe_ridge_a5_b0.2,0.6220254703476639,0.06505260395806091,0.6685460589658885,0.6891462027747318,0.6701857423044663,0.5721358473493595,0.5789282114678725,0.5305158796618817,0.6447203499094469
moe_logreg_c0.3_b0.35,0.6222497690362818,0.0686125503543284,0.6666075489216057,0.6903170500764683,0.6671200894431079,0.5728606291641092,0.5816895872988668,0.5305105131496001,0.6466429652002146
moe_ridge_a80_b0.35,0.6229169195317763,0.06407981190160554,0.6687025540317202,0.6939248118871858,0.6678562768766468,0.5723214720859883,0.5800583786251822,0.530594427159353,0.6469605160563581
moe_ridge_a20_b0.2,0.623316620886375,0.06379131899382698,0.6692004403041857,0.6940475622866946,0.6705909340504498,0.5725326098446971,0.5795662926294899,0.5310923325754704,0.646186174513637
moe_logreg_c0.1_b0.35,0.6237081968509866,0.0666000670836306,0.6677532500163996,0.6960559173652457,0.6679696093517086,0.5735659189476524,0.5810370943257751,0.5315675879757337,0.6480079999743905
moe_logreg_c0.3_b0.2,0.6241358132991522,0.06439243049317041,0.668999123305927,0.6954921394946043,0.6709520080017617,0.573805155362815,0.5807928720690557,0.5320729171386515,0.6468364777212509
moe_ridge_a5_b0.1,0.6246682658984491,0.06301699493284077,0.6706792389367663,0.6966716090654543,0.6736871868760923,0.5737923473962626,0.5793505630910364,0.5325504929642414,0.6459464229592912
moe_ridge_a80_b0.2,0.6247841712494304,0.0628018302002419,0.670474185622419,0.6982972552849339,0.671703966837861,0.5736874952983915,0.579938750083557,0.5323008798367963,0.6470866657820545
moe_logreg_c0.1_b0.2,0.6250892848203511,0.06369558656165739,0.6697740405933249,0.6991037808172651,0.6715442204649262,0.5743148655464845,0.5804584971042277,0.5327778964831457,0.6476516927330832
moe_logreg_c0.03_b0.35,0.625226310465231,0.0649692250578473,0.6695294861420946,0.7004793095375812,0.6697569757582379,0.5746783999510289,0.580550580324727,0.5328814023214361,0.6487080192215116
moe_ridge_a20_b0.1,0.6253795912371432,0.06258721425916738,0.6710702451276059,0.6992831290516256,0.6739782869096808,0.5740326377147644,0.57969474323941,0.5328808462000929,0.6467172504168218
moe_logreg_c0.3_b0.1,0.6257463709402807,0.06280758346234946,0.6709450899191646,0.699852519620918,0.6741083344323451,0.5746607034165301,0.5802884407118465,0.5333406801003682,0.647028828380793
moe_logreg_c0.03_b0.2,0.6260567092916345,0.0631899880609526,0.6709194766555652,0.7018469528795358,0.6727406793396987,0.5750342368530728,0.5801980412324833,0.5335980258579798,0.6480595522231056
moe_ridge_a5_b0.05,0.6261187855005883,0.06226511912354606,0.6718855280348238,0.7007336369878636,0.6756651029931464,0.5747137294021363,0.5795930711018673,0.5336436766804802,0.6465967533038007
moe_ridge_a80_b0.1,0.6261630978066489,0.06214694107086888,0.6717773705473004,0.7015207730253942,0.6745987782115948,0.5746664572684113,0.5798868186533658,0.5335145838163273,0.6471769031241491
moe_logreg_c0.1_b0.1,0.6262646462642133,0.06256346136877663,0.6713721614933188,0.7017779752249125,0.6744413978456766,0.5749522289041685,0.5801336345387894,0.533726899687812,0.6474482261548151
moe_ridge_a20_b0.05,0.6264896476515561,0.062084269670610835,0.6720952304482204,0.7020821695917312,0.6758223078703046,0.5748451767427822,0.5797714876350847,0.5338194976199148,0.6469916636528554
moe_logreg_c0.3_b0.05,0.6266620282079811,0.06229219470554344,0.6720256952618375,0.7023268704563417,0.6758745326042156,0.5751577400169589,0.5800634999215329,0.5340418164277606,0.64714404276722
moe_logreg_c0.03_b0.1,0.626782982676114,0.06243377052608014,0.6719892664629681,0.70322722474663,0.6751005072512734,0.575340262779478,0.5800089886427829,0.5341598740246287,0.6476547548250364
moe_ridge_a80_b0.05,0.6268942436407342,0.06190975905971728,0.6724659413061541,0.7032310333408309,0.676149143435743,0.575177005931999,0.579868975100515,0.5341437653947673,0.6472238409751297
moe_logreg_c0.1_b0.05,0.6269318807114643,0.06219836667565821,0.6722491014273912,0.7033213604897433,0.6760505729930815,0.5753129032832837,0.579989132795549,0.5342433924104711,0.6473567015807302
moe_logreg_c0.03_b0.05,0.6271999667326789,0.0621557545558685,0.6725689401424695,0.7040665469641797,0.6763958170879651,0.5755140979078397,0.5799281665558732,0.5344655847319256,0.6474606137384988
