feature_family,label_task,feature_count,positive_rate,auc,ap,ap_lift_vs_rate
action_geometry_only,strict_jury_released,13,0.02761904761904762,0.7486870546117734,0.06913461471761394,0.04151556709856632
action_geometry_only,strict_positive_release,13,0.014603174603174604,0.7410616735768712,0.03325219511788065,0.018649020514706044
action_geometry_only,healthy_action,13,0.5,0.5819742504409171,0.5684097427990287,0.06840974279902867
action_geometry_only,toxic_tail_action,13,0.4033333333333333,0.7045406124343946,0.552175452438554,0.14884211910522072
masked_tail_representation,strict_jury_released,27,0.02761904761904762,0.8956121637189893,0.18336508503910023,0.1557460374200526
masked_tail_representation,strict_positive_release,27,0.014603174603174604,0.8738978106790678,0.11276255640213524,0.09815938179896064
masked_tail_representation,healthy_action,27,0.5,0.5222113378684807,0.5268324205111238,0.026832420511123778
masked_tail_representation,toxic_tail_action,27,0.4033333333333333,0.6638510706928322,0.5065719634894287,0.10323863015609536
world_episode_minimal_listener,strict_jury_released,92,0.02761904761904762,0.6873951613811116,0.07596764389597516,0.04834859627692754
world_episode_minimal_listener,strict_positive_release,92,0.014603174603174604,0.6870859129874496,0.039354651321641426,0.024751476718466822
world_episode_minimal_listener,healthy_action,92,0.5,0.508721945074326,0.5049596609270619,0.004959660927061904
world_episode_minimal_listener,toxic_tail_action,92,0.4033333333333333,0.6369243266508013,0.48459653882226417,0.08126320548893085
hsjepa_listener_manifold,strict_jury_released,119,0.02761904761904762,0.9135257297893659,0.26087617751864967,0.23325712989960204
hsjepa_listener_manifold,strict_positive_release,119,0.014603174603174604,0.8962401249439712,0.1282956448431389,0.1136924702399643
hsjepa_listener_manifold,healthy_action,119,0.5,0.5104027714789621,0.5078337883016538,0.007833788301653821
hsjepa_listener_manifold,toxic_tail_action,119,0.4033333333333333,0.65881773550641,0.49734989318769096,0.09401655985435764
full_decoder_context,strict_jury_released,129,0.02761904761904762,0.915400628937898,0.26215705517291477,0.23453800755386714
full_decoder_context,strict_positive_release,129,0.014603174603174604,0.8987526613626177,0.12954828081857045,0.11494510621539585
full_decoder_context,healthy_action,129,0.5,0.5715012345679013,0.5651396152736788,0.06513961527367884
full_decoder_context,toxic_tail_action,129,0.4033333333333333,0.7008159559128144,0.55299788843205,0.14966455509871668
