source_file,row,subject_id,sleep_date,lifelog_date,target_index,target,flat_idx,h057_prob,source_prob,source_move,pos_frac,mean_benefit,min_benefit,allfull_benefit,frontier_benefit,no_pre_benefit,h088_same_direction,h088_penalty,score,passes_gate,hard_h088_veto,h151_score,amp,new_prob
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,98,id04,2024-10-19,2024-10-18,1,Q2,687,0.4631417001415242,0.3925908756995611,-0.2887334025590351,1.0,0.0001188791526076,3.760562396987701e-05,0.0001430449711884,6.699622680009717e-05,6.915023452817428e-05,False,0.0,2.8483428571428573,True,False,4.312383194909177,0.58,0.421854157278942
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,91,id04,2024-09-25,2024-09-24,1,Q2,638,0.517487560784734,0.469005155956216,-0.1941173359161072,1.0,7.156378591628116e-05,3.504493587498547e-05,8.144313258885859e-05,3.504493587498547e-05,4.395872483012528e-05,False,0.0,2.842028571428571,True,False,3.9963736296525805,0.58,0.4893492942795613
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,194,id08,2024-09-09,2024-09-08,1,Q2,1359,0.7100675875039203,0.6689098797550984,-0.192453586465065,0.9,0.0001746252354297,-0.0001464604506552,0.0002504478382544,1.4857624964388904e-05,0.0001461764396868,False,0.0,2.3026,True,False,3.974189054281883,0.58,0.6865607696491823
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,158,id07,2024-07-20,2024-07-19,1,Q2,1107,0.3439340829685295,0.3039291085187582,-0.1828457847329689,1.0,5.746871318018603e-05,4.522382905497232e-06,7.221610361675016e-05,4.522382905497232e-06,1.318015045509104e-05,False,0.0,2.8357714285714284,True,False,3.8430787192856957,0.58,0.3204157587657891
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,128,id06,2024-07-07,2024-07-06,0,Q1,896,0.4321460756751156,0.4391443562105721,0.0284651766338331,1.0,4.751765340364385e-05,1.0541290818506211e-06,6.990212491196781e-05,8.466499345711646e-06,1.5366171728770495e-05,False,0.0,2.783942857142857,True,False,3.7495970449084144,0.58,0.43620196409867606
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,102,id04,2024-10-25,2024-10-24,1,Q2,715,0.4597383530095764,0.4210505872603782,-0.1570660936528302,1.0,3.713626054476229e-05,1.4154599968729548e-05,4.181007910634699e-05,1.4154599968729548e-05,1.9537806817023872e-05,False,0.0,2.809085714285714,True,False,3.735536723779644,0.58,0.4372096480815623
submission_h071_rowtarget_assignment_a52b6b57_uploadsafe.csv,78,id03,2024-10-06,2024-10-05,1,Q2,547,0.839290393934458,0.8837226247662203,0.3752070195364196,0.9,9.785388592041025e-05,-2.260479544194788e-05,8.133211171130668e-05,7.585179563843784e-05,7.439309739810169e-05,False,0.0,2.336314285714286,True,False,3.6437545061720953,0.58,0.8665251183917172
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,8,id01,2024-08-10,2024-08-09,1,Q2,57,0.5298229073435359,0.5216488044708875,-0.0327840053096144,1.0,2.6623471363322247e-05,3.594144186254006e-06,3.50762585860232e-05,3.594144186254006e-06,1.641165278042762e-05,False,0.0,2.7783999999999995,True,False,3.6333202258764197,0.58,0.525083593630098
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,182,id08,2024-08-01,2024-07-31,4,S2,1278,0.546729165180283,0.5952440595393897,0.1982235002540357,1.0,2.110078273965531e-05,1.2231840445935072e-06,2.4048874096364883e-05,5.086206046258266e-06,1.5558386801898236e-05,False,0.0,2.795857142857143,True,False,3.6245487524267053,0.58,0.5750372653559445
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,221,id09,2024-09-13,2024-09-12,1,Q2,1548,0.5858926855009393,0.5985988949221754,0.0526190716346238,1.0,1.7641001693082018e-05,1.6690991845869638e-06,2.360603384113085e-05,1.6690991845869638e-06,2.779851005664372e-05,False,0.0,2.7696,True,False,3.588107167298934,0.58,0.5932773637767643
