feature_set,family,view,best_policy,best_decoder_action,support_auc,support_ap,selected_cells,selected_gain_sum,selected_positive_gain_rate,gain_lift_vs_null,gain_z_vs_null,robust_score
world_residual_energy,world_all,all,top10_all_cells,raw_memory_release,0.5425554172819439,0.5368446675715243,315,6.146252354011539,0.5650793650793651,9.817776919947695,2.9427417226118284,8.97738576307725
leaveout_view_app_social_context,leaveout_view,app_social_context,low08_inverse_decisive,inverse_toxic_memory,0.5493927047165007,0.5443308554011984,195,4.682283716099504,0.6717948717948717,10.497242015320221,2.9660078887951733,7.711823568981892
world_full_all_views,world_all,all,low05_inverse_decisive,inverse_toxic_memory,0.5386152240455795,0.5295936297238796,122,3.432322674804746,0.6557377049180327,8.21879287439545,3.641637271549146,5.942286301357048
leaveout_view_body_activity_sleep,leaveout_view,body_activity_sleep,top10_all_cells,raw_memory_release,0.5505754883215236,0.5473877464763179,315,3.133638749463093,0.6031746031746031,6.7288951482759405,1.5511542583654305,5.090748527994964
single_view_calendar_rhythm,single_view,calendar_rhythm,top10_all_cells,raw_memory_release,0.5083355203139254,0.5077865500733514,315,2.406991928961417,0.5523809523809524,4.308380073241843,0.8516541020814905,3.6903145135336346
single_view_mobility_environment,single_view,mobility_environment,low10_inverse_decisive,inverse_toxic_memory,0.5293492795461078,0.5208280298711226,244,1.0287172751406488,0.6229508196721312,8.04504581285717,2.0713019401427673,3.3614205884843953
single_view_phone_behavior,single_view,phone_behavior,low10_inverse_decisive,inverse_toxic_memory,0.5359394482520079,0.5213693612445283,244,0.5940240089558269,0.6065573770491803,8.296036587108063,2.450465306227647,3.015709724493349
leaveout_view_phone_behavior,leaveout_view,phone_behavior,top05_all_cells,raw_memory_release,0.5406578840751128,0.5349719263167931,158,1.7814812133147329,0.5949367088607594,3.943050650758552,1.2111112384710878,3.0128669522972475
world_predicted_only,world_all,all,low10_inverse_decisive,inverse_toxic_memory,0.5337629490415381,0.5161458661554286,244,-0.07185864988699597,0.6352459016393442,7.27715572270967,1.9094829468313397,2.059000391946765
target_blind_world_full,target_blind,all,low05_inverse_decisive,inverse_toxic_memory,0.5316326082232888,0.5252874003569926,122,-0.32060399584511856,0.5819672131147541,4.432485836090623,2.0861119534333845,1.0998982227308964
target_family_world_full,target_family,all,low08_inverse_decisive,inverse_toxic_memory,0.5374574345044665,0.5291687144128402,195,-1.02171369141612,0.6205128205128205,6.869645474806034,1.8779770649621488,1.0010640476105657
leaveout_view_calendar_rhythm,leaveout_view,calendar_rhythm,low05_inverse_decisive,inverse_toxic_memory,0.5171951097098311,0.5105666287548964,122,-0.18308158870805613,0.5573770491803278,3.0626508058875004,1.172061732190171,0.8156903136341147
leaveout_view_mobility_environment,leaveout_view,mobility_environment,low05_inverse_decisive,inverse_toxic_memory,0.5251680145320325,0.5200685381875627,122,-2.7584382219384054,0.5901639344262295,1.077063849251008,0.3827232589394956,-2.3110134153039366
single_view_app_social_context,single_view,app_social_context,top10_all_cells,raw_memory_release,0.5086787855626225,0.49987485821268857,315,-3.9487930818941708,0.49523809523809526,-2.3331859795559198,-0.6398968054541939,-4.459471797409963
target_action_only,baseline,none,top05_all_cells,raw_memory_release,0.5092621147638726,0.49803169118702273,158,-4.107447217962968,0.5,-1.8354691246028945,-0.762803599759836,-4.502338787094478
world_energy_only,world_all,all,top05_all_cells,raw_memory_release,0.5128485613699004,0.5081198579458399,158,-6.158391322602249,0.5189873417721519,-3.4734000665427485,-1.2511270300517139,-6.997084666199035
single_view_body_activity_sleep,single_view,body_activity_sleep,top05_all_cells,raw_memory_release,0.4674585350495386,0.47452490273424397,158,-7.027003227189722,0.44936708860759494,-4.0964233624442885,-1.414218099933997,-8.051904743643616
