cells,rows,mean_action_health,mean_projection_score,mean_incremental_energy_delta,mean_subject_energy_delta,bad_tangent_dot,bad_tangent_cosine,anti_bad_rate,variant
28.0,26.0,0.5779126994233668,0.584276376735325,0.025510870307257672,0.008413506553499334,-0.11045112282004915,-0.0881823032893705,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5767122056630551,0.5588564652213599,0.04777099949150515,0.008519346508768713,-0.0613485311307041,-0.04897962682859333,1.0,anti_tangent_invariant_projection
28.0,26.0,0.5968748089082389,0.5805061270607863,0.03366241000080786,0.008117708502828879,-0.09833408660196778,-0.07850826706891498,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5783176147640808,0.5851416558006767,0.036990114099232065,0.0068289255384125095,-0.13627130663055,-0.10879670015226577,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5722320924992677,0.5711630461299321,0.03863918233546954,0.0064766263414908045,-0.05926897013916324,-0.04731934060077861,1.0,anti_tangent_invariant_projection
28.0,27.0,0.580717824201745,0.5947098026111955,0.023812434459082234,0.006680767900204622,-0.12845017036974588,-0.10255243760238311,1.0,anti_tangent_invariant_projection
28.0,26.0,0.5926855116403077,0.6091923665915132,0.01800584555318659,0.005240634372827945,-0.09122620744958974,-0.07283345689808148,1.0,anti_tangent_invariant_projection
28.0,25.0,0.5895584547745746,0.5702499192663951,0.04726709986615969,0.00963411527996146,-0.04620895379507231,-0.03689244503996941,1.0,anti_tangent_invariant_projection
28.0,28.0,0.6044835420099731,0.5509476622880982,0.05989482693857301,0.009605014101422307,-0.08007579822656118,-0.06393115927719016,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5930765992286522,0.5661114676992444,0.042735358114316745,0.009072446203529863,-0.053701799580549575,-0.042874606041917146,1.0,anti_tangent_invariant_projection
28.0,26.0,0.6130930868400691,0.5714415687712584,0.04652661050527602,0.008499453963586687,-0.06617520392744129,-0.052833160532672375,1.0,anti_tangent_invariant_projection
28.0,25.0,0.607846543167691,0.5836347572516584,0.02989679723911806,0.008327316055619233,-0.07486513705491718,-0.059771055766747155,1.0,anti_tangent_invariant_projection
28.0,26.0,0.6176541945132534,0.5815709765408398,0.04268121600965128,0.007367341584544501,-0.15442334742071218,-0.12328898167381266,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5849287685305822,0.5575325684821345,0.044879274059883435,0.010636776985506738,-0.06733773077775485,-0.053761302254358684,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5867532573732231,0.5611834768447405,0.04653060694619638,0.009126272860137874,-0.0648567683513416,-0.05178054392841623,1.0,anti_tangent_invariant_projection
28.0,25.0,0.5966716954098313,0.5645961658468538,0.04938871522553271,0.00764845270570393,-0.04155366940084418,-0.03317574492983181,1.0,anti_tangent_invariant_projection
28.0,25.0,0.5982994888924836,0.5819933123114674,0.03063333083945493,0.008234337357504085,-0.13228979717525358,-0.1056179305266417,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5904559367999835,0.5792481961934162,0.03988027807375953,0.00882867066897417,-0.15112441667764503,-0.12065517131599737,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5556017986896206,0.5898199331105364,0.021083165966821065,0.007061204680653993,-0.07879185664781803,-0.06290608209543054,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5724077025017074,0.586686833385495,0.026904565937975352,0.0076281962920144,-0.08550845547890641,-0.06826850069357407,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5962701255515024,0.5819149195956295,0.03427094341188556,0.008898434646213765,-0.11354427219409978,-0.09065182129206434,1.0,anti_tangent_invariant_projection
28.0,26.0,0.6006017423838255,0.5669398748405253,0.04115359734977042,0.007813076722336406,-0.09716684582118246,-0.0775763618250848,1.0,anti_tangent_invariant_projection
28.0,27.0,0.6016481815433938,0.5918086597858593,0.03276394722302562,0.0070834504887996655,-0.120989249382248,-0.09659576481772092,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5570492008164348,0.5804517637562453,0.03069205000217019,0.0073456921957528115,-0.10983011515664215,-0.08768650130274154,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5865442097196744,0.5768920242940642,0.025066418029333522,0.008450756559030726,-0.0619140004495326,-0.049431087942800475,1.0,anti_tangent_invariant_projection
28.0,26.0,0.580189680364886,0.5870821961490221,0.027062586650139143,0.008512275436615474,-0.08371651607425497,-0.06683784666288038,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5642253328287578,0.5885519153215668,0.023000911073074257,0.006860706726756161,-0.12546093539158862,-0.10016588309105849,1.0,anti_tangent_invariant_projection
28.0,27.0,0.6015484535799084,0.5794681959225391,0.028217711297325695,0.007359564693660105,-0.09211700596399963,-0.07354465532469588,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5711294582349797,0.5638345310515869,0.042138051975296964,0.008335190977926316,-0.08896168569219622,-0.07102550113160912,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5952952434994886,0.5697977315707556,0.042453514616616346,0.008907146726499986,-0.0799872464607704,-0.06386046104915591,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5756719351026776,0.5831204406509112,0.03256944535670391,0.008539675709817882,-0.10908034473752892,-0.08708789731567877,1.0,anti_tangent_invariant_projection
28.0,25.0,0.5752147807912724,0.6037677393108399,0.017329252390398918,0.00666171070861879,-0.16048233441457968,-0.12812637413373423,1.0,anti_tangent_invariant_projection
28.0,25.0,0.5910634153926322,0.5878429297140527,0.030492615355205165,0.007884982479799168,-0.09865850424326861,-0.07876727661184393,1.0,anti_tangent_invariant_projection
28.0,28.0,0.6163827801144716,0.5684734615670839,0.04138339646290421,0.00938150033392913,-0.06462297551541007,-0.05159388769316378,1.0,anti_tangent_invariant_projection
28.0,26.0,0.6162269384318939,0.5766720490653592,0.040136182967170544,0.008377233026146813,-0.08705047411038563,-0.06949962221744035,1.0,anti_tangent_invariant_projection
28.0,25.0,0.6009467157051797,0.594193346434011,0.019976582521476882,0.008339196034467776,-0.10633002463670782,-0.08489208839059799,1.0,anti_tangent_invariant_projection
28.0,28.0,0.574338646791197,0.5704225086097442,0.038302806272308094,0.008631618537169013,-0.08202698334730052,-0.06548895238691771,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5789144563150277,0.581502544537498,0.02720267474993728,0.006574795016409493,-0.07499923774586272,-0.059878119484148555,1.0,anti_tangent_invariant_projection
28.0,27.0,0.5909793404294631,0.5787130984096008,0.04122845155619083,0.009834315398484974,-0.11112456456020564,-0.08871996775363271,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5985754772177483,0.584765302955825,0.029083233711627438,0.007777928004928247,-0.09334520796287266,-0.07452523097118965,1.0,anti_tangent_invariant_projection
28.0,28.0,0.5607100614866215,0.5841440285570713,0.028450262082812174,0.0076755508970230354,-0.12236339176456205,-0.09769285679131198,1.0,anti_tangent_invariant_projection
