family,target_group,n,best_candidate_id,best_pred_public_median,best_margin_vs_h012,best_support_better_than_h012,best_risk_width,median_pred_public
conflict_amp,S,25,conflict_amp_S_core120_a0.4_rb0_r0_h012,0.569663678294746,0.001540195194745908,0.15,0.020957624715733814,0.5706762118219463
conflict_amp,Q3S,30,conflict_amp_Q3S_core120_a0.4_rb0_r0_h012,0.5697182031575478,0.0015947200575477938,0.15,0.021074193650273187,0.5720528052746421
conflict_amp,all,30,conflict_amp_all_core120_a0.4_rb0_r0_h012,0.5697464611850401,0.0016229780850400832,0.15,0.021220570149605322,0.5719191230369817
conflict_swap,S124,72,conflict_swap_S124_core120_a0.28_rb60_r0.35_h012,0.569809629698343,0.0016861465983429857,0.15,0.02001183469042178,0.5723374986728824
conflict_amp,S12,20,conflict_amp_S12_core240_a0.4_rb0_r0_h012,0.5700204170831173,0.0018969339831172993,0.15,0.01991810822869311,0.5697595607769075
conflict_swap,all,96,conflict_swap_all_core120_a0.28_rb60_r0.35_h012,0.5700885173480251,0.001965034248025077,0.13333333333333333,0.020957337216166105,0.5721896597477161
conflict_swap,Q3S,96,conflict_swap_Q3S_core120_a0.28_rb60_r0.35_h012,0.570342498918235,0.002219015818234915,0.13333333333333333,0.02052844273829113,0.5723568934177314
conflict_amp,S2S4,20,conflict_amp_S2S4_core60_a0.4_rb0_r0_h012,0.5704877435305723,0.0023642604305722514,0.13333333333333333,0.02213310569717497,0.5724532241613731
conflict_amp,S124,10,conflict_amp_S124_core360_a0.4_rb0_r0_h012,0.5716000163868162,0.003476533286816186,0.13333333333333333,0.018604508560108535,0.5716256018876889
agree_cost_rollback,Q3S3,12,agree_cost_rollback_Q3S3_core0_a0_rb60_r0.4_h012,0.5726017434162256,0.004478260316225557,0.08333333333333333,0.025270305877653998,0.5729481998421837
agree_cost_rollback,Q,12,agree_cost_rollback_Q_core0_a0_rb120_r0.2_h012,0.5727822902687489,0.004658807168748891,0.08333333333333333,0.02511435783660554,0.5729443749469942
agree_cost_rollback,all,20,agree_cost_rollback_all_core0_a0_rb60_r0.2_h012,0.5733748246786611,0.0052513415786610285,0.1,0.02863901887971998,0.5737122557974962
agree_cost_rollback,S124,12,agree_cost_rollback_S124_core0_a0_rb60_r1_h012,0.5740867918963055,0.0059633087963054665,0.08333333333333333,0.03416440595677073,0.5743127781078783
core_only_from_e247,S124,4,core_only_from_e247_S124_core520_a1_rb0_r0_e247,0.5742651533143752,0.006141670214375172,0.06666666666666667,0.016327695324623193,0.5743815382315374
core_over_from_e247,Q3S,5,core_over_from_e247_Q3S_core120_a1.15_rb0_r0_e247,0.574282982479756,0.006159499379755906,0.06666666666666667,0.013001463107690014,0.5739955973071443
core_only_from_e247,Q3S,5,core_only_from_e247_Q3S_core120_a1_rb0_r0_e247,0.5743452044054007,0.006221721305400663,0.06666666666666667,0.016142169596413458,0.5739186773078827
core_over_from_e247,all,5,core_over_from_e247_all_core120_a1.15_rb0_r0_e247,0.5743648565264827,0.006241373426482677,0.06666666666666667,0.013750633682240498,0.5739548661347542
core_over_from_e247,S124,4,core_over_from_e247_S124_core520_a1.15_rb0_r0_e247,0.5744072111890273,0.0062837280890272185,0.06666666666666667,0.013274282148416194,0.5744605156204523
core_only_from_e247,all,4,core_only_from_e247_all_core120_a1_rb0_r0_e247,0.574425496373006,0.006302013273005946,0.06666666666666667,0.01740981348825177,0.5745278374157883
