row,target,h012_prob,h042_prob,posterior_prob,posterior_minus_h042,aux_score
0,Q1,0.1952401438424609,0.1952401438424609,0.18543717627172698,-0.009802967570733928,0.5490857142857143
0,Q2,0.5282565708634688,0.5115819275521561,0.48645000565215163,-0.025131921900004517,0.5871714285714286
0,Q3,0.5541805485467693,0.5541805485467693,0.5135619962451818,-0.04061855230158751,0.5517142857142857
0,S1,0.5454902757586634,0.5454902757586634,0.52357043643751,-0.021919839321153378,0.42314285714285715
0,S2,0.4713998480827134,0.4713998480827134,0.45969042168839336,-0.011709426394320044,0.5074285714285715
0,S3,0.8468215168945182,0.8468215168945182,0.8503544989480489,0.0035329820535306977,0.3922285714285714
0,S4,0.5111230093690158,0.5111230093690158,0.5087811200493267,-0.002341889319689039,0.34537142857142855
1,Q1,0.0950246972067914,0.0950246972067914,0.10533625355218437,0.010311556345392978,0.7694000000000001
1,Q2,0.5142003796073951,0.5142003796073951,0.5181754970799629,0.003975117472567846,0.20085714285714285
1,Q3,0.510501737615549,0.510501737615549,0.47218080148986113,-0.03832093612568782,0.5351428571428571
1,S1,0.2239016388290741,0.223901638829074,0.2030504378939282,-0.02085120093514578,0.39694285714285715
1,S2,0.467637104525372,0.467637104525372,0.46148014708162166,-0.006156957443750333,0.24714285714285716
1,S3,0.8477592475098434,0.8477592475098434,0.8432616780888157,-0.004497569421027747,0.4705142857142857
1,S4,0.3729978985430439,0.3729978985430439,0.3640886079729325,-0.008909290570111361,0.49651428571428574
2,Q1,0.1032837510399468,0.1032837510399468,0.09988355709033046,-0.0034001939496163397,0.5154857142857143
2,Q2,0.536621580933206,0.536621580933206,0.5558338665885816,0.019212285655375583,0.25442857142857145
2,Q3,0.5682112561937659,0.5682112561937659,0.5617335946194031,-0.006477661574362803,0.17980000000000002
2,S1,0.2518576456277656,0.2518576456277656,0.24511449038731056,-0.006743155240455018,0.4549142857142857
2,S2,0.4522512987540221,0.4522512987540221,0.4455001466865816,-0.00675115206744048,0.30014285714285716
2,S3,0.8949298069616637,0.8949298069616637,0.9236454381120365,0.02871563115037279,0.9285428571428572
2,S4,0.4013011799248306,0.4013011799248306,0.3577349856861712,-0.04356619423865943,0.6734285714285715
3,Q1,0.6577389160188123,0.6577389160188123,0.6608201989248288,0.0030812829060165026,0.21334285714285714
