subject_id,sleep_date,lifelog_date,anchor_row,nearest_anchor_row,pos_dist_to_anchor,signed_pos_to_anchor,date_dist_to_anchor,signed_date_to_anchor,selected_new_cells
id01,2024-08-01,2024-07-31,False,0,1,1,1,1,6
id01,2024-08-02,2024-08-01,False,3,1,-1,1,-1,6
id01,2024-08-04,2024-08-03,False,3,1,1,1,1,6
id01,2024-08-06,2024-08-05,False,3,2,2,3,3,6
id01,2024-08-07,2024-08-06,False,3,3,3,4,4,6
id01,2024-08-09,2024-08-08,False,10,3,-3,4,-4,6
id01,2024-08-10,2024-08-09,False,10,2,-2,3,-3,6
id01,2024-08-12,2024-08-11,False,10,1,-1,1,-1,6
id01,2024-08-14,2024-08-13,False,10,1,1,1,1,6
id01,2024-08-15,2024-08-14,False,10,2,2,2,2,6
id01,2024-08-17,2024-08-16,False,10,3,3,4,4,6
id02,2024-08-27,2024-08-26,False,27,1,1,1,1,6
id02,2024-08-28,2024-08-27,False,27,2,2,2,2,6
id02,2024-08-29,2024-08-28,False,27,3,3,3,3,6
id02,2024-08-31,2024-08-30,False,35,3,-3,3,-3,6
id02,2024-09-01,2024-08-31,False,35,2,-2,2,-2,6
id02,2024-09-02,2024-09-01,False,35,1,-1,1,-1,6
id02,2024-09-04,2024-09-03,False,35,1,1,1,1,6
id02,2024-09-05,2024-09-04,False,35,2,2,2,2,6
id02,2024-09-06,2024-09-05,False,35,3,3,3,3,6
id02,2024-09-09,2024-09-08,False,44,3,-3,6,6,6
id02,2024-09-10,2024-09-09,False,44,2,-2,7,7,6
id02,2024-09-29,2024-09-28,False,44,1,-1,1,-1,6
id02,2024-10-01,2024-09-30,False,44,1,1,1,1,6
id02,2024-10-03,2024-10-02,False,44,2,2,2,-2,6
id02,2024-10-04,2024-10-03,False,48,1,-1,1,-1,6
id02,2024-10-06,2024-10-05,False,48,1,1,1,1,6
id02,2024-10-08,2024-10-07,False,50,1,1,1,1,6
id02,2024-10-09,2024-10-08,False,50,2,2,2,2,6
id02,2024-10-10,2024-10-09,False,50,3,3,3,3,6
id02,2024-10-12,2024-10-11,False,56,2,-2,2,-2,6
id02,2024-10-13,2024-10-12,False,56,1,-1,1,-1,6
id02,2024-10-15,2024-10-14,False,56,1,1,1,1,6
id02,2024-10-16,2024-10-15,False,56,2,2,2,2,6
id03,2024-08-17,2024-08-16,False,61,2,-2,2,-2,6
id03,2024-08-18,2024-08-17,False,61,1,-1,1,-1,6
id03,2024-08-20,2024-08-19,False,61,1,1,1,1,6
id03,2024-08-21,2024-08-20,False,61,2,2,2,2,6
id03,2024-08-23,2024-08-22,False,61,3,3,4,4,6
id03,2024-08-27,2024-08-26,False,70,3,-3,8,8,6
id03,2024-08-28,2024-08-27,False,70,2,-2,9,9,6
id03,2024-08-29,2024-08-28,False,70,1,-1,10,10,6
id03,2024-09-17,2024-09-16,False,70,1,1,1,1,6
id03,2024-09-18,2024-09-17,False,70,2,2,2,2,6
id03,2024-09-19,2024-09-18,False,70,3,3,3,3,6
id03,2024-09-22,2024-09-21,False,78,3,-3,6,6,6
id03,2024-10-04,2024-10-03,False,78,2,-2,2,-2,6
id03,2024-10-05,2024-10-04,False,78,1,-1,1,-1,6
id03,2024-10-10,2024-10-09,False,78,1,1,4,4,6
id04,2024-09-21,2024-09-20,False,91,3,-3,4,-4,6
id04,2024-09-23,2024-09-22,False,91,2,-2,2,-2,6
id04,2024-09-24,2024-09-23,False,91,1,-1,1,-1,6
id04,2024-09-26,2024-09-25,False,91,1,1,1,1,6
id04,2024-10-15,2024-10-14,False,93,1,1,3,-3,6
id04,2024-10-16,2024-10-15,False,93,2,2,2,-2,6
id04,2024-10-17,2024-10-16,False,97,1,-1,1,-1,6
id04,2024-10-20,2024-10-19,False,98,1,1,1,1,6
id04,2024-10-22,2024-10-21,False,101,1,-1,2,-2,6
id04,2024-10-25,2024-10-24,False,101,1,1,1,1,6
