config_id,group,scope,k,date_decay,alpha,subject_boost,n_cols,marginal_bce,delta_marginal_bce_vs_global,vector_nll,delta_vector_nll_vs_global,vector_top1_acc,mean_entropy,mean_top_prob,mean_train_neighbor_ess,mean_test_neighbor_ess,mean_test_same_subject_share,config_score
subject_all_k10,all,subject,10,0.0,0.75,1.0,300,0.6175848750621983,-0.04702957026165144,4.2714323453068435,0.13075580557597544,0.11333333333333333,3.491555440291805,0.14381560088072887,9.759208725695908,9.798676024149056,1.0,-0.03952422192709292
hybrid_social_sleep_k36_boost4,social_sleep,hybrid,36,45.0,0.5,4.0,200,0.6200372046578037,-0.04457724066604607,4.275629430914537,0.13495289118366927,0.1111111111111111,3.6168447257544014,0.12734406555391267,19.815053393672876,21.668532023449128,0.43177777777777776,-0.03681340052835925
hybrid_state_k36_boost4,state,hybrid,36,45.0,0.5,4.0,254,0.6200148483704837,-0.044599596953366016,4.278425353718472,0.13774881398760375,0.1,3.608573981654119,0.12896933374375863,19.786947121601212,21.38452902343835,0.459,-0.03663466811410979
subject_state_k10,state,subject,10,0.0,0.75,1.0,254,0.6210333009792017,-0.04358114434464799,4.291739192067826,0.15106265233695826,0.1111111111111111,3.4950599270703466,0.14165888505858865,9.709912709631913,9.753076018996996,1.0,-0.03485071853776383
subject_past_state_k10_d28,state,subject_past,10,28.0,0.75,1.0,254,0.6256139164574991,-0.03900052886635064,4.334413055734049,0.19373651600318098,0.1,3.3904089584269617,0.187690773231602,7.416290226137102,7.726494580952239,1.0,-0.02767633790615978
global_all_k32,all,global,32,0.0,0.5,1.0,300,0.6365175914960155,-0.028096853827834223,4.2878318576888885,0.1471553179580205,0.09333333333333334,3.7671085307553294,0.09122537679330306,31.25688809708502,31.355070070046008,0.4925,-0.01954753475035299
quality_global_k32,quality,global,32,0.0,0.5,1.0,30,0.6372987758400606,-0.027315669483789162,4.378563160799821,0.2378866210689532,0.08888888888888889,3.692103728823549,0.11196834632952404,29.017652729270118,29.316108915815413,0.50175,-0.013309138886318638
global_social_sleep_k32,social_sleep,global,32,0.0,0.5,1.0,200,0.6414280884738909,-0.023186356849958845,4.321987703400228,0.18131116366935984,0.08888888888888889,3.7664004403812794,0.0916697013074159,31.329740720454343,31.41992772673876,0.453125,-0.012574353696463921
global_state_k32,state,global,32,0.0,0.5,1.0,254,0.6412002053431775,-0.02341423998067227,4.345021537764166,0.20434499803329764,0.10444444444444445,3.7637344759162676,0.09302877744616236,31.094972482333436,31.192807134140274,0.48475,-0.011466873432007745
calendar_body_global_k32,calendar_body,global,32,0.0,0.5,1.0,134,0.6526723542447225,-0.011942091079127248,4.463192746761184,0.3225162070303158,0.08666666666666667,3.7388493722993887,0.09619311301891628,30.936099288843124,31.14124754681235,0.286875,0.007148881342691701
