row,subject_id,sleep_date,lifelog_date,target_index,target,flat_idx,h057_prob,source_prob,source_move,listener_coef,listener_rank,benefit,toxicity,h088_same_direction,h088_toxic_rank,branch_penalty_rank,score,passes_listeneraware_gate,amp,new_prob
148,id06,2024-08-22,2024-08-21,1,Q2,1037,0.8053003646868163,0.9628488305379768,1.8351438793570005,-8.94122254170451e-06,0.9822857142857143,1.6408429821377877e-05,-1.6408429821377877e-05,False,0.312,0.5,1.6283142857142858,True,0.82,0.9490479956289815
98,id04,2024-10-19,2024-10-18,1,Q2,687,0.4631417001415242,0.3607041885369451,-0.4246079449397575,5.381931736645426e-06,0.9771428571428571,2.285210974503075e-06,-2.285210974503075e-06,False,0.312,0.5,1.6192857142857142,True,0.82,0.3785094547815005
148,id06,2024-08-22,2024-08-21,6,S4,1042,0.9974938621405658,0.9983096980148298,0.39465321560672706,-5.268736721883815e-06,0.9754285714285714,2.0793238894766935e-06,-2.0793238894766935e-06,False,0.312,0.5,1.6173714285714287,True,0.82,0.9981854811316141
150,id06,2024-08-24,2024-08-23,1,Q2,1051,0.7826729064812187,0.8890395806448228,0.7996568991362802,-4.7217110188073156e-06,0.9697142857142858,3.7757487919170645e-06,-3.7757487919170645e-06,False,0.312,0.5,1.6166571428571432,True,0.82,0.8740254905407152
135,id06,2024-07-14,2024-07-13,1,Q2,946,0.6690357346201358,0.7312819337548939,0.29730925486899207,-4.955775321564833e-06,0.9737142857142858,1.47339786815258e-06,-1.47339786815258e-06,False,0.312,0.5,1.6126000000000003,True,0.82,0.7206364204072425
151,id06,2024-08-25,2024-08-24,1,Q2,1058,0.7887665583504021,0.8939212069770993,0.8139289611855123,-4.395714705088666e-06,0.964,3.5777995035806985e-06,-3.5777995035806985e-06,False,0.312,0.5,1.6122285714285716,True,0.82,0.8792055393404241
44,id02,2024-09-30,2024-09-29,1,Q2,309,0.6205899898125083,0.5511438385163918,-0.28675983896991464,5.089939548164884e-06,0.9742857142857143,1.4595902451983622e-06,-1.4595902451983622e-06,False,0.312,0.5,1.6112857142857144,True,0.82,0.5638765779307208
226,id09,2024-09-21,2024-09-20,1,Q2,1583,0.6608545272191213,0.7365803456068865,0.3611653192983073,-4.5892261660034985e-06,0.9668571428571429,1.6574693335768003e-06,-1.6574693335768003e-06,False,0.312,0.5,1.6103714285714286,True,0.82,0.7237740682334539
168,id07,2024-08-16,2024-08-15,1,Q2,1177,0.427742815510214,0.3492402460578029,-0.3313140661039497,4.2388616636672194e-06,0.9617142857142857,1.4043944934417394e-06,-1.4043944934417394e-06,False,0.312,0.5,1.6043428571428573,True,0.82,0.36291280502232315
174,id07,2024-08-25,2024-08-24,1,Q2,1219,0.4594026148283482,0.5255483621039734,0.26503034097212275,-4.599982028980506e-06,0.968,1.2191348056063405e-06,-1.2191348056063405e-06,False,0.312,0.5,1.6038857142857146,True,0.82,0.5136408803953818
