heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,20,-1.4912255154962717,-0.07456127577481358,0.45,"Q1,Q2,Q3,S1,S2,S3,S4"
id02,21,-2.3565001440616635,-0.11221429257436492,0.3333333333333333,"Q1,Q2,Q3,S1,S2,S3,S4"
id03,18,-0.2961075683234981,-0.01645042046241656,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
id04,23,-1.6486626276780223,-0.07168098381208793,0.391304347826087,"Q1,Q2,Q3,S1,S2,S4"
id05,20,0.04161743319277955,0.0020808716596389778,0.4,"Q1,Q2,Q3,S1,S2,S3,S4"
id06,26,-0.7738451948206302,-0.029763276723870392,0.34615384615384615,"Q1,Q2,Q3,S1,S2,S3,S4"
id07,23,-1.3893431406477483,-0.06040622350642384,0.34782608695652173,"Q1,Q2,Q3,S1,S2,S3,S4"
id08,12,-0.5057226722954764,-0.04214355602462303,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
id09,12,-0.22846311226898408,-0.019038592689082007,0.3333333333333333,"Q1,Q2,Q3,S1,S2,S3,S4"
id10,12,-0.1756966252405871,-0.014641385436715592,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
