subject_id,sleep_date,lifelog_date,row,h047_support_posterior,h047_public_score,h047_private_score,h052_h042_support,h052_selected_exact45,h052_q2_direction,h052_abs_logit_delta,h052_confidence_score
id01,2024-07-31,2024-07-30,0,0.98248,0.7048599999999999,0.26308,True,True,-1.0,0.06681084108587332,0.6371147740614537
id01,2024-08-03,2024-08-02,3,0.63268,0.5048,0.4844799999999999,True,True,1.0,0.04384380662654874,0.34536186367400873
id01,2024-08-13,2024-08-12,10,0.8392000000000001,0.75308,0.25632,True,True,-1.0,0.12246576512872573,0.752857495706918
id02,2024-08-26,2024-08-25,27,0.6296799999999999,0.39976,0.5938399999999999,True,True,-1.0,0.0895069381872805,0.472178410781036
id02,2024-09-03,2024-09-02,35,0.64084,0.68434,0.46484,True,True,-1.0,0.03414825131145349,0.322058383598291
id02,2024-09-30,2024-09-29,44,0.8312799999999998,0.7919,0.285,True,True,-1.0,0.12742455755076165,0.7641679570990585
id02,2024-10-05,2024-10-04,48,0.8202399999999999,0.8258399999999999,0.2919999999999999,True,True,1.0,0.06917879767551516,0.5405831688972688
id02,2024-10-07,2024-10-06,50,0.5839599999999999,0.41668,0.37352,True,True,-1.0,0.07697620421271845,0.4052037872213463
id02,2024-10-14,2024-10-13,56,0.95092,0.5266400000000001,0.50352,True,True,-1.0,0.06938336726697514,0.6275775154456575
id03,2024-08-19,2024-08-18,61,0.5939200000000001,0.5164999999999998,0.57364,True,True,1.0,0.03099946995012015,0.2901236850661532
id03,2024-09-16,2024-09-15,70,0.97168,0.8623599999999998,0.1264,True,True,-1.0,0.05332509680755915,0.5715701471428288
id03,2024-10-06,2024-10-05,78,0.63424,0.40914,0.5652400000000001,True,True,1.0,0.04976582851032396,0.3629932013659925
id04,2024-09-25,2024-09-24,91,0.48796,0.4149,0.47484,True,True,-1.0,0.12366697994073907,0.4403740041023143
id04,2024-09-27,2024-09-26,93,0.58492,0.43622,0.6471600000000001,True,True,1.0,0.054001617924475054,0.3458346113779359
id04,2024-10-18,2024-10-17,97,0.6056799999999999,0.61648,0.31192,True,True,1.0,0.011522414236711284,0.24316607541416407
id04,2024-10-19,2024-10-18,98,0.5002,0.3210999999999999,0.6039599999999999,True,True,-1.0,0.13473446272219336,0.4761521218366459
id04,2024-10-24,2024-10-23,101,0.62128,0.4691,0.28756,True,True,-1.0,0.08077810996955773,0.4416521496212671
id04,2024-10-26,2024-10-25,103,0.62836,0.5931,0.34596,True,True,-1.0,0.04750989799221352,0.3532950982300904
id05,2024-10-02,2024-10-01,110,0.6585999999999999,0.38978,0.49076,True,True,-1.0,0.11432196236322967,0.5668774654009938
id05,2024-11-13,2024-11-12,121,0.61624,0.4160599999999999,0.62644,True,True,-1.0,0.08386137325176463,0.4465576879665601
id06,2024-07-14,2024-07-13,135,0.50968,0.8262999999999999,0.2418,True,True,1.0,0.12406581093857028,0.46088399583432876
id06,2024-07-16,2024-07-15,136,0.9547599999999998,0.34958,0.4979599999999999,True,True,1.0,0.0823976380885584,0.685622487599946
id06,2024-07-19,2024-07-18,139,0.66112,0.6654599999999999,0.447,True,True,1.0,0.0604704767351989,0.409993981860438
id06,2024-08-13,2024-08-12,143,0.5921199999999999,0.8994999999999997,0.14956,True,True,1.0,0.06817565800523306,0.38758598191793625
id06,2024-08-14,2024-08-13,144,0.6382,0.93602,0.0574,True,True,1.0,0.07136584823198622,0.4268444192662708
id06,2024-08-20,2024-08-19,146,0.96448,0.7930999999999999,0.30492,True,True,-1.0,0.043975827269473466,0.5270508159031951
id06,2024-08-22,2024-08-21,148,0.8358399999999999,0.8228200000000001,0.19932,True,True,1.0,0.22383985419833818,1.128384
id06,2024-08-23,2024-08-22,149,0.64444,0.6634,0.4663199999999999,True,True,1.0,0.054349220526898945,0.38202663442782736
id06,2024-08-24,2024-08-23,150,0.8255199999999999,0.8123,0.2946,True,True,1.0,0.11820610672497955,0.7248753916407973
id06,2024-08-25,2024-08-24,151,0.5008,0.7736799999999999,0.40072,True,True,1.0,0.11004492216754125,0.4214850255477418
id07,2024-07-14,2024-07-13,152,0.82756,0.6321799999999999,0.2241199999999999,True,True,1.0,0.10302639991880057,0.6705456741092212
id07,2024-07-20,2024-07-19,158,0.5307999999999999,0.4111800000000001,0.61636,True,True,-1.0,0.09959068988238451,0.42194320864259277
id07,2024-07-25,2024-07-24,163,0.6586,0.82786,0.09764,True,True,-1.0,0.06889888870498284,0.4332299680933252
id07,2024-07-26,2024-07-25,164,0.98824,0.65716,0.3831199999999999,True,True,-1.0,0.08239370737649188,0.7096474489593445
id07,2024-08-15,2024-08-14,167,0.64132,0.7457399999999998,0.17324,True,True,1.0,0.014140330331981144,0.2649752351474408
id07,2024-08-16,2024-08-15,168,0.98008,0.5757399999999999,0.39964,True,True,-1.0,0.10611817034377449,0.807665080662013
id07,2024-08-25,2024-08-24,174,0.37492,0.20286,0.62212,True,True,1.0,0.11515867118610865,0.32410672625093584
id08,2024-09-09,2024-09-08,194,0.59296,0.35446,0.46524,True,True,-1.0,0.07550756173371365,0.40755830597394327
id08,2024-09-11,2024-09-10,196,0.58948,0.3626000000000001,0.49104,True,True,1.0,0.06008398542047477,0.3645485700319046
id09,2024-08-08,2024-08-07,203,0.60232,0.35068,0.6424,True,True,-1.0,0.11426711862777933,0.5182879458648495
id09,2024-09-07,2024-09-06,216,0.8180799999999998,0.52708,0.4147999999999999,True,True,-1.0,0.07277243098866204,0.5522934624794988
id09,2024-09-20,2024-09-19,225,0.4114,0.33144,0.45168,True,True,1.0,0.11849511818811292,0.36177468270174373
id09,2024-09-21,2024-09-20,226,0.8370399999999999,0.72602,0.27524,True,True,1.0,0.11488940254982083,0.7225882322651404
id10,2024-08-18,2024-08-17,235,0.57016,0.3801800000000001,0.35996,True,True,1.0,0.04611960009675109,0.31703084059681286
id10,2024-09-19,2024-09-18,242,0.6194799999999999,0.4093800000000001,0.66204,True,True,1.0,0.08826598245274919,0.46109536966527653
