heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,23,-0.20343476426475904,-0.008844989750641697,0.4782608695652174,"Q1,Q2,Q3,S1,S2,S3,S4"
id02,26,-1.8295108849173047,-0.07036580326605019,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
id03,15,0.1003519830116667,0.00669013220077778,0.6,"Q1,Q2,Q3,S1,S2,S3,S4"
id04,36,-0.26914129694135347,-0.007476147137259819,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
id05,18,-0.4406677996346062,-0.02448154442414479,0.4444444444444444,"Q1,Q2,Q3,S1,S2,S3,S4"
id06,26,-0.8074067445382057,-0.031054105559161757,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
id07,24,-0.46601126149605177,-0.019417135895668822,0.5833333333333334,"Q1,Q2,Q3,S1,S2,S3,S4"
id08,31,-0.0694437371254848,-0.0022401205524349935,0.5161290322580645,"Q1,Q2,Q3,S1,S2,S3,S4"
id09,16,0.6855095331751884,0.04284434582344927,0.75,"Q1,Q2,Q3,S1,S2,S3,S4"
id10,14,0.06886020743024995,0.004918586245017854,0.5,"Q1,Q2,Q3,S1,S2,S3,S4"
