cluster_id,subject_id,start_row,end_row,seed_count,selected_candidate_rows,episode_score,pre_rows,bridge_rows,post_rows,h064_overlap_rows,h065_overlap_rows
id06_135_151,id06,135,151,10,11,1.127498181818182,5,6,0,8,7
id07_163_168,id07,163,168,4,2,1.1175800000000002,2,0,0,2,2
id04_91_103,id04,91,103,6,6,1.0292466666666664,3,2,1,4,1
id03_61_61,id03,61,61,1,2,1.00728,0,0,2,2,1
id03_70_70,id03,70,70,1,6,0.9861733333333335,2,0,4,4,3
id07_158_158,id07,158,158,1,4,0.9719699999999999,2,0,2,3,3
id10_242_242,id10,242,242,1,7,0.9280457142857144,2,0,5,4,2
id02_44_50,id02,44,50,3,6,0.9095333333333332,2,0,4,2,2
id07_152_152,id07,152,152,1,3,0.9038266666666666,0,0,3,2,2
id09_216_216,id09,216,216,1,7,0.9027771428571427,2,0,5,3,2
id03_78_78,id03,78,78,1,4,0.89562,4,0,0,2,2
id09_225_226,id09,225,226,2,5,0.8951679999999999,5,0,0,2,1
id08_194_196,id08,194,196,2,4,0.8917299999999998,2,1,1,2,1
id02_56_56,id02,56,56,1,4,0.8796399999999999,3,0,1,2,2
id09_203_203,id09,203,203,1,3,0.8478666666666668,0,0,3,1,1
id10_235_235,id10,235,235,1,4,0.83458,2,0,2,2,1
id05_121_121,id05,121,121,1,3,0.8339866666666667,1,0,2,1,1
id01_0_3,id01,0,3,2,4,0.8228099999999999,0,1,3,1,1
