row,subject_id,sleep_date,lifelog_date,is_h057_seed,is_h050_null,h062_changed_row,h063_changed_row,nearest_seed_order_distance,episode_near,row_gain_to_q061_nonq2,min_target_gain,positive_targets,Q1_gain,Q3_gain,S1_gain,S2_gain,S3_gain,S4_gain,gain_rank,min_gain_rank,positive_rank,episode_rank,h013_raw_human_seed_dist,h013_raw_human_null_dist,h013_raw_human_seed_score,h013_raw_human_null_score,h013_raw_human_contrast_rank,h013_raw_human_graph_raw,h013_raw_human_graph_rank,e262_social_day_seed_dist,e262_social_day_null_dist,e262_social_day_seed_score,e262_social_day_null_score,e262_social_day_contrast_rank,e262_social_day_graph_raw,e262_social_day_graph_rank,e268_story_seed_dist,e268_story_null_dist,e268_story_seed_score,e268_story_null_score,e268_story_contrast_rank,e268_story_graph_raw,e268_story_graph_rank,e328_ownlife_seed_dist,e328_ownlife_null_dist,e328_ownlife_seed_score,e328_ownlife_null_score,e328_ownlife_contrast_rank,e328_ownlife_graph_raw,e328_ownlife_graph_rank,deep_raw_top500_seed_dist,deep_raw_top500_null_dist,deep_raw_top500_seed_score,deep_raw_top500_null_score,deep_raw_top500_contrast_rank,deep_raw_top500_graph_raw,deep_raw_top500_graph_rank,graph_consensus,contrast_consensus,seed_context,null_context,null_avoidance,h064_row_score,nearest_seed_row,signed_seed_offset,abs_seed_distance,phase,phase_near,h064_changed_row,phase_route_gain,phase_route_rank,h064_rank,graph_rank,contrast_rank,gain_rank2,h065_row_score,positive_route_targets,h064_changed_row_validation,h065_changed_row,h065_rank_norm,h064_rank_norm,route_gain_rank_norm,gain_rank_norm,context_agreement,h066_emission,row_top4_gain_sum,row_top4_gain_rank,sequence_state,segment_distance,cluster_id,cluster_start_row,cluster_end_row,cluster_seed_count,episode_row_score
2,id01,2024-08-02,2024-08-01,0,0,0,1,1.0,1.0,0.0092226576415512,5.318279986127328e-05,6,5.318279986127328e-05,8.69577392894616e-05,0.0001227486531213,0.0001075670855377,0.0048590636056385,0.0039931377581028,0.776,0.72,0.502,0.638,0.4784433794895502,0.5594826480240769,0.98,0.94,0.63,-0.1423855277825915,0.52,0.4385431249366502,0.4959389934621233,1.0,0.988,0.566,-0.1769970259379844,0.5,0.7533568493399858,0.7810057823298807,0.952,0.876,0.544,-0.2341174182527985,0.512,0.3886652479490052,0.3641113949855121,0.976,0.956,0.544,-0.2278419619972702,0.456,0.6656303468873678,0.6826003006503852,0.888,0.84,0.616,-0.1934096983346596,0.444,0.4876084898630623,0.5784963431758937,0.9596702778709258,0.9198553340763124,0.0801446659236876,0.5826917424576152,3,-1,1,pre,1.0,1,0.0075388007177769,0.828,0.872,0.452,0.688,0.776,0.8990400000000001,6,1,1,0.904,0.872,0.828,0.776,0.6666666666666666,0.83232,0.0090825171024003,0.804,bridge,0,id01_0_3,0,3,2,0.9723199999999999
5,id01,2024-08-06,2024-08-05,0,0,0,1,2.0,1.0,0.006290205161372,1.0604119582424689e-08,6,0.0040553539652491,0.000406320301139,1.6028685712043966e-08,1.0604119582424689e-08,0.0013454180836122,0.0004830861785662,0.596,0.044,0.502,0.638,0.3858842796304906,0.4949200729959512,1.0,0.968,0.59,-0.1399933018768542,0.528,0.514857770478698,0.5271729754282078,0.964,0.984,0.426,-0.1796007914504896,0.492,0.7817507482201602,0.7738178099403598,0.928,0.88,0.52,-0.263789004521423,0.456,0.4928443108320593,0.3884914534692971,0.904,0.944,0.436,-0.2974742578103135,0.372,0.5752815456485257,0.5860666509797545,0.964,0.932,0.56,-0.1745925327515844,0.476,0.46585323206259,0.5047002399750811,0.9517461049271972,0.9405956899560632,0.0594043100439367,0.4666900224132949,3,2,2,post,1.0,0,0.0048559719771179,0.596,0.592,0.42,0.512,0.596,0.64672,6,0,0,0.792,0.592,0.596,0.596,0.3333333333333333,0.6132399999999999,0.0062901785285665,0.62,post,2,id01_0_3,0,3,2,0.6032399999999999
6,id01,2024-08-07,2024-08-06,0,0,0,1,3.0,1.0,0.0061712909426898,4.654829577233066e-05,6,0.0003894112027557,6.496777761422212e-05,4.654829577233066e-05,0.0043286808494996,0.0005788305647523,0.0007628522522955,0.564,0.716,0.502,0.638,0.4901863070719574,0.5586854324038664,0.976,0.944,0.59,-0.1060175795856682,0.564,0.4748153118508824,0.5397198391008613,0.984,0.968,0.58,-0.1458281530050773,0.548,1.101412517429834,0.8688983730721336,0.296,0.764,0.088,-0.2236119032219466,0.528,0.4105253497460626,0.3246646999532529,0.96,0.984,0.46,-0.3182635379976901,0.332,0.5778408470604036,0.7097389760460538,0.96,0.776,0.848,-0.1300527704070139,0.54,0.5060236212429179,0.502056524984144,0.819887317668739,0.8838463151740434,0.1161536848259565,0.5328795218693871,3,3,3,post,1.0,0,0.0055355471308728,0.664,0.8,0.496,0.504,0.564,0.7139200000000001,6,0,0,0.832,0.8,0.664,0.564,0.3333333333333333,0.64956,0.0060597748693030995,0.592,post,3,id01_0_3,0,3,2,0.63456
8,id01,2024-08-10,2024-08-09,0,0,0,1,2.0,1.0,0.002909885154548,4.760231503420087e-07,6,4.760231503420087e-07,2.7951992258468117e-05,0.0010207974685764,1.806359127098922e-05,0.001825526680081,1.706939921075623e-05,0.324,0.164,0.502,0.638,0.5171996295535494,0.6170071705234069,0.968,0.884,0.704,-0.1063080675365911,0.556,0.5483617690951659,0.6136085305067388,0.952,0.928,0.588,-0.1410534409536165,0.56,0.8487243812838282,1.0106116527337805,0.868,0.452,0.924,-0.2593817069450023,0.472,0.5812601046756344,0.33894310653518,0.796,0.976,0.28,-0.3272302395446683,0.32,0.6933081974476555,0.7898334206032225,0.856,0.676,0.838,-0.1660539397251186,0.492,0.4832654358678609,0.6771065154605095,0.8895408017475855,0.7736000408681669,0.226399959131833,0.4716830641616703,10,-2,2,pre,1.0,0,0.0019527610759329,0.304,0.604,0.448,0.856,0.324,0.6376,6,0,0,0.768,0.604,0.304,0.324,0.3333333333333333,0.5461199999999999,0.0028923397321868574,0.328,post,5,id01_0_3,0,3,2,0.5211199999999999
38,id02,2024-09-06,2024-09-05,0,0,1,0,3.0,1.0,0.0115307712613336,3.785912978271355e-05,6,3.785912978271355e-05,0.0001171553684179,0.0004221967623223,0.0033764274146575,0.007255246807769,0.0003218857783841,0.888,0.688,0.502,0.638,1.0557640096221237,0.9080442698695774,0.228,0.576,0.084,-0.3078013008384934,0.388,1.049341401038728,1.025030277757862,0.276,0.372,0.32,-0.1705241795010705,0.516,1.170586992168769,1.0950518800766524,0.14,0.192,0.382,-0.3607515562270041,0.344,0.7391450902288855,0.6320026534195022,0.496,0.644,0.3,-0.1857410240110639,0.5,0.983487506122486,1.1437510936369395,0.44,0.1,0.96,0.0512744045461309,0.716,0.4898704245268502,0.4105958666386394,0.308106188217801,0.3656083172697041,0.6343916827302958,0.5637122180185559,35,3,3,post,1.0,0,0.009722604877442,0.888,0.836,0.46,0.32,0.888,0.7396799999999999,6,0,0,0.844,0.836,0.888,0.888,0.3333333333333333,0.7321999999999999,0.011375756763132901,0.9,pre,6,id02_44_50,44,50,3,0.7021999999999998
40,id02,2024-09-08,2024-09-07,0,0,0,1,4.0,0.0,0.0069955732592615,2.533334038667956e-05,6,0.000362849083806,0.0026055262788147,0.0021799324609271,0.0008652612742121,0.0009566708211147,2.533334038667956e-05,0.64,0.636,0.502,0.138,1.0219227877363497,0.7760504281916666,0.324,0.768,0.048,-0.1433587380037858,0.512,1.2443103318462794,1.206928635011049,0.012,0.024,0.444,0.0881359156739214,0.72,0.8467317220500209,0.9218182274075588,0.872,0.664,0.758,-0.1206897394040113,0.632,0.8019547526293034,0.5170800031450433,0.392,0.844,0.096,-0.2574467534215791,0.42,0.9199372297188216,0.6607017778248094,0.524,0.86,0.04,-0.1251707072290274,0.548,0.5750281851054037,0.3009722502865668,0.428519925210902,0.6122591373482675,0.3877408626517324,0.4808223505946658,44,-4,4,pre,0.0,0,0.0053662005328891,0.64,0.628,0.58,0.144,0.64,0.5602400000000001,6,0,0,0.704,0.628,0.64,0.64,0.3333333333333333,0.49644,0.0066073908350686,0.628,pre,4,id02_44_50,44,50,3,0.47644
53,id02,2024-10-10,2024-10-09,0,0,0,1,3.0,1.0,0.0080096824687164,2.485905113312326e-05,6,0.0008114930157543,0.001869301993046,0.0002318223224899,2.485905113312326e-05,0.0018726576192111,0.0031995484670818,0.7,0.62,0.502,0.638,0.8771456800154219,0.9288521801629634,0.672,0.516,0.8,-0.0945915442004798,0.576,1.0391220158895504,1.1032805089150877,0.312,0.128,0.778,0.2318887995072086,0.764,1.0206622185849512,1.089697933904634,0.484,0.2,0.816,0.353566635580894,0.82,0.7352754473395187,0.7314044319285153,0.516,0.412,0.672,-0.110174966566204,0.612,0.5925793379311951,0.5966565248878426,0.952,0.912,0.576,0.0784325421177156,0.732,0.7085371459237981,0.7324314961085636,0.576637529386913,0.417631985290401,0.582368014709599,0.6601560729210234,50,3,3,post,1.0,1,0.0063524477077664,0.724,0.94,0.764,0.888,0.7,0.98232,6,1,1,0.944,0.94,0.724,0.7,0.6666666666666666,0.8236399999999998,0.0077530010950932,0.7,post,3,id02_44_50,44,50,3,0.9486399999999998
54,id02,2024-10-12,2024-10-11,0,0,1,1,2.0,1.0,0.0161016958032481,2.033795945660975e-05,6,6.140727864795137e-05,0.0009157660535688,2.033795945660975e-05,0.0098742249193968,0.0009006677908586,0.0043292918013192,0.956,0.588,0.502,0.638,1.0269792963948887,1.047448515121474,0.304,0.18,0.766,-0.0989042125434576,0.568,1.0669327035519387,1.101018468138495,0.236,0.144,0.716,-0.1058864461254873,0.58,1.003936188632495,0.8413339581677816,0.564,0.816,0.216,-0.3632271035386962,0.336,0.8594562902062833,0.6716994487287867,0.24,0.572,0.126,-0.3149769702852591,0.344,0.7335986010869201,0.6424918186119115,0.832,0.88,0.36,-0.3915964086653394,0.3,0.4267422232745725,0.4384915758549584,0.4375103064850206,0.5198732675326005,0.4801267324673994,0.6141508136704628,56,-2,2,pre,1.0,1,0.0144411473501727,0.972,0.9,0.368,0.38,0.956,0.96056,6,1,1,0.928,0.9,0.972,0.956,1.0,0.8838799999999999,0.0160199505651434,0.956,post,4,id02_44_50,44,50,3,1.0038799999999999
55,id02,2024-10-13,2024-10-12,0,0,0,1,1.0,1.0,0.0061372747655001,1.976691779077213e-05,6,0.0010142193841446,0.0008932519013147,1.976691779077213e-05,0.0001396420269361,0.0021045639482246,0.0019658305870892,0.556,0.584,0.502,0.638,1.0861849957766878,1.067811153009098,0.16,0.136,0.56,-0.1993819451283166,0.456,1.08223542859823,1.0914745867657367,0.196,0.164,0.606,-0.2513331958377383,0.412,0.9209013544663706,0.7871206589169443,0.752,0.864,0.324,-0.2919274234732176,0.416,0.6655143203856227,0.6748610833027919,0.648,0.56,0.624,-0.0950843227646738,0.636,0.8323323671908069,0.749110251531832,0.656,0.728,0.328,0.0075496701826711,0.676,0.5122538048554384,0.484149992603424,0.4838117124557847,0.4954399542409011,0.5045600457590989,0.5174891398293848,56,-1,1,pre,1.0,0,0.0046773506146883,0.584,0.76,0.512,0.452,0.556,0.6855199999999999,6,0,0,0.808,0.76,0.584,0.556,0.3333333333333333,0.6605599999999999,0.0059778658207731,0.58,post,5,id02_44_50,44,50,3,0.6355599999999999
57,id02,2024-10-15,2024-10-14,0,0,0,1,1.0,1.0,0.0039770615333184,7.430929822105359e-05,6,0.0009771500302732,0.001452718554489,0.000572142501777,7.430929822105359e-05,0.0004111044651626,0.0004896366833954,0.396,0.78,0.502,0.638,0.7265856807830292,0.6040350993373095,0.876,0.892,0.434,-0.5013358688554104,0.292,1.0939801212205085,1.0384533251635644,0.188,0.308,0.29,-0.1917158256957063,0.48,1.010592609527346,0.9709993983438812,0.528,0.548,0.428,-0.2327989231323904,0.516,0.9913149903346729,0.6253991822414542,0.048,0.656,0.036,-0.3562519475827475,0.308,0.6600870130557102,0.4823724492373272,0.9,0.996,0.28,-0.3497114840023209,0.316,0.3909835547586736,0.2995290188006885,0.5021862660531045,0.664041339437818,0.335958660562182,0.4293314505637535,56,1,1,post,1.0,0,0.002622788454288,0.372,0.48,0.32,0.14,0.396,0.47552,6,0,0,0.62,0.48,0.372,0.396,0.3333333333333333,0.46548,0.0034916477699346,0.372,post,7,id02_44_50,44,50,3,0.43048
62,id03,2024-08-20,2024-08-19,0,0,1,0,1.0,1.0,0.0105296835002546,8.909267876067162e-05,6,0.0035444630479039,8.909267876067162e-05,0.0001182893043207,0.0018962618677945,0.0022147372999286,0.002666839301546,0.844,0.816,0.502,0.638,1.1676519655618414,1.0841467803503582,0.044,0.108,0.332,-0.3751728694019362,0.352,1.1648088766688818,1.1927277293461995,0.064,0.032,0.606,0.0258650870073174,0.7,0.9910546829736422,1.0214794919095127,0.6,0.372,0.784,-0.3588231677435261,0.348,0.772282761379899,0.7071075321610627,0.448,0.46,0.48,-0.2563615366171124,0.428,1.1713895695261551,1.177797501269774,0.096,0.044,0.632,-0.1357635828289736,0.536,0.4770037974359037,0.577922619877056,0.2553977702133277,0.20125343751919,0.79874656248081,0.6002641156037234,61,1,1,post,1.0,1,0.0090262361047744,0.876,0.892,0.432,0.684,0.844,0.8957599999999999,6,1,1,0.896,0.892,0.876,0.844,0.6666666666666666,0.8516799999999999,0.010322301517173,0.872,post,1,id03_61_61,61,61,1,0.9866799999999999
66,id03,2024-08-25,2024-08-24,0,0,1,1,4.0,0.0,0.0141026997428789,8.347441313394377e-05,6,0.0056976127330777,8.347441313394377e-05,0.0023829433235995,0.0043544738546251,0.0001099421487116,0.0014742532697309,0.932,0.8,0.502,0.138,0.8693690411815458,0.8303033524922777,0.688,0.684,0.504,-0.0211056971843639,0.632,1.0059661948124778,1.097565630603117,0.424,0.156,0.856,-0.026211586579097,0.664,0.9620187481918806,1.0153016713186391,0.68,0.416,0.8,-0.0307985106194169,0.7,0.8509747311074936,0.702439436560159,0.272,0.484,0.236,-0.2017157681509001,0.48,0.974993733619992,0.9483001265077884,0.448,0.408,0.582,-0.0631560676447254,0.616,0.623783622943,0.6144955895516913,0.5067931872285998,0.4184775629182927,0.5815224370817074,0.6917441165842722,70,-4,4,pre,0.0,1,0.0082546659530041,0.852,0.96,0.684,0.752,0.932,1.00864,6,1,0,0.952,0.96,0.852,0.932,1.0,0.8328800000000001,0.0139092831810332,0.936,post,5,id03_61_61,61,61,1,0.88788
71,id03,2024-09-17,2024-09-16,0,0,1,1,1.0,1.0,0.0104790635184093,9.007395077736956e-05,6,9.007395077736956e-05,0.0004122422966753,0.0023605947245901,0.000118934853197,0.003173529225227,0.0043236884679423,0.84,0.824,0.502,0.638,1.0317318723521651,0.9724633308555228,0.296,0.388,0.284,-0.116236389697443,0.544,1.040537450860206,1.0583614250222435,0.304,0.236,0.686,-0.0420084739988673,0.64,1.0224721279926712,1.0966215697507302,0.472,0.188,0.816,-0.0209502527691235,0.704,0.581663379742838,0.6921264407806478,0.792,0.504,0.844,-0.1279095316153594,0.576,0.7799256590278801,0.5484921031740567,0.732,0.964,0.136,-0.1533936406811079,0.516,0.6012542255181098,0.5636947244856024,0.5105675354780965,0.441918212465585,0.5580817875344151,0.6944091070422655,70,1,1,post,1.0,1,0.008704810046526,0.86,0.964,0.636,0.64,0.84,1.03904,6,1,1,0.968,0.964,0.86,0.84,1.0,0.92976,0.0102700547144347,0.86,post,1,id03_70_70,70,70,1,1.0647600000000002
73,id03,2024-09-19,2024-09-18,0,0,0,0,3.0,1.0,0.0071142049833712,2.2415214073756573e-08,6,0.0016558829335652,0.0015277509416526,2.2415214073756573e-08,0.0005705911900478,0.0003454971242327,0.0030144603786587,0.648,0.056,0.502,0.638,1.087270991575314,1.090619446504469,0.152,0.096,0.656,-0.0144446247928083,0.64,1.0863371911040125,1.0976387799059917,0.192,0.152,0.622,-0.0804900852061289,0.592,1.157141280249968,1.251279919257796,0.164,0.004,0.7,0.2872285590257915,0.816,0.550361161422093,0.6622518779371115,0.848,0.58,0.808,-0.1159966800515682,0.604,1.2351401911364337,1.1973938234727974,0.02,0.032,0.46,0.0285981516574459,0.7,0.6738405529666655,0.647865731264596,0.2633355498410741,0.1625836464617805,0.8374163535382195,0.5110226267682106,70,3,3,post,1.0,0,0.0057551497211389,0.688,0.748,0.744,0.796,0.648,0.71376,6,0,0,0.828,0.748,0.688,0.648,0.0,0.6594399999999998,0.0067686854439243,0.64,post,3,id03_70_70,70,70,1,0.6444399999999998
74,id03,2024-09-21,2024-09-20,0,0,0,0,4.0,0.0,0.0091854877881211,1.9656211968643863e-05,6,0.003332454261134,1.9656211968643863e-05,0.0009191541645062,0.0011742743098905,0.0030906758679054,0.0006492729727161,0.768,0.58,0.502,0.138,1.0116302225867488,1.0827829769100752,0.356,0.112,0.872,0.2078788187034967,0.76,1.028678874173123,1.1777715190781273,0.36,0.044,0.892,0.0550060003194082,0.716,1.2300636713409066,1.108764587251434,0.028,0.16,0.304,-0.3358359942183652,0.36,0.7572097213536775,0.7529689143722288,0.472,0.368,0.662,-0.0510891333660319,0.7,0.9648928768227848,1.0387001454081313,0.48,0.272,0.872,0.0248228301151555,0.692,0.6370152872162065,0.7117081025739701,0.3284367861328416,0.1847243068116054,0.8152756931883945,0.5477803687311354,70,4,4,post,0.0,0,0.0073577996216077,0.808,0.82,0.704,0.88,0.768,0.70256,6,0,0,0.824,0.82,0.808,0.768,0.0,0.6344400000000001,0.0085165586034361,0.756,post,4,id03_70_70,70,70,1,0.6144400000000001
75,id03,2024-09-22,2024-09-21,0,0,0,1,3.0,1.0,0.0046282292690122,8.22289569768486e-10,6,8.22289569768486e-10,0.0019517820798781,0.0005390308871668,0.0001163870169729,4.271629738816785e-08,0.0020209857464074,0.448,0.008,0.502,0.638,0.7576687710699982,1.0568138058080718,0.816,0.164,0.996,0.2029629807402163,0.752,0.7849062983966067,1.1061053490583477,0.864,0.124,0.992,0.1686393245449897,0.748,0.7510242794731385,0.8131141078586317,0.968,0.84,0.638,0.0158708195397876,0.732,0.8007965154670089,0.8109354993066947,0.4,0.26,0.704,-0.0697913471707316,0.672,0.7648589835990751,0.8358711728194743,0.772,0.596,0.828,0.0121665208583895,0.68,0.7183449506245431,0.8301311808003407,0.7771316345642035,0.406887198776001,0.593112801223999,0.5841523449634378,78,-3,3,pre,1.0,1,0.0042013134389023,0.512,0.876,0.772,0.944,0.448,0.91352,6,1,1,0.912,0.876,0.512,0.448,0.6666666666666666,0.7338399999999999,0.0046281857304252,0.464,post,5,id03_70_70,70,70,1,0.8488399999999999
84,id04,2024-09-15,2024-09-14,0,0,0,1,7.0,0.0,0.0079231110381629,2.1400917857405943e-05,6,0.002509814481588,0.000123924965628,0.0011654967030804,0.0016888735243665,2.1400917857405943e-05,0.0024136004456425,0.688,0.6,0.502,0.138,1.198307025358212,1.0760682966682082,0.02,0.116,0.276,-0.4753566203437643,0.3,0.9222320192342972,1.1851661322254683,0.72,0.036,0.984,0.1784360285933527,0.752,0.8102927021028629,0.7026025037557821,0.908,0.952,0.394,-0.2812848749667718,0.444,0.8327296487455516,0.900735738730696,0.312,0.092,0.774,0.1459399225704546,0.792,1.006814285226059,1.172723861373039,0.396,0.052,0.968,0.1037592634197704,0.748,0.6068596874439182,0.6816542627839023,0.4978005019464688,0.2684472816741924,0.7315527183258075,0.579521844045634,91,-7,7,pre,0.0,1,0.0051829130834132,0.624,0.868,0.66,0.86,0.688,0.8555999999999999,6,1,0,0.88,0.868,0.624,0.688,0.6666666666666666,0.6296799999999999,0.0077777851546774,0.704,pre,7,id04_91_103,91,103,6,0.6746799999999998
87,id04,2024-09-20,2024-09-19,0,0,1,0,4.0,0.0,0.0351600559183783,1.722909980217402e-05,6,1.722909980217402e-05,0.0304304469211165,0.0001694027565662,0.001924771711447,0.0022626891656754,0.0003555162637709,0.996,0.556,0.502,0.138,1.1011529697180678,1.1402128913941132,0.116,0.036,0.696,0.1093237518243934,0.724,0.9466425653204932,0.990506125002466,0.628,0.444,0.778,0.0886585600112075,0.724,1.0084395660306973,0.8437252141161592,0.532,0.808,0.194,-0.2318950021136989,0.52,0.6406911024911227,0.628992677708427,0.696,0.652,0.576,0.1510467213319691,0.796,1.0299429251988332,1.1107327846466042,0.376,0.152,0.884,-0.0267405525420301,0.648,0.6767200424506188,0.6166166680819795,0.4763936329599413,0.4316832627314901,0.5683167372685098,0.637651679713221,91,-4,4,pre,0.0,1,0.0342530086150393,0.996,0.924,0.748,0.76,0.996,0.94208,6,1,0,0.924,0.924,0.996,0.996,0.6666666666666666,0.81892,0.0349734240620098,0.996,pre,4,id04_91_103,91,103,6,0.8789199999999999
