cell_key,subject_id,target,action_family,action_expert,true_gain,predicted_gain,neighbor_positive_rate,neighbor_count,neighbor_subjects,mean_distance,keep,policy_key,target_policy_key,row_index,group_mode,neighbors,weights,threshold
174:Q2,id04,Q2,prior,global_prior,0.41198201729583317,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
175:Q2,id04,Q2,prior,global_prior,-0.3700884257638431,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
176:Q2,id04,Q2,prior,global_prior,0.44766469289440336,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
222:Q2,id05,Q2,prior,global_prior,0.20139850460205455,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
261:Q2,id06,Q2,prior,global_prior,-0.3780527007075831,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
262:Q2,id06,Q2,prior,global_prior,0.3129012071569802,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
263:Q2,id06,Q2,prior,global_prior,0.4117507125219403,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
265:Q2,id06,Q2,prior,global_prior,-0.29450363228548593,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
268:Q2,id06,Q2,prior,global_prior,0.3129012071569802,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
269:Q2,id06,Q2,prior,global_prior,0.2229499312990625,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
410:Q2,id09,Q2,prior,global_prior,0.36525924131223453,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
412:Q2,id09,Q2,prior,global_prior,0.332660993041066,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
171:Q3,id04,Q3,prior,global_prior,-0.21376156416309222,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
172:Q3,id04,Q3,prior,global_prior,-0.24819825243299443,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
263:Q3,id06,Q3,prior,global_prior,0.29821632585829716,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
368:Q3,id08,Q3,prior,global_prior,0.1888309178718589,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
369:Q3,id08,Q3,prior,global_prior,0.11454267065585733,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
375:Q3,id08,Q3,prior,global_prior,-0.20710269034663953,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
410:Q3,id09,Q3,prior,global_prior,0.44094119656475816,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
412:Q3,id09,Q3,prior,global_prior,0.47507503820572794,0.0,0.0,0,,,True,keep_all,keep_all,,,,,
