flat_index,row,subject_id,sleep_date,lifelog_date,target,target_index,h057_prob,q061,cell_q061_gain,public_score,invariant_score,private_safe_score,latent_shortcut_energy,bad_pressure_rank,h068_cell_health,outside_h069_cell,outside_h070_cell,is_h050_null,source_count,source_weight,source_family_count,source_consensus,source_mean_move,source_action_delta,source_posterior_delta,hit_h071,hit_h074,hit_h076,hit_h079,h080_bad_same_raw,h080_bad_opp_raw,h080_bad_same_rank,h080_bad_opp_rank,h080_bad_margin_rank,h079_cell,h079_row,h079_role,h080_cell_score,h085_q,h085_q_move,h085_q_gain,h085_abs_q_move,h082_cell,h084_dark_cell,source_agrees_h085,h085_cell_score,q_hard,best_world_y,confidence,hard_gain,combined_score,hard_logit_delta,binary_shock,h086_resp_weight,h086_resp_lift,h086_resp_rank,h086_equation_alignment,h086_resp_action_score,hard_logit_move,hard_diag_gain,h088_prob,h088_logit_move,h088_active,h088_q_delta,h088_q_bad,h088_bad_rank,h088_move_abs_rank,h088_toxicity,h057_positive_weight,h057_positive_logit_move,h095_safe_cell_score
0,0,id01,2024-07-31,2024-07-30,Q1,0,0.1839999885504578,0.1859798815132273,1.3017998536424267e-05,0.1591257142857143,0.5036571428571429,-0.1510166,0.9116857142857144,0.9942857142857144,0.2134978285714286,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499457217892925,0.0,0.9737142857142858,0.0777142857142857,0.1788571428571428,0.0,0.0,,-0.8172142857142858,0.1858619952198355,0.012353220077900406,1.0477506490413901e-05,0.012353220077900406,0.0,0.0,0.0,-0.003466799999999992,0.1740280510468655,0,0.8259719489531344,8.340373967629908e-07,0.8519771428571429,-0.1410307038891238,0.0049244316366865,0.0005836784565496,1.0214372989619325,0.8514285714285714,0.2036628993139571,0.4128265142857142,-0.06786564009281482,0.00033591876534733167,0.1839999885504578,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.9185085714285716,-0.04779359522007243,0.07019177142857144
1,0,id01,2024-07-31,2024-07-30,Q2,1,0.5115819275521561,0.4775824655365743,0.0023125216531759,0.1259428571428571,0.4736571428571429,-0.0460250285714285,0.7735428571428572,0.6874285714285714,0.1180232,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869968896571707,0.0,0.7965714285714286,0.0777142857142857,0.1788571428571428,0.0,0.0,,-0.8397771428571429,0.4776012055169247,-0.1359911829263115,0.00210222482176059,0.1359911829263115,0.0,0.0,0.0,0.30491371428571423,0.5355278528581157,0,0.5355278528581157,6.023181655387631e-08,0.4181142857142857,0.0292044680890611,0.0058520554351487,0.0005902585216819,1.0329524129434255,0.8828571428571429,-0.4254751752005561,0.5157017142857143,0.09601530917493445,0.0011487207980394043,0.5115819275521561,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.0,0.0,0.28947199999999995
2,0,id01,2024-07-31,2024-07-30,Q3,2,0.5074404548458739,0.5133172079218004,6.909740307792234e-05,0.3005542857142858,0.5036571428571429,-0.0219920857142856,0.9201714285714286,0.9251428571428572,0.3105197142857142,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2041965822744746,0.0,0.9102857142857144,0.0777142857142857,0.1788571428571428,0.0,0.0,,-0.7726714285714287,0.5132582733987845,0.02328151200358156,6.16244665275767e-05,0.02328151200358156,0.0,0.0,0.0,0.08146177142857146,0.5404488808286874,1,0.5404488808286874,2.1534449778224665e-07,0.4710628571428571,-0.0554266109858166,0.0010793370128213,0.0005106624187526,0.893659232817083,0.0314285714285714,0.1257828979531003,-0.0059220571428571,0.13238585337245592,0.0021826142872767296,0.5074404548458739,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.9798285714285714,-0.18781246435827262,0.15537737142857144
3,0,id01,2024-07-31,2024-07-30,S1,3,0.5202725253271271,0.5236101888857627,2.2320883022897146e-05,0.3296457142857143,0.5036571428571429,0.0592980571428572,0.8507142857142858,0.7537142857142857,0.3292734857142856,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166282513857259,0.0,0.8897142857142857,0.0777142857142857,0.1788571428571428,0.0,0.0,,-0.7491228571428571,0.5235543310942848,0.013152533950614054,1.9638029342461394e-05,0.013152533950614054,0.0,0.0,0.0,0.052672228571428614,0.5367598867796822,0,0.5367598867796822,8.669450489455988e-08,0.2992457142857143,-0.0351603363907305,0.0004641149697683,0.0005472298175587,0.95765218072781,0.0885714285714285,0.4134929081993978,-0.0102653714285714,0.06617075368318433,0.000545147414500402,0.523904797882171,0.014557565810300377,1.0,-2.1333746199614367e-05,0.0,0.4542857142857143,0.5245714285714286,0.4871142857142858,0.9440457142857144,-0.10133109007391487,-0.0021125714285714636
4,0,id01,2024-07-31,2024-07-30,S2,4,0.4579375217389834,0.4595176418504327,5.0282614352248345e-06,0.1648057142857142,0.5036571428571429,-0.1114952857142858,0.8619714285714286,0.9091428571428573,0.233862,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2929973533633028,0.0011657617239995,0.944,0.1714285714285714,0.1788571428571428,0.0,0.0,,-0.7983685714285714,0.4594256243791392,0.005993342742592195,4.058301544707099e-06,0.005993342742592195,0.0,0.0,0.0,-0.019588399999999992,0.4472690661429911,1,0.5527309338570088,6.711452026117356e-07,0.6032457142857143,-0.0971853533605038,1.3901439077534938e-05,0.0005358519031951,0.9377408305915246,0.0588571428571428,0.614352917387907,-0.0399947428571428,-0.043062465743757994,0.00022954871486402517,0.4579375217389834,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.9140914285714287,-0.05412288761674629,0.05415999999999997
5,0,id01,2024-07-31,2024-07-30,S3,5,0.8508786159626692,0.8502111327255205,1.7535158101100734e-06,0.1642228571428571,0.5036571428571429,-0.088057,0.8957142857142857,0.9148571428571428,0.2343970285714285,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834216980183262,0.0,0.9394285714285714,0.0777142857142857,0.1788571428571428,0.0,0.0,,-0.8465971428571429,0.8502955940120573,-0.004587525615420196,1.2175178618067939e-06,0.004587525615420196,0.0,0.0,0.0,-0.07491274285714282,0.8611663822331983,1,0.8611663822331983,4.53794609172819e-07,0.68992,0.1151253562414655,0.0019411842066059,0.0005718881842052,1.0008043223591228,0.684,0.7228747766671246,0.3007581714285715,0.08350265789569833,0.00042527122362251424,0.8508786159626692,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.8975428571428572,0.03162269834576725,-0.0116566857142857
6,0,id01,2024-07-31,2024-07-30,S4,6,0.5084298008946088,0.5091151839410136,9.39781743536372e-07,0.1482914285714285,0.5036571428571429,0.3172508,0.4932142857142857,0.1785714285714285,0.2109301714285714,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1856015952715258,0.1785714285714285,0.7337142857142858,0.736,0.0,0.0,,-0.5764400000000001,0.5091590368126224,0.0029178468760701903,9.681413111195525e-07,0.0029178468760701903,0.0,0.0,0.0,0.09578474285714286,0.5223625210687107,1,0.5223625210687107,1.4679869777242745e-07,0.45888,0.045010420029887,0.0019122187266242,0.000551777393772,0.9656104391011492,0.108,0.502682123038882,0.0688006857142857,0.055787400196945745,0.0003885238388030565,0.5114968799282992,0.012273228043328192,1.0,9.872168666769099e-06,9.872168666769099e-06,0.9217142857142857,0.5114285714285715,0.7346857142857143,0.8756571428571429,-0.010776980167058699,-0.0351718857142857
7,1,id01,2024-08-01,2024-07-31,Q1,0,0.0950246972067914,0.1051360141203324,0.0005765310429176,0.5242228571428572,0.6062771428571428,0.4069644,0.4877857142857143,0.1785714285714285,0.31004,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776312767034819,0.1785714285714285,0.9051428571428572,0.9057142857142856,0.0,0.0,,-0.5504600000000002,0.10524030354977218,0.11346197907265054,0.0005342416582523324,0.11346197907265054,0.0,0.0,0.0,0.004990714285714293,0.1102627458620851,0,0.8897372541379148,7.205062592981366e-07,0.7061942857142858,0.1657107424852228,0.0010198121712454,0.0005457461458669,0.9550557552671192,0.084,0.7623623927188314,0.0965973142857143,0.165710742485222,0.0012902669593757854,0.0950246972067914,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.6610342857142858,-0.04102207550634662,0.2910056000000001
8,1,id01,2024-08-01,2024-07-31,Q2,1,0.5142003796073951,0.5181404945598331,3.107903929888689e-05,0.3565942857142857,0.6062771428571428,0.2217184571428571,0.6337571428571429,0.1785714285714285,0.0574332571428571,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384691606116536,0.1785714285714285,0.4091428571428571,0.4628571428571428,0.0,0.0,,-0.7202942857142858,0.5181437771435107,0.015790191156764027,2.8329421943862343e-05,0.015790191156764027,0.0,0.0,0.0,-0.20490957142857144,0.5154838158022813,0,0.5154838158022813,1.8520105936391563e-09,0.1603771428571428,0.0051382752094569,0.0017309903276009,0.0005686665453091,0.995166454290964,0.5748571428571428,0.4056366506856532,0.2355218857142856,0.005138275209456915,3.297240370514487e-06,0.5142003796073951,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.0,0.0,0.04021885714285711
9,1,id01,2024-08-01,2024-07-31,Q3,2,0.510501737615549,0.4722836185897635,0.0029222569675849,0.7297200000000001,0.6062771428571428,0.5101276000000001,0.3991571428571429,0.1785714285714285,0.4472328571428571,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1374595294662841,0.1785714285714285,0.6508571428571429,0.6628571428571428,0.0,0.0,,-0.4987228571428572,0.47224193562798883,-0.1531596666954078,0.002665349068950662,0.1531596666954078,0.0,0.0,0.0,0.13538534285714288,0.4974327789967946,1,0.5025672210032054,1.9492853250895246e-07,0.4538285714285714,-0.052282103415414,0.001247238622942,0.000538664727468,0.942663273069106,0.0657142857142857,0.5932020221985358,0.1638226857142858,-0.05228210341541407,0.0003416599455199343,0.510501737615549,0.0,0.0,0.0,0.0,0.4542857142857143,0.22028571428571428,0.0,0.0,0.0,0.3614339428571429
