cell_key,row,subject_id,target,expert,expert_pred,predicted_gain,true_gain,model
31:Q1,31,id01,Q1,global_prior,0.4909090909090909,-0.023271686940343705,-0.18407555855914104,gradient_boosted_gain
31:Q2,31,id01,Q2,global_prior,0.5636363636363636,-0.010208154669913566,0.06074643703130589,gradient_boosted_gain
31:Q3,31,id01,Q3,global_prior,0.6,-0.010208154669913566,-0.0036798569584006735,gradient_boosted_gain
31:S1,31,id01,S1,global_prior,0.6840909090909091,-0.010208154669913566,-0.10089743295399956,gradient_boosted_gain
31:S2,31,id01,S2,global_prior,0.6545454545454545,-0.010208154669913566,-0.06101546580191353,gradient_boosted_gain
31:S3,31,id01,S3,subject_prior,0.9032258064516129,0.014566924253287662,0.023226850609816496,gradient_boosted_gain
31:S4,31,id01,S4,global_prior,0.5613636363636364,-0.010208154669913566,-0.1610776200654609,gradient_boosted_gain
32:Q1,32,id01,Q1,global_prior,0.4909090909090909,-0.023271686940343705,-0.18407555855914104,gradient_boosted_gain
32:Q2,32,id01,Q2,global_prior,0.5636363636363636,-0.010208154669913566,-0.044619146652093766,gradient_boosted_gain
32:Q3,32,id01,Q3,global_prior,0.6,-0.010208154669913566,0.00554530071642545,gradient_boosted_gain
32:S1,32,id01,S1,global_prior,0.6840909090909091,-0.010208154669913566,-0.06341067652786836,gradient_boosted_gain
32:S2,32,id01,S2,global_prior,0.6545454545454545,-0.010208154669913566,0.013655278380958424,gradient_boosted_gain
32:S3,32,id01,S3,subject_prior,0.9032258064516129,0.017641839023337127,0.06791837607765983,gradient_boosted_gain
32:S4,32,id01,S4,global_prior,0.5613636363636364,-0.010208154669913566,-0.13581025818525216,gradient_boosted_gain
33:Q1,33,id01,Q1,core_knn_blend,0.41373271889400925,-0.005367305095876447,-0.08913468736868391,gradient_boosted_gain
33:Q2,33,id01,Q2,global_prior,0.5636363636363636,-0.0025709967312773693,-0.02902923010107117,gradient_boosted_gain
33:Q3,33,id01,Q3,global_prior,0.6,-0.0025709967312773693,0.1818147727882683,gradient_boosted_gain
33:S1,33,id01,S1,global_prior,0.6840909090909091,-0.0025709967312773693,0.011502432668822449,gradient_boosted_gain
33:S2,33,id01,S2,global_prior,0.6545454545454545,-0.0025709967312773693,-0.06101546580191353,gradient_boosted_gain
33:S3,33,id01,S3,subject_prior,0.9032258064516129,0.057496084569102976,0.06791837607765983,gradient_boosted_gain
33:S4,33,id01,S4,global_prior,0.5613636363636364,-0.0025709967312773693,0.0010941730410453099,gradient_boosted_gain
34:Q1,34,id01,Q1,hsjepa_action_health__balanced_listener_health,0.4089009126663228,-0.002432321274712497,-0.01174729942363395,gradient_boosted_gain
34:Q2,34,id01,Q2,global_prior,0.5636363636363636,-0.0025709967312773693,0.023067651408627765,gradient_boosted_gain
34:Q3,34,id01,Q3,global_prior,0.6,-0.0025709967312773693,-0.06576185090550513,gradient_boosted_gain
34:S1,34,id01,S1,global_prior,0.6840909090909091,-0.0025709967312773693,0.03069740816619837,gradient_boosted_gain
34:S2,34,id01,S2,global_prior,0.6545454545454545,-0.0025709967312773693,0.05429588426664689,gradient_boosted_gain
