feature_family,target,positive_rate,auc,ap,pairwise_gain_sum,pairwise_positive_rate
direction_listener_only,Q1,0.5,0.4353185185185186,0.45929186781633957,-12.778476726910904,0.44222222222222224
direction_listener_only,Q2,0.5,0.4362814814814815,0.4589271205726783,-8.27915698713151,0.46444444444444444
direction_listener_only,Q3,0.5,0.43307654320987654,0.460051523346194,-14.998819052402059,0.43555555555555553
direction_listener_only,S1,0.5,0.42372839506172844,0.45342171066223413,-11.593913739970368,0.4622222222222222
direction_listener_only,S2,0.5,0.47259753086419753,0.4770407793430474,-9.394757240901392,0.45555555555555555
direction_listener_only,S3,0.5,0.5379901234567901,0.523007887774705,-7.390146310627466,0.5822222222222222
direction_listener_only,S4,0.5,0.49736790123456787,0.4966479066374696,0.40736832514220556,0.52
action_geometry_direction,Q1,0.5,0.5076839506172839,0.5023565193974371,-5.431224103616964,0.5266666666666666
action_geometry_direction,Q2,0.5,0.5967382716049383,0.5686976847482033,-8.304044257265708,0.5688888888888889
action_geometry_direction,Q3,0.5,0.6009283950617283,0.5647832149703332,-9.974137177634214,0.6088888888888889
action_geometry_direction,S1,0.5,0.7115925925925926,0.6736312785699851,-12.059361572909788,0.6888888888888889
action_geometry_direction,S2,0.5,0.6484074074074075,0.63293784744647,-15.256172139303285,0.6444444444444445
action_geometry_direction,S3,0.5,0.6802740740740741,0.6675741062693653,-17.95114720280282,0.6488888888888888
action_geometry_direction,S4,0.5,0.5824592592592592,0.572190012874406,-8.379216318011077,0.54
human_signed_direction,Q1,0.5,0.4799358024691358,0.49049962896168364,-8.06338572728346,0.4622222222222222
human_signed_direction,Q2,0.5,0.47295802469135806,0.47631092964394206,-10.522064109371344,0.49333333333333335
human_signed_direction,Q3,0.5,0.5418419753086419,0.539519821165348,-6.396442844393342,0.5377777777777778
human_signed_direction,S1,0.5,0.5606962962962962,0.557138186341202,-13.04282133839024,0.5511111111111111
human_signed_direction,S2,0.5,0.47888395061728395,0.4851866044012771,-17.523676061655657,0.4777777777777778
human_signed_direction,S3,0.5,0.4255407407407408,0.44777947568871995,-22.223035060566566,0.45111111111111113
human_signed_direction,S4,0.5,0.46815308641975306,0.47688719911939303,-3.4079646839377657,0.4955555555555556
masked_pretext_signed_direction,Q1,0.5,0.515520987654321,0.5134994200377624,-1.7062403427193837,0.5066666666666667
masked_pretext_signed_direction,Q2,0.5,0.474641975308642,0.4883931784614432,-17.385724126435576,0.4622222222222222
masked_pretext_signed_direction,Q3,0.5,0.5618691358024692,0.556367581210524,-5.963691218687741,0.5488888888888889
masked_pretext_signed_direction,S1,0.5,0.5141802469135802,0.5187275928141184,-15.791471298707092,0.4911111111111111
masked_pretext_signed_direction,S2,0.5,0.5031432098765433,0.5038584212100801,-12.136496494795281,0.49333333333333335
masked_pretext_signed_direction,S3,0.5,0.48208148148148144,0.4948192023321572,-14.185700572635213,0.4622222222222222
masked_pretext_signed_direction,S4,0.5,0.5195604938271605,0.5213388255695022,-0.6030156823992763,0.52
responsibility_weighted_pretext_direction,Q1,0.5,0.507237037037037,0.5055017413029967,-5.351667731146207,0.4866666666666667
responsibility_weighted_pretext_direction,Q2,0.5,0.4642493827160494,0.4797937089537995,-13.467013332138421,0.4888888888888889
responsibility_weighted_pretext_direction,Q3,0.5,0.5581777777777778,0.5504465836023338,-6.344521017057456,0.5444444444444444
responsibility_weighted_pretext_direction,S1,0.5,0.5199925925925926,0.5191768744787515,-13.652743652403604,0.52
responsibility_weighted_pretext_direction,S2,0.5,0.5259358024691357,0.5207996606204879,-8.449916455071644,0.5266666666666666
responsibility_weighted_pretext_direction,S3,0.5,0.47289382716049383,0.4931097798950291,-14.749637708037188,0.4533333333333333
responsibility_weighted_pretext_direction,S4,0.5,0.5213456790123456,0.51823269156998,-0.12430680555050078,0.54
human_plus_pretext_signed_direction,Q1,0.5,0.4758814814814815,0.4910459341308581,-2.2800431486458903,0.48
human_plus_pretext_signed_direction,Q2,0.5,0.5089037037037036,0.4944824422846131,-5.073521702105041,0.5088888888888888
human_plus_pretext_signed_direction,Q3,0.5,0.5617777777777778,0.554954300982789,-7.581811765052388,0.5688888888888889
human_plus_pretext_signed_direction,S1,0.5,0.5375802469135802,0.5499538670716633,-15.22384586080636,0.5177777777777778
human_plus_pretext_signed_direction,S2,0.5,0.4880246913580247,0.4972931315928266,-20.94865132455255,0.4666666666666667
human_plus_pretext_signed_direction,S3,0.5,0.4115358024691358,0.44541221042711143,-23.95877748426032,0.4066666666666667
human_plus_pretext_signed_direction,S4,0.5,0.4623407407407407,0.47854294498436795,-6.361996660832469,0.4666666666666667
