source_vector,forbid_basis,forbid_pcs,removed_norm_ratio,cosine_removed_to_world,cosine_removed_to_ray
world,world_bad,8,0.2102745860364418,0.21027458603645519,-0.057028795796409223
world,world_bad,24,0.06857465164030523,0.06857465164032356,0.009777571841409361
world,all_bad,8,0.22750130887737238,0.22750130887738823,-0.04769202020131691
world,all_bad,24,0.09000557378425678,0.09000557378427754,0.025063360338651856
posterior_world_mix,world_bad,8,0.1349068295436231,0.19759387332953435,-0.011757091383298184
posterior_world_mix,world_bad,24,0.057889053002488526,0.062115614368912955,0.02937714512502724
posterior_world_mix,all_bad,8,0.14959070137685476,0.21523279569266163,-0.0028986482598032854
posterior_world_mix,all_bad,24,0.07652455528069367,0.08482521467380463,0.04155131637232768
transition_world,world_bad,8,0.15077247308574268,0.20075134106000134,-0.07868247489221535
transition_world,world_bad,24,0.0423814567558882,0.06111615170730563,0.014641854289420416
transition_world,all_bad,8,0.16953147713007302,0.2183085047537882,-0.06433962426693711
transition_world,all_bad,24,0.05221480239841064,0.0825129574713252,0.02660875787110808
