candidate_id,row,target_index,target,delta_logit_vs_h136,new_logit_move
h139_777e497a,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_777e497a,207,2,Q3,-0.007850653292169912,-0.007850653292169912
h139_777e497a,207,4,S2,-0.01375,-0.01375
h139_2fc2d943,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_2fc2d943,207,2,Q3,-0.007850653292169912,-0.007850653292169912
h139_2fc2d943,207,4,S2,-0.01375,-0.01375
h139_6377e2ff,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_6377e2ff,207,4,S2,-0.01375,-0.01375
h139_6377e2ff,207,6,S4,0.0063586967645062,0.0063586967645062
h139_530fe8bd,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_530fe8bd,207,4,S2,-0.01375,-0.01375
h139_530fe8bd,207,6,S4,0.0063586967645062,0.0063586967645062
h139_fad890a5,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_fad890a5,207,4,S2,-0.01375,-0.01375
h139_fad890a5,207,6,S4,0.0063586967645062,0.0063586967645062
h139_c6e3c476,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_c6e3c476,207,4,S2,-0.01375,-0.01375
h139_c6e3c476,207,6,S4,0.0063586967645062,0.0063586967645062
h139_2216ebb5,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_2216ebb5,207,4,S2,-0.01375,-0.01375
h139_0ef85c27,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_0ef85c27,207,4,S2,-0.01375,-0.01375
h139_3d632016,70,2,Q3,-0.019878872462197883,0.028503568451087702
h139_3d632016,207,4,S2,-0.01375,-0.01375
h139_ba862bf3,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_ba862bf3,207,4,S2,-0.01375,-0.01375
h139_85e4da7c,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_85e4da7c,207,4,S2,-0.01375,-0.01375
h139_da90ca1f,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_da90ca1f,131,4,S2,0.01766321813242195,0.01766321813242195
h139_19c37fd6,70,2,Q3,-0.019878872462197883,0.028503568451087702
h139_19c37fd6,131,4,S2,0.01766321813242195,0.01766321813242195
h139_b320b228,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_b320b228,131,4,S2,0.01766321813242195,0.01766321813242195
h139_0999d3ae,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_0999d3ae,131,4,S2,0.01766321813242195,0.01766321813242195
h139_a1130967,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_a1130967,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_a1130967,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_a1130967,207,4,S2,-0.01375,-0.01375
h139_2a901076,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_2a901076,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_2a901076,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_2a901076,207,4,S2,-0.01375,-0.01375
h139_39d5bce5,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_39d5bce5,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_39d5bce5,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_39d5bce5,207,4,S2,-0.01375,-0.01375
h139_45363149,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_45363149,135,2,Q3,-0.009583641322968746,0.044841976066730786
