source,source_idea_no,idea_id,experiment_id,idea,families,experiment_family,experiment_stage,risk,implementation_batch,status,expected_artifact,validation_gate
gpt,1,gpt_001_이_문제의_하루는_00_00_24_00_가_아니라_전날_저녁_취침_수면_기상_후_회복_,domain_gpt_001,이 문제의 하루는 `00:00~24:00`가 아니라 `전날 저녁 → 취침 → 수면 → 기상 후 회복`으로 이어지는 **behavioral day**에 가깝습니다.,day_slicing,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,2,gpt_002_라벨은_절대값보다_그_사람의_평소_대비_오늘_일_가능성이_높아_subject_indep,domain_gpt_002,"라벨은 절대값보다 “그 사람의 평소 대비 오늘”일 가능성이 높아, subject-independent featur([Dacon][1]) deviation representation\*\*이 중요합니다.",subject_deviation,subject_deviation,subject_relative_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,3,gpt_003_라벨_450일은_너무_작으므로_원천_로그를_이용해_unlabeled_day_repres,domain_gpt_003,"라벨 450일은 너무 작으므로, 원천 로그를 이용해 **unlabeled day representation**을 먼저 만들고 label은 probing에 가깝게 써야 합니다.",day_slicing,day_slicing,day_state_features,high,hold_until_stress_test,gated,experiments/domain_idea_bank/stress_test_queue.json,nested_oof_before_label_use
gpt,4,gpt_004_q1_q3는_주관_상태_s1_s4는_수면_생리_행동에_가까워서_같은_feature_vi,domain_gpt_004,"Q1~Q3는 주관 상태, S1~S4는 수면 생리/행동에 가까워서 같은 feature view를 쓰면 일부 타깃은 손해를 볼 수 있습니다. 대회 설명상 Q1은 수면의 질, Q2는 취침 전 피로도, Q3는 스트레스, S1~S4는 수면시간·효율·지연·각성 관련 지표입니다. ([Dacon][1]) Public LB 일반화를 위해 “subject id 암기”, “test period target mean 추정”, “특정 사람의 루틴 fingerprint 과적합”을 피하고, **루틴 대비 변화량 + 안정적인 episode 구조** 중심으로 가야 합니다.",subject_deviation|episode|target_view,subject_deviation,subject_relative_features,high,hold_until_stress_test,gated,experiments/domain_idea_bank/stress_test_queue.json,nested_oof_before_label_use
gpt,1,gpt_001_sleep_to_sleep_day_전날_주요_수면_종료_시점부터_다음_주요_수면_종료까,domain_gpt_001,"Sleep-to-sleep day**: 전날 주요 수면 종료 시점부터 다음 주요 수면 종료까지를 하루로 정의. Q1, S1~S4에 유리. 위험: 낮음.",day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,2,gpt_002_evening_to_evening_day_18시_다음날_18시로_자르기_취침_전_피로_,domain_gpt_002,"Evening-to-evening day**: 18시~다음날 18시로 자르기. 취침 전 피로 Q2, 스트레스 Q3에 유리. 위험: 낮음.",day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,3,gpt_003_bedtime_anchored_window_추정_취침_시각_기준_12h_12h_를_하루,domain_gpt_003,Bedtime-anchored window**: 추정 취침 시각 기준 `-12h ~ +12h`를 하루로 재구성. 수면 직전 행동의 영향 포착. 위험: 중간.,day_slicing|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,4,gpt_004_wake_anchored_window_추정_기상_시각_기준_8h_16h_기상_후_회복_,domain_gpt_004,"Wake-anchored window**: 추정 기상 시각 기준 `-8h ~ +16h`. 기상 후 회복, 낮 활동량, 낮잠 영향을 함께 표현. 위험: 낮음.",day_slicing|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,5,gpt_005_main_sleep_episode_중심_day_가장_긴_정지_수면_episode를_an,domain_gpt_005,Main sleep episode 중심 day**: 가장 긴 정지/수면 episode를 anchor로 삼고 전후 episode를 붙임. 수면 지표가 calendar boundary를 넘을 때 유리. 위험: 중간.,day_slicing|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,6,gpt_006_phone_inactivity_day_가장_긴_phone_silence_interval,domain_gpt_006,Phone inactivity day**: 가장 긴 phone silence interval을 밤으로 보고 그 전후를 하루로 구성. sleep log가 noisy할 때 보완. 위험: 중간.,day_slicing|cross_modal,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
