flat_idx,row,target,sign,coef,stability,source_support,semantic_mean,base_mean,h088_alignment,listener_score,public_utility_base,magnitude_base,rank_seed_score,logit_step,public_delta_estimate,public_utility,old_route_energy,new_route_energy,route_energy_delta,solver_score
39,5,S2,1,-0.000866677115327212,1.0,9,1.0436481940898937e-06,1.7791157580214547e-06,0.0,3.340666927490871,0.0006597189566813144,0.7612050035868767,0.0028004421555671293,1.1098368952296664,-0.0009618702388413565,0.0009618702388413565,0.7002695208916305,0.6777212399937967,-0.022548280897833783,0.0014759324185936997
190,27,Q2,-1,0.000657085536864313,1.0,8,3.2855873743699133e-05,5.430007133012095e-05,0.0,4.4715275821596245,0.0003966968660966319,0.6037218046066187,0.002471405279460018,-0.896526879840829,-0.0005890948461534985,0.0005890948461534985,0.6564416803539928,0.652115492001634,-0.004326188352358762,0.0007002709899053912
309,44,Q2,-1,0.0005384807500006606,1.0,9,6.805381711503927e-05,6.516111522687022e-05,0.0,4.467379238393323,0.00027710455363209527,0.5146043821097697,0.002410779942339779,-0.7641875074330081,-0.00041150026214366157,0.00041150026214366157,0.5880426420182794,0.5855398556193016,-0.00250278639897783,0.0004845615629211738
351,50,Q2,-1,0.0006815931744011135,1.0,8,1.9402537652154624e-05,1.730466889827969e-05,0.0,4.187379988262911,0.00042404391417188986,0.6221363858939446,0.0020744987844951938,-0.9238725330525079,-0.0006297052125452566,0.0006297052125452566,0.6321398673733064,0.6345195117649957,0.0023796443916892507,0.0005386212149192403
1644,234,S4,-1,0.0013563390771717657,1.0,4,3.237536743638705e-06,-1.8924150607976843e-06,0.5085714285714286,1.2301281857813546,0.0015314802392661499,1.1291278597233871,0.0020565258303025876,-1.2804309929263211,-0.001736698591327814,0.001736698591327814,0.734783888398664,0.702632057669185,-0.032151830729479025,0.0024520388673763527
1355,193,S2,1,-0.0010133972904420071,1.0,9,1.643255834594929e-05,6.940000500101108e-06,0.5994285714285714,3.2084094641925627,0.00088312284323498,0.8714478039010681,0.0019834687405506104,1.2705708980877575,-0.001287593105436601,0.001287593105436601,0.7546568287124052,0.7517510834010858,-0.0029057453113194853,0.0013695195022856296
1292,184,S2,1,-0.0010672250432721257,1.0,5,1.190621002087758e-06,1.8104222150613882e-06,0.5348571428571428,2.207187525150906,0.0009731950169429703,0.9118929724129616,0.0014086061911161524,1.3295399537780983,-0.0014189183347028509,0.0014189183347028509,0.6840839009131192,0.6570619298999639,-0.027021971013155288,0.002023401696992267
787,112,S1,1,-0.0010204579655400472,1.0,3,-1.7488320872858854e-06,-2.5228747837361323e-06,0.6068571428571429,-0.088813413816231,0.0008946896473039452,0.8767530633468642,0.0009392624665939974,0.994237973835344,-0.0010145780600426739,0.0010145780600426739,0.7437214442229084,0.7274640060737829,-0.016257438149125503,0.0013782416993234348
1359,194,Q2,-1,0.00026869240279685556,1.0,7,8.641206797917684e-05,0.0001580683403515277,0.0,4.41433836351442,8.380259575578823e-05,0.3118904549718402,0.0009065836058557771,-0.46315732563318274,-0.00012444685469734554,0.00012444685469734554,0.8036143653369592,0.781905903011056,-0.021708462325903177,0.0006160330258672155
1291,184,S1,1,-0.0007898684692364027,1.0,6,3.8375689971091223e-07,1.1541265146083741e-06,0.6177142857142857,1.607670981444221,0.0005556664816412826,0.703492420932396,0.0008143601475007283,0.797760405337337,-0.0006301257901812146,0.0006301257901812146,0.6570619298999639,0.6434675226652578,-0.013594407234706174,0.0009412027493447503
