model,mean_logloss
raw_knn_blend,0.6369970821509948
core_knn_blend,0.6382662003853271
contextual_raw_fallback_margin_0.014,0.6384440458739576
contextual_raw_fallback_margin_0.008,0.640415184277545
contextual_raw_fallback_margin_0.022,0.642686831240091
contextual_listener_router_soft_oof,0.64376851107503
hsjepa_action_health__high_margin_listener_health,0.6441841940823083
contextual_raw_fallback_margin_0.004,0.6463876418076869
hsjepa_action_health__balanced_listener_health,0.6466006085111962
hsjepa_action_health__wide_listener_health,0.6468128107563367
hsjepa_action_health__strict_listener_health,0.6475815038687669
raw_action_core_health__high_margin_listener_health,0.6478016926785111
raw_action_core_health__wide_listener_health,0.6486623772938106
raw_action_core_health__balanced_listener_health,0.648920153226902
raw_action_core_health__strict_listener_health,0.6492233117427579
contextual_raw_fallback_margin_0.000,0.6497944797865742
contextual_listener_router_hard_oof,0.6501101156147443
subject_prior,0.6505657555490405
fixed_target_listener_route_oof,0.6571057130358509
global_prior,0.6668329512407641
