feature,feature_type,semantic_compact
weekday_x,raw_z_or_semantic,0
is_weekend_x,raw_z_or_semantic,0
day_of_month_x,raw_z_or_semantic,0
month_x,raw_z_or_semantic,0
is_month_start_x,raw_z_or_semantic,0
is_month_end_x,raw_z_or_semantic,0
payday_10_window_x,raw_z_or_semantic,0
payday_25_window_x,raw_z_or_semantic,0
pre_weekend_x,raw_z_or_semantic,0
post_weekend_x,raw_z_or_semantic,0
subject_day_idx_x,raw_z_or_semantic,0
weekday_y,raw_z_or_semantic,0
is_weekend_y,raw_z_or_semantic,0
day_of_month_y,raw_z_or_semantic,0
month_y,raw_z_or_semantic,0
is_month_start_y,raw_z_or_semantic,0
is_month_end_y,raw_z_or_semantic,0
payday_10_window_y,raw_z_or_semantic,0
payday_25_window_y,raw_z_or_semantic,0
pre_weekend_y,raw_z_or_semantic,0
post_weekend_y,raw_z_or_semantic,0
subject_day_idx_y,raw_z_or_semantic,0
screen_m_screen_use_count,raw_z_or_semantic,0
screen_m_screen_use_mean,raw_z_or_semantic,0
screen_m_screen_use_std,raw_z_or_semantic,0
screen_m_screen_use_sum,raw_z_or_semantic,0
screen_m_screen_use_day_sum,raw_z_or_semantic,0
screen_m_screen_use_early_sum,raw_z_or_semantic,0
screen_m_screen_use_evening_sum,raw_z_or_semantic,0
screen_m_screen_use_late_sum,raw_z_or_semantic,0
screen_m_screen_use_morning_sum,raw_z_or_semantic,0
screen_m_screen_use_prebed_sum,raw_z_or_semantic,0
charge_m_charging_count,raw_z_or_semantic,0
charge_m_charging_mean,raw_z_or_semantic,0
charge_m_charging_std,raw_z_or_semantic,0
charge_m_charging_max,raw_z_or_semantic,0
charge_m_charging_sum,raw_z_or_semantic,0
charge_m_charging_day_sum,raw_z_or_semantic,0
charge_m_charging_early_sum,raw_z_or_semantic,0
charge_m_charging_evening_sum,raw_z_or_semantic,0
charge_m_charging_late_sum,raw_z_or_semantic,0
charge_m_charging_morning_sum,raw_z_or_semantic,0
charge_m_charging_prebed_sum,raw_z_or_semantic,0
phone_light_m_light_count,raw_z_or_semantic,0
phone_light_m_light_mean,raw_z_or_semantic,0
phone_light_m_light_std,raw_z_or_semantic,0
phone_light_m_light_max,raw_z_or_semantic,0
phone_light_m_light_sum,raw_z_or_semantic,0
phone_light_m_light_day_sum,raw_z_or_semantic,0
phone_light_m_light_early_sum,raw_z_or_semantic,0
phone_light_m_light_evening_sum,raw_z_or_semantic,0
phone_light_m_light_late_sum,raw_z_or_semantic,0
phone_light_m_light_morning_sum,raw_z_or_semantic,0
phone_light_m_light_prebed_sum,raw_z_or_semantic,0
watch_light_w_light_count,raw_z_or_semantic,0
watch_light_w_light_mean,raw_z_or_semantic,0
watch_light_w_light_std,raw_z_or_semantic,0
watch_light_w_light_min,raw_z_or_semantic,0
watch_light_w_light_max,raw_z_or_semantic,0
watch_light_w_light_sum,raw_z_or_semantic,0
watch_light_w_light_day_sum,raw_z_or_semantic,0
watch_light_w_light_early_sum,raw_z_or_semantic,0
watch_light_w_light_evening_sum,raw_z_or_semantic,0
watch_light_w_light_late_sum,raw_z_or_semantic,0
watch_light_w_light_morning_sum,raw_z_or_semantic,0
watch_light_w_light_prebed_sum,raw_z_or_semantic,0
pedo_step_count,raw_z_or_semantic,0
pedo_step_mean,raw_z_or_semantic,0
pedo_step_std,raw_z_or_semantic,0
pedo_step_max,raw_z_or_semantic,0
pedo_step_sum,raw_z_or_semantic,0
pedo_distance_count,raw_z_or_semantic,0
pedo_distance_mean,raw_z_or_semantic,0
pedo_distance_std,raw_z_or_semantic,0
pedo_distance_max,raw_z_or_semantic,0
pedo_distance_sum,raw_z_or_semantic,0
pedo_speed_count,raw_z_or_semantic,0
pedo_speed_mean,raw_z_or_semantic,0
pedo_speed_std,raw_z_or_semantic,0
pedo_speed_max,raw_z_or_semantic,0
pedo_speed_sum,raw_z_or_semantic,0
pedo_burned_calories_count,raw_z_or_semantic,0
pedo_burned_calories_mean,raw_z_or_semantic,0
pedo_burned_calories_std,raw_z_or_semantic,0
pedo_burned_calories_max,raw_z_or_semantic,0
pedo_burned_calories_sum,raw_z_or_semantic,0
pedo_step_day_sum,raw_z_or_semantic,0
pedo_step_early_sum,raw_z_or_semantic,0
pedo_step_evening_sum,raw_z_or_semantic,0
pedo_step_late_sum,raw_z_or_semantic,0
pedo_step_morning_sum,raw_z_or_semantic,0
pedo_step_prebed_sum,raw_z_or_semantic,0
pedo_distance_day_sum,raw_z_or_semantic,0
pedo_distance_early_sum,raw_z_or_semantic,0
pedo_distance_evening_sum,raw_z_or_semantic,0
pedo_distance_late_sum,raw_z_or_semantic,0
pedo_distance_morning_sum,raw_z_or_semantic,0
pedo_distance_prebed_sum,raw_z_or_semantic,0
pedo_speed_day_sum,raw_z_or_semantic,0
pedo_speed_early_sum,raw_z_or_semantic,0
pedo_speed_evening_sum,raw_z_or_semantic,0
pedo_speed_late_sum,raw_z_or_semantic,0
pedo_speed_morning_sum,raw_z_or_semantic,0
pedo_speed_prebed_sum,raw_z_or_semantic,0
pedo_burned_calories_day_sum,raw_z_or_semantic,0
pedo_burned_calories_early_sum,raw_z_or_semantic,0
pedo_burned_calories_evening_sum,raw_z_or_semantic,0
pedo_burned_calories_late_sum,raw_z_or_semantic,0
pedo_burned_calories_morning_sum,raw_z_or_semantic,0
pedo_burned_calories_prebed_sum,raw_z_or_semantic,0
m_activity_count,raw_z_or_semantic,0
m_activity_mean,raw_z_or_semantic,0
m_activity_std,raw_z_or_semantic,0
m_activity_active_rate,raw_z_or_semantic,0
m_activity_code_0_rate,raw_z_or_semantic,0
m_activity_code_1_rate,raw_z_or_semantic,0
m_activity_code_3_rate,raw_z_or_semantic,0
m_activity_code_4_rate,raw_z_or_semantic,0
m_activity_code_7_rate,raw_z_or_semantic,0
m_activity_code_8_rate,raw_z_or_semantic,0
m_activity_active_day_rate,raw_z_or_semantic,0
m_activity_active_early_rate,raw_z_or_semantic,0
m_activity_active_evening_rate,raw_z_or_semantic,0
m_activity_active_late_rate,raw_z_or_semantic,0
m_activity_active_morning_rate,raw_z_or_semantic,0
m_activity_active_prebed_rate,raw_z_or_semantic,0
w_hr_obs,raw_z_or_semantic,0
w_hr_mean,raw_z_or_semantic,0
w_hr_min,raw_z_or_semantic,0
w_hr_max,raw_z_or_semantic,0
w_hr_std_mean,raw_z_or_semantic,0
w_hr_high_rate,raw_z_or_semantic,0
w_hr_low_rate,raw_z_or_semantic,0
w_hr_mean_day,raw_z_or_semantic,0
w_hr_mean_early,raw_z_or_semantic,0
w_hr_mean_evening,raw_z_or_semantic,0
w_hr_mean_late,raw_z_or_semantic,0
w_hr_mean_morning,raw_z_or_semantic,0
w_hr_mean_prebed,raw_z_or_semantic,0
w_hr_high_rate_day,raw_z_or_semantic,0
w_hr_high_rate_early,raw_z_or_semantic,0
w_hr_high_rate_evening,raw_z_or_semantic,0
w_hr_high_rate_late,raw_z_or_semantic,0
w_hr_high_rate_morning,raw_z_or_semantic,0
w_hr_high_rate_prebed,raw_z_or_semantic,0
w_hr_low_rate_day,raw_z_or_semantic,0
w_hr_low_rate_early,raw_z_or_semantic,0
w_hr_low_rate_evening,raw_z_or_semantic,0
w_hr_low_rate_late,raw_z_or_semantic,0
w_hr_low_rate_morning,raw_z_or_semantic,0
w_hr_low_rate_prebed,raw_z_or_semantic,0
usage_total_time,raw_z_or_semantic,0
usage_log_time,raw_z_or_semantic,0
usage_app_events,raw_z_or_semantic,0
usage_max_app_time,raw_z_or_semantic,0
usage_cat_call_time,raw_z_or_semantic,0
usage_cat_chat_time,raw_z_or_semantic,0
usage_cat_finance_time,raw_z_or_semantic,0
usage_cat_game_time,raw_z_or_semantic,0
usage_cat_health_time,raw_z_or_semantic,0
usage_cat_media_time,raw_z_or_semantic,0
usage_cat_mobility_time,raw_z_or_semantic,0
usage_cat_other_time,raw_z_or_semantic,0
usage_cat_religion_time,raw_z_or_semantic,0
usage_cat_search_news_time,raw_z_or_semantic,0
usage_cat_shopping_food_time,raw_z_or_semantic,0
usage_cat_system_time,raw_z_or_semantic,0
usage_cat_work_time,raw_z_or_semantic,0
usage_day_call_time,raw_z_or_semantic,0
usage_day_chat_time,raw_z_or_semantic,0
usage_day_finance_time,raw_z_or_semantic,0
usage_day_health_time,raw_z_or_semantic,0
usage_day_media_time,raw_z_or_semantic,0
usage_day_mobility_time,raw_z_or_semantic,0
usage_day_other_time,raw_z_or_semantic,0
usage_day_religion_time,raw_z_or_semantic,0
usage_day_search_news_time,raw_z_or_semantic,0
usage_day_shopping_food_time,raw_z_or_semantic,0
usage_day_system_time,raw_z_or_semantic,0
usage_day_work_time,raw_z_or_semantic,0
usage_early_call_time,raw_z_or_semantic,0
usage_early_chat_time,raw_z_or_semantic,0
usage_early_finance_time,raw_z_or_semantic,0
usage_early_health_time,raw_z_or_semantic,0
usage_early_media_time,raw_z_or_semantic,0
usage_early_mobility_time,raw_z_or_semantic,0
usage_early_other_time,raw_z_or_semantic,0
usage_early_religion_time,raw_z_or_semantic,0
usage_early_search_news_time,raw_z_or_semantic,0
usage_early_shopping_food_time,raw_z_or_semantic,0
usage_early_system_time,raw_z_or_semantic,0
usage_early_work_time,raw_z_or_semantic,0
usage_evening_call_time,raw_z_or_semantic,0
usage_evening_chat_time,raw_z_or_semantic,0
usage_evening_finance_time,raw_z_or_semantic,0
usage_evening_game_time,raw_z_or_semantic,0
usage_evening_health_time,raw_z_or_semantic,0
usage_evening_media_time,raw_z_or_semantic,0
usage_evening_mobility_time,raw_z_or_semantic,0
usage_evening_other_time,raw_z_or_semantic,0
usage_evening_religion_time,raw_z_or_semantic,0
usage_evening_search_news_time,raw_z_or_semantic,0
usage_evening_shopping_food_time,raw_z_or_semantic,0
usage_evening_system_time,raw_z_or_semantic,0
usage_evening_work_time,raw_z_or_semantic,0
usage_late_call_time,raw_z_or_semantic,0
usage_late_chat_time,raw_z_or_semantic,0
usage_late_finance_time,raw_z_or_semantic,0
usage_late_health_time,raw_z_or_semantic,0
usage_late_media_time,raw_z_or_semantic,0
usage_late_mobility_time,raw_z_or_semantic,0
usage_late_other_time,raw_z_or_semantic,0
usage_late_religion_time,raw_z_or_semantic,0
usage_late_search_news_time,raw_z_or_semantic,0
usage_late_shopping_food_time,raw_z_or_semantic,0
usage_late_system_time,raw_z_or_semantic,0
usage_late_work_time,raw_z_or_semantic,0
usage_morning_call_time,raw_z_or_semantic,0
usage_morning_chat_time,raw_z_or_semantic,0
usage_morning_finance_time,raw_z_or_semantic,0
usage_morning_game_time,raw_z_or_semantic,0
usage_morning_health_time,raw_z_or_semantic,0
usage_morning_media_time,raw_z_or_semantic,0
usage_morning_mobility_time,raw_z_or_semantic,0
usage_morning_other_time,raw_z_or_semantic,0
usage_morning_religion_time,raw_z_or_semantic,0
usage_morning_search_news_time,raw_z_or_semantic,0
usage_morning_shopping_food_time,raw_z_or_semantic,0
usage_morning_system_time,raw_z_or_semantic,0
usage_morning_work_time,raw_z_or_semantic,0
usage_prebed_call_time,raw_z_or_semantic,0
usage_prebed_chat_time,raw_z_or_semantic,0
usage_prebed_finance_time,raw_z_or_semantic,0
usage_prebed_health_time,raw_z_or_semantic,0
usage_prebed_media_time,raw_z_or_semantic,0
usage_prebed_mobility_time,raw_z_or_semantic,0
usage_prebed_other_time,raw_z_or_semantic,0
usage_prebed_religion_time,raw_z_or_semantic,0
usage_prebed_search_news_time,raw_z_or_semantic,0
usage_prebed_shopping_food_time,raw_z_or_semantic,0
usage_prebed_system_time,raw_z_or_semantic,0
usage_prebed_work_time,raw_z_or_semantic,0
usage_cat_call_time_share,raw_z_or_semantic,0
usage_cat_chat_time_share,raw_z_or_semantic,0
usage_cat_finance_time_share,raw_z_or_semantic,0
usage_cat_game_time_share,raw_z_or_semantic,0
usage_cat_health_time_share,raw_z_or_semantic,0
usage_cat_media_time_share,raw_z_or_semantic,0
usage_cat_mobility_time_share,raw_z_or_semantic,0
usage_cat_other_time_share,raw_z_or_semantic,0
usage_cat_religion_time_share,raw_z_or_semantic,0
usage_cat_search_news_time_share,raw_z_or_semantic,0
usage_cat_shopping_food_time_share,raw_z_or_semantic,0
usage_cat_system_time_share,raw_z_or_semantic,0
usage_cat_work_time_share,raw_z_or_semantic,0
gps_points,raw_z_or_semantic,0
gps_speed_mean,raw_z_or_semantic,0
gps_speed_max,raw_z_or_semantic,0
gps_lat_std_mean,raw_z_or_semantic,0
gps_lon_std_mean,raw_z_or_semantic,0
gps_points_day,raw_z_or_semantic,0
gps_points_early,raw_z_or_semantic,0
gps_points_evening,raw_z_or_semantic,0
gps_points_late,raw_z_or_semantic,0
gps_points_morning,raw_z_or_semantic,0
gps_points_prebed,raw_z_or_semantic,0
gps_speed_mean_day,raw_z_or_semantic,0
gps_speed_mean_early,raw_z_or_semantic,0
gps_speed_mean_evening,raw_z_or_semantic,0
gps_speed_mean_late,raw_z_or_semantic,0
gps_speed_mean_morning,raw_z_or_semantic,0
gps_speed_mean_prebed,raw_z_or_semantic,0
gps_speed_max_day,raw_z_or_semantic,0
gps_speed_max_early,raw_z_or_semantic,0
gps_speed_max_evening,raw_z_or_semantic,0
gps_speed_max_late,raw_z_or_semantic,0
gps_speed_max_morning,raw_z_or_semantic,0
gps_speed_max_prebed,raw_z_or_semantic,0
ble_rows,raw_z_or_semantic,0
ble_list_len_sum,raw_z_or_semantic,0
ble_list_len_mean,raw_z_or_semantic,0
ble_list_len_max,raw_z_or_semantic,0
wifi_rows,raw_z_or_semantic,0
wifi_list_len_sum,raw_z_or_semantic,0
wifi_list_len_mean,raw_z_or_semantic,0
wifi_list_len_max,raw_z_or_semantic,0
ambience_rows,raw_z_or_semantic,0
ambience_list_len_sum,raw_z_or_semantic,0
raw_phone_arousal,raw_z_or_semantic,1
raw_finance_pressure,raw_z_or_semantic,1
raw_religion_weekend,raw_z_or_semantic,1
raw_work_search_load,raw_z_or_semantic,1
raw_mobility_load,raw_z_or_semantic,1
raw_body_load,raw_z_or_semantic,1
raw_light_exposure,raw_z_or_semantic,1
raw_home_anchor,raw_z_or_semantic,1
raw_outdoor_social,raw_z_or_semantic,1
raw_screen_no_mobility,raw_z_or_semantic,1
raw_prev_delta,raw_z_or_semantic,0
raw_next_delta,raw_z_or_semantic,0
raw_two_sided_delta,raw_z_or_semantic,0
raw_acceleration,raw_z_or_semantic,0
raw_subject_novelty,raw_z_or_semantic,0
raw_subject_day_pos,raw_z_or_semantic,0
raw_subject_edge_prox,raw_z_or_semantic,0
raw_transition_energy,raw_z_or_semantic,0
raw_transition_q,raw_z_or_semantic,0
