numeric_features,categorical_features
weekday_x,route_name
is_weekend_x,value_mode
day_of_month_x,target_group_key
month_x,
is_month_start_x,
is_month_end_x,
payday_10_window_x,
payday_25_window_x,
pre_weekend_x,
post_weekend_x,
subject_day_idx_x,
weekday_y,
is_weekend_y,
day_of_month_y,
month_y,
is_month_start_y,
is_month_end_y,
payday_10_window_y,
payday_25_window_y,
pre_weekend_y,
post_weekend_y,
subject_day_idx_y,
screen_m_screen_use_count,
screen_m_screen_use_mean,
screen_m_screen_use_std,
screen_m_screen_use_sum,
screen_m_screen_use_day_sum,
screen_m_screen_use_early_sum,
screen_m_screen_use_evening_sum,
screen_m_screen_use_late_sum,
screen_m_screen_use_morning_sum,
screen_m_screen_use_prebed_sum,
charge_m_charging_count,
charge_m_charging_mean,
charge_m_charging_std,
charge_m_charging_max,
charge_m_charging_sum,
charge_m_charging_day_sum,
charge_m_charging_early_sum,
charge_m_charging_evening_sum,
charge_m_charging_late_sum,
charge_m_charging_morning_sum,
charge_m_charging_prebed_sum,
phone_light_m_light_count,
phone_light_m_light_mean,
phone_light_m_light_std,
phone_light_m_light_max,
phone_light_m_light_sum,
phone_light_m_light_day_sum,
phone_light_m_light_early_sum,
phone_light_m_light_evening_sum,
phone_light_m_light_late_sum,
phone_light_m_light_morning_sum,
phone_light_m_light_prebed_sum,
watch_light_w_light_count,
watch_light_w_light_mean,
watch_light_w_light_std,
watch_light_w_light_min,
watch_light_w_light_max,
watch_light_w_light_sum,
watch_light_w_light_day_sum,
watch_light_w_light_early_sum,
watch_light_w_light_evening_sum,
watch_light_w_light_late_sum,
watch_light_w_light_morning_sum,
watch_light_w_light_prebed_sum,
pedo_step_count,
pedo_step_mean,
pedo_step_std,
pedo_step_max,
pedo_step_sum,
pedo_distance_count,
pedo_distance_mean,
pedo_distance_std,
pedo_distance_max,
pedo_distance_sum,
pedo_speed_count,
pedo_speed_mean,
pedo_speed_std,
pedo_speed_max,
pedo_speed_sum,
pedo_burned_calories_count,
pedo_burned_calories_mean,
pedo_burned_calories_std,
pedo_burned_calories_max,
pedo_burned_calories_sum,
pedo_step_day_sum,
pedo_step_early_sum,
pedo_step_evening_sum,
pedo_step_late_sum,
pedo_step_morning_sum,
pedo_step_prebed_sum,
pedo_distance_day_sum,
pedo_distance_early_sum,
pedo_distance_evening_sum,
pedo_distance_late_sum,
pedo_distance_morning_sum,
pedo_distance_prebed_sum,
pedo_speed_day_sum,
pedo_speed_early_sum,
pedo_speed_evening_sum,
pedo_speed_late_sum,
pedo_speed_morning_sum,
pedo_speed_prebed_sum,
pedo_burned_calories_day_sum,
pedo_burned_calories_early_sum,
pedo_burned_calories_evening_sum,
pedo_burned_calories_late_sum,
pedo_burned_calories_morning_sum,
pedo_burned_calories_prebed_sum,
m_activity_count,
m_activity_mean,
m_activity_std,
m_activity_active_rate,
m_activity_code_0_rate,
m_activity_code_1_rate,
m_activity_code_3_rate,
m_activity_code_4_rate,
m_activity_code_7_rate,
m_activity_code_8_rate,
m_activity_active_day_rate,
m_activity_active_early_rate,
m_activity_active_evening_rate,
m_activity_active_late_rate,
m_activity_active_morning_rate,
m_activity_active_prebed_rate,
w_hr_obs,
w_hr_mean,
w_hr_min,
w_hr_max,
w_hr_std_mean,
w_hr_high_rate,
w_hr_low_rate,
w_hr_mean_day,
w_hr_mean_early,
w_hr_mean_evening,
w_hr_mean_late,
w_hr_mean_morning,
w_hr_mean_prebed,
w_hr_high_rate_day,
w_hr_high_rate_early,
w_hr_high_rate_evening,
w_hr_high_rate_late,
w_hr_high_rate_morning,
w_hr_high_rate_prebed,
w_hr_low_rate_day,
w_hr_low_rate_early,
w_hr_low_rate_evening,
w_hr_low_rate_late,
w_hr_low_rate_morning,
w_hr_low_rate_prebed,
usage_total_time,
usage_log_time,
usage_app_events,
usage_max_app_time,
usage_cat_call_time,
usage_cat_chat_time,
usage_cat_finance_time,
usage_cat_game_time,
usage_cat_health_time,
usage_cat_media_time,
usage_cat_mobility_time,
usage_cat_other_time,
usage_cat_religion_time,
usage_cat_search_news_time,
usage_cat_shopping_food_time,
usage_cat_system_time,
usage_cat_work_time,
usage_day_call_time,
usage_day_chat_time,
usage_day_finance_time,
usage_day_health_time,
usage_day_media_time,
usage_day_mobility_time,
usage_day_other_time,
usage_day_religion_time,
usage_day_search_news_time,
usage_day_shopping_food_time,
usage_day_system_time,
usage_day_work_time,
usage_early_call_time,
usage_early_chat_time,
usage_early_finance_time,
usage_early_health_time,
usage_early_media_time,
usage_early_mobility_time,
usage_early_other_time,
usage_early_religion_time,
usage_early_search_news_time,
usage_early_shopping_food_time,
usage_early_system_time,
usage_early_work_time,
usage_evening_call_time,
usage_evening_chat_time,
