route_id,row,subject_id,route_name,targets,value_mode,raw_head,raw_latent_score,raw_overall_oof,raw_head_score,raw_transition_q,raw_phone_arousal,raw_mobility_load,raw_body_load,h088_cell_overlap_ratio,h087_cell_overlap_ratio,posterior_delta_sum,hard_delta_sum,source_proxy_sum,dual_pareto
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,q2,0.8683912195916146,0.8582592870249836,0.9259597426223137,0.996,0.92,0.144,0.09,1.0,1.0,-0.012105336598427987,-0.011639376556941349,-7.833121080906168e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,q2,0.8683118873826091,0.8590139998418146,0.9256171856558575,0.996,0.92,0.144,0.09,1.0,1.0,-0.011578987095817003,-0.012023687364471753,-7.5125390145513786e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_q,q2,0.8682766035904984,0.8589528793561305,0.9255834241527108,0.996,0.92,0.144,0.09,1.0,1.0,-0.009678972379540143,-0.01252600246843062,-6.488025730663154e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,q2,0.8676390735814606,0.8567919508453231,0.9249603820662781,0.996,0.92,0.144,0.09,1.0,1.0,-0.012421580804171653,-0.01110673525426935,-8.207257365733764e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",h085_hard_bridge,q2,0.8616416467519378,0.8775359555286862,0.933861238270159,0.896,0.768,0.904,0.624,1.0,1.0,-0.007727302848390088,-0.0032004116096693456,-6.540473166151576e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",triad_consensus,q2,0.8612780393450912,0.8768133042607217,0.9334985694151261,0.896,0.768,0.904,0.624,1.0,1.0,-0.007935705075693984,-0.00283577496371164,-6.907347885096063e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_source_bridge,q2,0.8603821327672869,0.8758067918575895,0.9322034485962317,0.896,0.768,0.904,0.624,1.0,1.0,-0.007500751358159768,-0.003424880753232512,-6.2843813035816626e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_q,q2,0.8599806809285724,0.8752657806724217,0.9316656102969263,0.896,0.768,0.904,0.624,1.0,1.0,-0.006270485698888789,-0.0037709511689851425,-5.287504819950215e-06,1.0
r140_full_state,140,id06,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_binary_edge,q2,0.8574725968357442,0.8383451902122775,0.9107433399595233,0.996,0.92,0.144,0.09,1.0,1.0,-0.009371617669596233,-0.0071033137131075366,-5.43657466824378e-06,1.0
r053_full_state,53,id02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hard_binary_edge,q2,0.8574260242815002,0.8721924778936665,0.9280784781334404,0.896,0.768,0.904,0.624,1.0,1.0,-0.005287330214256552,-0.0030637844622176834,-4.709532750049269e-06,1.0
