row,subject_id,sleep_date,lifelog_date,row_weight,max_vector_code,max_vector,max_vector_prob,row_vector_entropy,row_gain_to_h022_vector,row_abs_shift_vs_base,row_kl_from_hs,row_score,posterior_id
149,id06,2024-08-23,2024-08-22,0.004623909886848258,63,0111111,0.3903015005613216,2.341346635164905,0.008313457380769402,0.04116398317342367,0.7516928795691785,0.94496,pareto_top1000_lam0.2_t0.00012
150,id06,2024-08-24,2024-08-23,0.005081884769937764,63,0111111,0.4682033326800193,1.8596696367781442,0.00683893569169729,0.018525917203863485,0.7552978897130155,0.8951999999999999,pareto_top1000_lam0.2_t0.00012
130,id06,2024-07-09,2024-07-08,0.004360316942792056,63,0111111,0.39032321191010616,2.230250208899462,0.004559381972855557,0.02102855969121658,0.6987228516274206,0.8860799999999999,pareto_top1000_lam0.2_t0.00012
52,id02,2024-10-09,2024-10-08,0.00472156301155166,127,1111111,0.3668334253388583,2.3769577575993917,0.0036310502669241475,0.02112500050570809,0.8475366631269007,0.86888,pareto_top1000_lam0.2_t0.00012
148,id06,2024-08-22,2024-08-21,0.00479752143396356,63,0111111,0.5838479608397543,1.5479132451642497,0.0053891852640040715,0.01805173610196043,0.7685066269205711,0.8688,pareto_top1000_lam0.2_t0.00012
145,id06,2024-08-15,2024-08-14,0.0050743178712157645,63,0111111,0.2884316008773624,2.5011030850217777,0.0035271727879472707,0.025145618439833206,1.0750786170569453,0.85712,pareto_top1000_lam0.2_t0.00012
47,id02,2024-10-04,2024-10-03,0.004765285166621461,127,1111111,0.37834876623173574,2.456638598011971,0.003143888197049862,0.02702238216707106,1.0574030888118442,0.8470399999999999,pareto_top1000_lam0.2_t0.00012
54,id02,2024-10-12,2024-10-11,0.0043671563452603555,127,1111111,0.3871023051395242,2.2019349034190485,0.004380002815048526,0.020053776773000465,0.9180829674050415,0.8442399999999999,pareto_top1000_lam0.2_t0.00012
164,id07,2024-07-26,2024-07-25,0.004305421624303055,78,1001110,0.09761191970328864,3.7009335516705137,0.004009732327899941,0.030819127875927475,1.048762737729238,0.8387199999999999,pareto_top1000_lam0.2_t0.00012
48,id02,2024-10-05,2024-10-04,0.004195931888797753,127,1111111,0.3483081298113677,2.5820859391889432,0.003016270433892515,0.02558278717480273,0.7500454763113764,0.82904,pareto_top1000_lam0.2_t0.00012
