heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,24,0.6182274705671105,0.02575947794029627,0.5833333333333334,"Q1,Q2,Q3,S1,S2,S3,S4"
id02,23,-0.04294220376221565,-0.001867052337487637,0.6521739130434783,"Q1,Q2,Q3,S1,S2,S3,S4"
id03,8,0.4279903909853352,0.0534987988731669,0.75,"Q1,Q2,Q3,S1,S2,S4"
id04,14,-0.910722786063253,-0.06505162757594664,0.42857142857142855,"Q1,Q2,Q3,S1,S2,S3,S4"
id05,21,0.3700094998538157,0.017619499993038842,0.5238095238095238,"Q1,Q2,Q3,S1,S2,S4"
id06,18,-0.9404211646746158,-0.05224562025970088,0.2222222222222222,"Q2,Q3,S1,S2,S3,S4"
id07,22,0.348603648156106,0.015845620370732092,0.6363636363636364,"Q1,Q2,Q3,S1,S2,S3,S4"
id08,11,0.1681674629043921,0.015287951173126556,0.36363636363636365,"Q1,Q2,Q3,S1,S2,S3,S4"
id09,18,-0.10772438965106343,-0.0059846883139479685,0.5,"Q1,Q2,Q3,S2,S3,S4"
id10,15,0.633548141109531,0.042236542740635395,0.6,"Q1,Q2,Q3,S1,S2,S3,S4"
