fold,target,feature,family,loss
1,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6617685666788375
1,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.713661094099273
1,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.680771643115421
1,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.565695430709822
1,S2,full__cls_plus_body,logreg,0.5887359808387925
1,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.48802235815776424
1,S4,only_event__cls__abs_plus_subrel_train,ridge,0.676221078303905
2,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6624457746504728
2,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.640716302357087
2,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.6868827554374822
2,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5598058129747036
2,S2,full__cls_plus_body,logreg,0.53467811409114
2,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5198365930232045
2,S4,only_event__cls__abs_plus_subrel_train,ridge,0.5959856640377305
3,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.657675603081192
3,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.7446786006660842
3,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.6675817667112542
3,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5899065932474205
3,S2,full__cls_plus_body,logreg,0.5396593431848342
3,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5469638007495007
3,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6310655593868945
4,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6697537995548066
4,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.6536136056774926
4,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.5834435315917866
4,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5988783219438811
4,S2,full__cls_plus_body,logreg,0.5849880500467112
4,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.49193670195552175
4,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6765925046467238
5,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6626262275870056
5,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.6821718987800637
5,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.6988944535613405
5,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5058825689156102
5,S2,full__cls_plus_body,logreg,0.6354500988170863
5,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5865203462028885
5,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6396739626193921
