app_name,hf_proto,hf_proto_dist,hf_k8,hf_k16,hf_k32,hf_k48
(구)티머니onda,social_chat,0.6811080641820662,5,11,5,46
(캐시아워),social_chat,0.6462528178403263,3,0,1,1
11번가,social_chat,0.7586727236441871,5,11,5,3
1945 air force,study_work_productivity,0.922021115583092,2,3,27,18
8 seconds,study_work_productivity,0.8215767888476961,2,1,11,43
abc-mart,finance_shopping,0.739430400020001,6,15,28,5
adidas,health_fitness,0.832380540036693,6,1,15,0
adobe acrobat,health_fitness,0.6897692076025748,7,10,10,30
ahnlab v3 mobile plus,phone_system,0.6260972730525772,1,14,24,16
ai retouch - 객체 제거,phone_system,0.7657978243013178,2,10,22,22
aia생명,social_chat,0.8355201301878825,5,12,5,46
airvisual,transport_map,0.701233976872665,2,10,14,18
aliexpress,social_chat,0.7351455647125242,1,15,19,17
alwaysondisplay,video_music_entertainment,0.8166664321423401,2,1,26,30
amway,transport_map,0.8726903971752138,2,1,11,17
android auto,phone_system,0.6585574539925978,0,5,3,16
android 시스템,phone_system,0.5642226567004776,0,5,3,10
anyauth,social_chat,0.7002979650606042,5,11,5,46
ar 이모지,social_chat,0.6331469876319745,3,0,1,1
ar 이모지 스티커,social_chat,0.6454812340097702,3,0,1,9
ar 이모지 에디터,social_chat,0.6599164297347241,3,0,1,3
ar 존,social_chat,0.718041023742464,5,0,1,1
arkcraft_v1,study_work_productivity,0.7899570903418989,1,3,8,13
art puzzle,study_work_productivity,0.8177178227995524,7,10,10,30
authentication framework,social_chat,0.7965701278253593,1,2,25,19
authenticator,social_chat,0.8486752261475285,1,2,14,19
auto clicker,phone_system,0.79804611969365,1,15,25,40
auto redial,transport_map,0.8005151247032746,2,6,25,40
avenza maps,transport_map,0.5070603715978803,2,9,7,42
avis corporate,browser_search_news,0.6693613788633421,6,15,28,5
b.stage,study_work_productivity,0.8280493110573337,2,1,10,33
b612,social_chat,0.7874826618899784,2,6,27,24
band,social_chat,0.8311920813940824,2,1,21,33
battle.net,browser_search_news,0.7865048718537301,1,3,6,2
bhc,social_chat,0.7330660121997041,5,1,11,17
blind,health_fitness,0.8764379379776841,2,6,14,18
block journey,transport_map,0.565410443079398,6,9,14,47
block puzzle,study_work_productivity,0.8879679769082411,7,1,26,6
bnkr몰,social_chat,0.7874664106446031,5,11,9,38
booking.com,transport_map,0.7054631552663246,6,15,19,0
cake sort,browser_search_news,0.7918150513964216,2,12,19,26
camscanner,transport_map,0.7881423353359844,2,10,10,30
carrot,study_work_productivity,0.9110989872852568,2,1,0,30
cgv,transport_map,0.76023655519485,2,1,11,24
chargev,finance_shopping,0.7690455882273259,2,1,26,24
chrome,browser_search_news,0.8009874892027233,5,1,11,27
cj one,social_chat,0.7446802030785387,5,11,5,46
cj온스타일,social_chat,0.6126072653144008,3,0,1,9
cncity에너지,video_music_entertainment,0.9388209279240675,2,1,26,24
com.dreamsecurity.mobilerelay.samplecrypto,health_fitness,0.6296058223587302,1,2,24,16
crossy road,transport_map,0.5721887227758914,6,9,29,47
cytus ii,social_chat,0.8793571324835392,2,1,11,24
darkness and flame 1,video_music_entertainment,0.8165508200408537,2,8,12,15
darkness and flame 2,video_music_entertainment,0.8062426046468312,2,8,12,15
darkness and flame 3,video_music_entertainment,0.7928746982711301,2,8,12,15
darkness and flame 4,video_music_entertainment,0.783513789213391,2,8,12,15
datuner,study_work_productivity,0.7278093741959849,2,1,11,17
discord,social_chat,0.6654548879360604,5,1,11,46
domino dreams,health_fitness,0.8322430432728618,7,12,15,30
drawely,health_fitness,0.8494205747251474,7,1,10,30
drive,transport_map,0.6518084705921365,2,4,29,8
duit,finance_shopping,0.6028199910070531,6,13,2,12
duit+,finance_shopping,0.6507122945265882,6,13,2,12
edge,study_work_productivity,0.8537803641305188,7,1,10,44
expert raw,browser_search_news,0.8467106912068217,2,1,26,24
expressvpn,transport_map,0.7907063828091971,1,3,24,13
facebook,social_chat,0.44951829816091005,1,15,21,8
fantastic bricks,transport_map,0.933348292440733,7,1,10,27
fc online m,social_chat,0.631902902594107,1,3,6,2
files by google,browser_search_news,0.5659071734927605,1,15,19,14
find differences,browser_search_news,0.7763511986144114,2,12,14,26
find out,browser_search_news,0.7151777834154035,2,12,11,17
flightradar24,transport_map,0.6272969248896776,6,9,27,18
flo,social_chat,0.873122088510507,2,1,11,17
friends rush,social_chat,0.7955338871893938,2,1,11,30
galaxy buds live manager,phone_system,0.6698701291802347,0,5,3,37
galaxy buds2 pro manager,phone_system,0.5603649550609464,0,5,3,37
galaxy store,phone_system,0.5733797967290588,0,5,3,37
galaxy themes,phone_system,0.7373433115580006,0,10,3,37
galaxy watch5 manager,phone_system,0.5460698699534436,0,5,3,37
galaxy wearable,phone_system,0.5753258895588926,0,5,3,37
gaming hub,video_music_entertainment,0.6821050772163841,1,3,18,2
gateman,social_chat,0.8601847585532105,7,1,26,17
gayo,social_chat,0.7925883201711974,5,11,5,46
gmail,study_work_productivity,0.5928540182803264,1,15,15,0
goblins wood,study_work_productivity,0.8831473316505699,7,1,30,30
gofasting,health_fitness,0.7725208676776723,2,1,11,17
good lock,phone_system,0.8755420961063527,6,6,25,22
google,browser_search_news,0.4252735217329462,1,15,19,14
google play 게임즈,video_music_entertainment,0.5709332047942015,1,3,18,14
google play 서비스,video_music_entertainment,0.5778283035837721,1,15,18,14
google play 스토어,video_music_entertainment,0.5896432982418045,1,15,18,14
