split,feature_set,feature_count,health_auc,health_ap,toxic_tail_auc,toxic_tail_ap,selected_gain_sum,selected_cells,selected_positive_gain_rate,accepted_targets,accepted_target_count
chronological_holdout,action_only,31,0.5132322499370118,0.5414527151467224,0.518985734250916,0.4533799692456648,0.0,0,,,0
chronological_holdout,listener_support_baseline,34,0.5132041824137062,0.5414354938560134,0.5190596484219063,0.4579834138987232,0.0,0,,,0
chronological_holdout,rhythm_temporal_decoder,50,0.5130900478710003,0.5408477798055745,0.51845210743854,0.4557204478257171,0.0,0,,,0
chronological_holdout,residual_listener_interface,215,0.5108731670445956,0.5345479246179938,0.5181825196335825,0.45337357606452255,0.0,0,,,0
chronological_holdout,rhythm_conditioned_action_health,724,0.5117647266313933,0.5366582221521368,0.5180313934213665,0.4530186500823549,0.0,0,,,0
row_block_holdout,action_only,31,0.6282511967750063,0.6145199811677645,0.712994833650714,0.563943383632248,0.0,0,,,0
row_block_holdout,listener_support_baseline,34,0.6344032753842278,0.6157762911851777,0.7107936361364497,0.5676200953433321,0.0,0,,,0
row_block_holdout,rhythm_temporal_decoder,50,0.6290807760141093,0.6133949231123152,0.7186965372048446,0.5775624896429223,0.0,0,,,0
row_block_holdout,residual_listener_interface,215,0.6287457797933989,0.6161745535066492,0.7123515919133708,0.5685462030253312,0.0,0,,,0
row_block_holdout,rhythm_conditioned_action_health,724,0.631375711766188,0.613344566062889,0.7118505773733229,0.566640736574514,0.0,0,,,0
subject_heldout,action_only,31,0.6283285462333081,0.6107785543847715,0.7105319004034814,0.5577252543351658,0.0,0,,,0
subject_heldout,listener_support_baseline,34,0.6226529100529101,0.6015636814651777,0.7044263386133806,0.5540997942498158,0.0,0,,,0
subject_heldout,rhythm_temporal_decoder,50,0.6252622323003275,0.6065283117841569,0.71102291663853,0.5580898910185164,0.0,0,,,0
subject_heldout,residual_listener_interface,215,0.6078591080876796,0.587356271305585,0.7039003021372607,0.5573783995082354,0.0,0,,,0
subject_heldout,rhythm_conditioned_action_health,724,0.6164004031242126,0.5938634201838344,0.70550746423198,0.5569079285738775,0.0,0,,,0
