source_file,flat_idx,row,subject_id,sleep_date,lifelog_date,target_index,target,h057_prob,source_prob,source_move,pos_frac,mean_benefit,min_benefit,all_full_benefit,no_pre_h_benefit,frontier_only_benefit,human_social_only_benefit,h088_same_direction,h088_abs,source_bonus,h088_rank,abs_move_rank,mean_rank,min_rank,score,variant,amp,new_prob
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,687,98,id04,2024-10-19,2024-10-18,1,Q2,0.4631417001415242,0.4204463940396932,-0.1732400415354212,1.0,7.132749156456132e-05,2.256337438192622e-05,8.582698271307799e-05,4.14901407169046e-05,4.0197736080058323e-05,0.00017301049102117966,False,0.0,0.45,0.034869431643625194,0.7831029185867896,0.9849462365591398,0.9978494623655914,3.176743471582182,tomography_consensus,0.62,0.43920994363078664
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,638,91,id04,2024-09-25,2024-09-24,1,Q2,0.517487560784734,0.4883791893358932,-0.11647040154966472,1.0,4.293827154976884e-05,2.1026961524991353e-05,4.8865879553315326e-05,2.6375234898075255e-05,2.1026961524991353e-05,5.968250107096226e-05,False,0.0,0.45,0.034869431643625194,0.6184331797235023,0.9686635944700461,0.997542242703533,3.1158986175115206,tomography_consensus,0.62,0.5012470730268783
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,1107,158,id07,2024-07-20,2024-07-19,1,Q2,0.3439340829685295,0.3196199906877934,-0.10970747083978127,1.0,3.448122790811158e-05,2.713429743298337e-06,4.332966217005005e-05,7.908090273054617e-06,2.713429743298337e-06,0.0001071843044809906,False,0.0,0.45,0.034869431643625194,0.5932411674347158,0.9533026113671275,0.9843317972350231,3.0852227342549927,tomography_consensus,0.62,0.3302558722327605
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,715,102,id04,2024-10-25,2024-10-24,1,Q2,0.4597383530095764,0.4364368557424797,-0.09423965619169836,1.0,2.228175632685742e-05,8.49275998123775e-06,2.5086047463808257e-05,1.172268409021435e-05,8.49275998123775e-06,4.707567148110997e-05,False,0.0,0.45,0.034869431643625194,0.5084485407066052,0.9075268817204301,0.9932411674347158,3.0131029185867892,tomography_consensus,0.62,0.446707753287336
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,1278,182,id08,2024-08-01,2024-07-31,4,S2,0.546729165180283,0.5760057711648191,0.11893410015242131,1.0,1.2660469643793174e-05,7.339104267561036e-07,1.4429324457818916e-05,9.335032081138933e-06,3.051723627754957e-06,2.080682104379248e-06,False,0.0,0.45,0.034869431643625194,0.6285714285714286,0.8251920122887865,0.9615975422427036,2.930092165898617,tomography_consensus,0.62,0.5631187139280632
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,896,128,id06,2024-07-07,2024-07-06,0,Q1,0.4321460756751156,0.4363419778902316,0.01707910598029938,1.0,2.851059204218547e-05,6.324774491103541e-07,4.194127494717946e-05,9.219703037262027e-06,5.079899607426839e-06,6.324774491103541e-07,False,0.019359622620039818,0.45,0.15284178187403993,0.06267281105990784,0.9339477726574501,0.9600614439324117,2.9184331797235026,tomography_consensus,0.62,0.43448622827740546
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,57,8,id01,2024-08-10,2024-08-09,1,Q2,0.5298229073435359,0.5249200834653689,-0.01967040318576889,1.0,1.5974082817993538e-05,2.1564865117524294e-06,2.1045755151614176e-05,9.846991668256689e-06,2.1564865117524294e-06,1.7914205487074457e-05,False,0.008449868728757512,0.45,0.11029185867895545,0.07557603686635944,0.8642089093701997,0.9821812596006144,2.8479262672811063,tomography_consensus,0.62,0.5270877804390763
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,1548,221,id09,2024-09-13,2024-09-12,1,Q2,0.5858926855009393,0.5985988949221754,0.052619071634623815,1.0,1.7641001693082018e-05,1.6690991845869638e-06,2.360603384113085e-05,2.7798510056643718e-05,1.6690991845869638e-06,4.558873814622042e-06,False,0.0,0.35,0.034869431643625194,0.2771121351766513,0.875268817204301,0.9775729646697389,2.8095084485407065,tomography_consensus,0.62,0.5937851417753105
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,547,78,id03,2024-10-06,2024-10-05,1,Q2,0.839290393934458,0.8673906576092968,0.22512421172185104,0.9,5.871233155224595e-05,-1.3562877265168684e-05,4.879926702678385e-05,4.4635858438860864e-05,4.551107738306255e-05,0.00017422630426014205,False,0.0,0.45,0.034869431643625194,0.8678955453149002,0.9806451612903225,0.2623655913978495,2.7718125960061446,tomography_consensus,0.62,0.8555210688084599
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,734,104,id04,2024-10-28,2024-10-27,6,S4,0.5342462178925947,0.545136361083944,0.0438386028728818,1.0,1.2115777487546639e-05,1.3408303046179137e-08,1.7249725300236646e-05,1.0405125674528662e-05,9.95134626534087e-07,1.3408303046179137e-08,False,0.0,0.35,0.034869431643625194,0.2196620583717358,0.8162826420890937,0.9265745007680491,2.7014132104454687,tomography_consensus,0.62,0.5410026197568849
