cell_key,row_index,subject_id,target,action_family,action_expert,true_gain,keep,group_mode,neighbors,weights,threshold,predicted_gain,neighbor_positive_rate,neighbor_count,neighbor_subjects,mean_distance
171:Q3,0,id04,Q3,prior,global_prior,-0.21376156416309222,True,target_expert,3,uniform,-0.1,0.1522677552436491,0.6666666666666666,3,"id08,id09",4.135030008315968
172:Q3,1,id04,Q3,prior,global_prior,-0.24819825243299443,True,target_expert,3,uniform,-0.1,0.36828238421411497,1.0,3,"id08,id09",4.262804328005432
174:Q2,2,id04,Q2,prior,global_prior,0.41198201729583317,True,target_expert,3,uniform,-0.1,0.08044916872351893,0.6666666666666666,3,id06,4.697339374140678
175:Q2,3,id04,Q2,prior,global_prior,-0.3700884257638431,True,target_expert,3,uniform,-0.1,0.35243763757332885,1.0,3,"id06,id09",4.368181067721387
175:S4,4,id04,S4,core_action_health,hsjepa_action_health__high_margin_listener_health,0.3558171131237646,False,target_expert,3,uniform,-0.1,-0.3218243596444332,0.0,3,id05,5.53637386442444
176:Q2,5,id04,Q2,prior,global_prior,0.44766469289440336,True,target_expert,3,uniform,-0.1,0.2997729129851184,1.0,3,"id05,id09",5.141086880182159
214:S2,6,id05,S2,core_action_health,hsjepa_action_health__strict_listener_health,0.26322177488162024,True,target_expert,3,uniform,-0.1,0.20928907645291445,1.0,1,id10,3.9447933614276254
214:S3,7,id05,S3,core_action_health,hsjepa_action_health__strict_listener_health,0.3295927289859972,True,target_expert,3,uniform,-0.1,0.14778999953184224,1.0,1,id06,7.633726965303593
214:S4,8,id05,S4,core_action_health,hsjepa_action_health__high_margin_listener_health,-0.2561998496930491,True,target_expert,3,uniform,-0.1,0.3558171131237646,1.0,1,id04,5.832120384696136
215:S3,9,id05,S3,raw_action_core_health,raw_action_core_health__wide_listener_health,0.17427472688707346,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
215:S4,10,id05,S4,core_action_health,hsjepa_action_health__wide_listener_health,0.18465309568056987,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
216:S3,11,id05,S3,core_action_health,hsjepa_action_health__strict_listener_health,0.3295927289859972,True,target_expert,3,uniform,-0.1,0.14778999953184224,1.0,1,id06,8.162690927960721
217:S2,12,id05,S2,prior,subject_prior,0.2853404937439433,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
219:S3,13,id05,S3,core_action_health,hsjepa_action_health__wide_listener_health,0.29112886604086147,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
219:S4,14,id05,S4,core_action_health,hsjepa_action_health__high_margin_listener_health,-0.3104059814740443,True,target_expert,3,uniform,-0.1,0.3558171131237646,1.0,1,id04,5.70106134857589
